Date,CHILE MOMENTUM
1995-05-31,1000.0
1995-06-30,1019.3902171386017
1995-07-31,973.8318693553274
1995-08-31,924.8086672081569
1995-09-29,887.0516872709045
1995-10-31,846.1442392511052
1995-11-30,801.0434394649307
1995-12-29,856.250672536945
1996-01-31,845.5833085012197
1996-02-29,835.7799737888045
1996-03-29,809.742937070803
1996-04-30,856.8493960599783
1996-05-31,835.093988624228
1996-06-28,856.8634434781101
1996-07-31,843.9199744963106
1996-08-30,816.190933570959
1996-09-30,828.6370825041524
1996-10-31,812.6660315430672
1996-11-29,761.1103231811362
1996-12-31,724.5396259036315
1997-01-01,724.5396259036315
1997-01-02,728.2437792650827
1997-01-03,742.2284841831593
1997-01-06,758.5885702941557
1997-01-07,769.4208715913975
1997-01-08,781.1933147437882
1997-01-09,775.2240246026172
1997-01-10,772.2782462668713
1997-01-13,778.3265724993397
1997-01-14,791.0297139923172
1997-01-15,800.6798150058362
1997-01-16,797.0690977497338
1997-01-17,805.3151138656985
1997-01-20,814.1687017831465
1997-01-21,804.644159820594
1997-01-22,788.3242117524009
1997-01-23,800.1036984415194
1997-01-24,786.085618686201
1997-01-27,773.6680530501538
1997-01-28,778.6275438206274
1997-01-29,781.451620412198
1997-01-30,790.8526860839942
1997-01-31,794.504012947423
1997-02-03,803.156623663422
1997-02-04,803.6952213652377
1997-02-05,803.8535327086237
1997-02-06,804.5479177166536
1997-02-07,831.1685501105379
1997-02-10,831.3533471469481
1997-02-11,822.2832191479332
1997-02-12,831.0712103356951
1997-02-13,841.680127648563
1997-02-14,836.5716332520108
1997-02-17,832.3500441650964
1997-02-18,837.236535773673
1997-02-19,836.7025868811818
1997-02-20,838.6606448483228
1997-02-21,837.1429145083665
1997-02-24,839.523034396104
1997-02-25,858.6194190619748
1997-02-26,858.0522785177714
1997-02-27,850.9520076941128
1997-02-28,839.4984086448881
1997-03-03,830.3825647987669
1997-03-04,826.8153869505312
1997-03-05,826.4833739936107
1997-03-06,831.8035972712078
1997-03-07,841.6405186855383
1997-03-10,844.3696161338859
1997-03-11,847.0235878778819
1997-03-12,844.4484140959869
1997-03-13,837.1957856029612
1997-03-14,837.8288022434357
1997-03-17,827.9455451746404
1997-03-18,819.0651684315299
1997-03-19,812.2786379006676
1997-03-20,807.9202050685606
1997-03-21,809.5103568172547
1997-03-24,808.7277907434614
1997-03-25,808.4669829285434
1997-03-26,809.8947555227734
1997-03-27,818.4627032722619
1997-03-28,818.4627032722619
1997-03-31,811.9706797584239
1997-04-01,811.5783984068458
1997-04-02,818.089537336589
1997-04-03,833.7225263268705
1997-04-04,828.7945835084918
1997-04-07,830.4666630842295
1997-04-08,832.2359435937481
1997-04-09,830.5546531312523
1997-04-10,838.999527859766
1997-04-11,830.9680952360764
1997-04-14,825.4052954731434
1997-04-15,822.1336637130505
1997-04-16,832.4957702685359
1997-04-17,830.8078167199047
1997-04-18,834.8302337058562
1997-04-21,828.8085470836131
1997-04-22,834.8393788521786
1997-04-23,835.7816045289937
1997-04-24,835.9812840498329
