Date,CHINA A RMB MOMENTUM
2008-11-25,1000.0
2008-11-26,1002.4729047847345
2008-11-27,1011.0442625326876
2008-11-28,1004.4375573899163
2008-12-01,1012.9335986456356
2008-12-02,1008.8617997393454
2008-12-03,1036.1526413810795
2008-12-04,1042.4989153881031
2008-12-05,1048.2579018048968
2008-12-08,1075.2498484944701
2008-12-09,1054.4663343992288
2008-12-10,1078.8717267516547
2008-12-11,1059.5628981478715
2008-12-12,1033.1277443552594
2008-12-15,1038.6655980710093
2008-12-16,1048.1483948776054
2008-12-17,1053.6218963143713
2008-12-18,1061.3486812635535
2008-12-19,1065.5956315077415
2008-12-22,1050.5325184362696
2008-12-23,1014.3230830878356
2008-12-24,999.8330135342145
2008-12-25,997.1023701148979
2008-12-26,985.3206509623963
2008-12-29,983.7740592482594
2008-12-30,978.6664132293325
2008-12-31,976.5319252590532
2009-01-01,976.5319252590534
2009-01-02,976.5319252590537
2009-01-05,992.3750259669705
2009-01-06,1001.4087943337468
2009-01-07,992.2266522489439
2009-01-08,977.0350053150097
2009-01-09,986.9828993075473
2009-01-12,981.9848051160727
2009-01-13,964.2579667109313
2009-01-14,991.3524105959917
2009-01-15,986.2301001188526
2009-01-16,992.8791624053866
2009-01-19,1002.0791568157852
2009-01-20,1000.7080405437165
2009-01-21,993.7416936949661
2009-01-22,997.6900820544881
2009-01-23,994.777638776709
2009-01-26,994.7776387767092
2009-01-27,994.7776387767094
2009-01-28,994.7776387767096
2009-01-29,994.7776387767099
2009-01-30,994.7776387767101
2009-02-02,1007.537245885255
2009-02-03,1029.9395010860856
2009-02-04,1046.3443958608789
2009-02-05,1037.0451847127008
2009-02-06,1071.4171191936723
2009-02-09,1099.6012694698925
2009-02-10,1118.8926153234952
2009-02-11,1116.6891890679058
2009-02-12,1118.8530631464946
2009-02-13,1148.363145776031
2009-02-16,1164.806431889184
2009-02-17,1135.9971988324617
2009-02-18,1095.5079010653315
2009-02-19,1110.522195954595
2009-02-20,1121.2807570128584
2009-02-23,1147.6741756956483
2009-02-24,1101.9140242240942
2009-02-25,1093.341538199944
2009-02-26,1048.4368968931
2009-02-27,1039.3898493219071
2009-03-02,1052.3944476870988
2009-03-03,1044.6558447008722
2009-03-04,1098.229285640456
2009-03-05,1097.6110409749551
2009-03-06,1083.0390418714198
2009-03-09,1050.4433798243583
2009-03-10,1060.3715403862818
2009-03-11,1052.5986001335693
2009-03-12,1050.7529475029407
2009-03-13,1044.8361099906374
2009-03-16,1054.068192812049
2009-03-17,1081.6892617241213
2009-03-18,1083.2158440340072
2009-03-19,1102.5618086045356
2009-03-20,1099.1881920816522
2009-03-23,1122.154496796679
2009-03-24,1131.2673979082151
2009-03-25,1106.826225318518
2009-03-26,1130.8918552245566
2009-03-27,1142.1358172382504
2009-03-30,1136.6417510525175
2009-03-31,1154.2197636198869
2009-04-01,1166.2539851526305
2009-04-02,1168.2934865287452
2009-04-03,1159.51307628902
2009-04-06,1159.51307628902
2009-04-07,1162.6112388770703
2009-04-08,1133.4764297490738
2009-04-09,1148.5754691361024
2009-04-10,1176.2035735520021
2009-04-13,1193.6398300659898
2009-04-14,1198.7778404641404
2009-04-15,1199.7878356168922
2009-04-16,1198.6630049340986
2009-04-17,1194.0343972370783
2009-04-20,1208.531162146166
2009-04-21,1201.5007271624158
2009-04-22,1169.481054164999
2009-04-23,1173.369501582385
2009-04-24,1168.8719576506737
2009-04-27,1154.106385484569
2009-04-28,1157.233545762586
2009-04-29,1180.8836885699632
2009-04-30,1186.7279261773845
2009-05-01,1186.7279261773845
2009-05-04,1213.5293604563146
2009-05-05,1221.191970236854
2009-05-06,1230.6379984647754
2009-05-07,1216.2246991602726
2009-05-08,1220.5464913936999
2009-05-11,1189.675372775581
2009-05-12,1208.1134744943947
2009-05-13,1218.3821294811407
2009-05-14,1215.1101754746842
2009-05-15,1215.9475813881475
2009-05-18,1215.738097641308
2009-05-19,1219.5036972110697
2009-05-20,1208.4009999570717
2009-05-21,1196.6747609462882
2009-05-22,1189.6988818447335
2009-05-25,1190.9087180855308
2009-05-26,1186.9040879418535
2009-05-27,1198.0739194387795
2009-05-28,1198.0739194387793
2009-05-29,1198.073919438779
2009-06-01,1256.626944424933
2009-06-02,1264.050654075102
2009-06-03,1298.2680679018965
2009-06-04,1282.2224435167911
2009-06-05,1281.546889754913
2009-06-08,1263.9789909167368
2009-06-09,1262.9747255618558
2009-06-10,1266.737902214225
2009-06-11,1245.1360525370233
2009-06-12,1225.191593617173
2009-06-15,1228.2062168284408
2009-06-16,1238.519706278784
2009-06-17,1275.7058991503698
2009-06-18,1296.2422043007773
2009-06-19,1292.260626205824
2009-06-22,1284.7674541221038
2009-06-23,1271.0259592541918
2009-06-24,1323.2455107149387
2009-06-25,1322.3191272202127
2009-06-26,1334.0994738340596
2009-06-29,1358.6536979210505
2009-06-30,1373.6585576156765
2009-07-01,1407.25740207484
2009-07-02,1431.8889892175564
2009-07-03,1465.0276940979084
2009-07-06,1463.0856628728482
2009-07-07,1435.8485933985419
2009-07-08,1469.351088250256
2009-07-09,1489.901714042346
2009-07-10,1492.4728024218912
2009-07-13,1469.115950147945
2009-07-14,1503.2337391463202
2009-07-15,1533.416390310005
2009-07-16,1532.1610287000449
2009-07-17,1544.2367484521692
2009-07-20,1579.4387886325092
2009-07-21,1551.2026626875868
2009-07-22,1582.2918251658755
2009-07-23,1615.794082504809
2009-07-24,1611.5244911337682
2009-07-27,1646.094032178472
2009-07-28,1633.6574642559258
2009-07-29,1523.5280186225332
2009-07-30,1533.7482387237471
2009-07-31,1586.0384852744785
2009-08-03,1585.1758647552304
2009-08-04,1603.6319771761594
2009-08-05,1584.0454591336943
2009-08-06,1563.6160686055027
2009-08-07,1495.6677241871546
2009-08-10,1493.5675039205403
2009-08-11,1504.3756434358133
2009-08-12,1449.1470452875008
2009-08-13,1492.158992195424
2009-08-14,1464.6626232376773
2009-08-17,1347.9056279123301
2009-08-18,1364.637503202177
2009-08-19,1281.2853606885253
2009-08-20,1336.2988644514207
2009-08-21,1366.3673910830125
2009-08-24,1400.9034009691895
2009-08-25,1354.644552746896
2009-08-26,1391.4380420055904
2009-08-27,1371.2506182891086
2009-08-28,1327.7918719308366
