Date,TAIWAN IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,997.3009383324284
1999-01-05,956.7875389896697
1999-01-06,958.2831077403839
1999-01-07,995.4290194732283
1999-01-08,1012.4991987557119
1999-01-11,1012.117832174115
1999-01-12,999.0845779513423
1999-01-13,979.5280534880518
1999-01-14,965.4552193327999
1999-01-15,1005.6986323441669
1999-01-18,996.153803721095
1999-01-19,986.2829655290823
1999-01-20,981.8606852053894
1999-01-21,980.6963512922589
1999-01-22,966.8979381996635
1999-01-25,937.462808566227
1999-01-26,939.3723944834095
1999-01-27,953.1372861559709
1999-01-28,947.7674765367722
1999-01-29,939.8494239060079
1999-02-01,935.168450774681
1999-02-02,908.8677364007209
1999-02-03,891.2587087642262
1999-02-04,854.5921123452532
1999-02-05,836.6711112098791
1999-02-08,909.719850688953
1999-02-09,889.7374585572394
1999-02-10,903.5580366798232
1999-02-11,905.1972758270839
1999-02-12,907.043120435416
1999-02-15,910.3931217256816
1999-02-16,914.9939456413794
1999-02-17,909.2692462533212
1999-02-18,910.3046862981329
1999-02-19,917.1392719975564
1999-02-22,980.1107500673552
1999-02-23,955.7236824169455
1999-02-24,956.8271572247563
1999-02-25,959.1271253115772
1999-02-26,972.3515562734603
1999-03-01,987.5899978040167
1999-03-02,985.6316093452615
1999-03-03,997.9266335360044
1999-03-04,1006.612245333025
1999-03-05,1005.1982744107104
1999-03-08,1002.1260778798664
1999-03-09,1007.9388068191605
1999-03-10,1001.6187212798425
1999-03-11,1006.4847042778479
1999-03-12,993.0748706687099
1999-03-15,1004.214889580692
1999-03-16,1020.4483262004829
1999-03-17,1021.073550934922
1999-03-18,1044.9004333397068
1999-03-19,1075.7896486692107
1999-03-22,1084.8018945628596
1999-03-23,1084.0709123660379
1999-03-24,1073.4116807435958
1999-03-25,1085.5453463380356
1999-03-26,1116.50510205724
1999-03-29,1104.9968024920934
1999-03-30,1090.5941358439345
1999-03-31,1084.6705860235231
1999-04-01,1098.77760168154
1999-04-02,1128.6470122314613
1999-04-05,1136.0634803816747
1999-04-06,1135.7944029066616
1999-04-07,1123.8999596644653
1999-04-08,1132.983707515591
1999-04-09,1134.1417689511036
1999-04-12,1111.4685701550156
1999-04-13,1129.4210597353438
1999-04-14,1136.764458532977
1999-04-15,1159.1455325435006
1999-04-16,1160.9566200918257
1999-04-19,1204.6174792866254
1999-04-20,1209.5868482525575
1999-04-21,1194.242890212752
1999-04-22,1192.6580206531412
1999-04-23,1216.5233502315923
1999-04-26,1233.6161809657638
1999-04-27,1219.126375015419
1999-04-28,1215.9963127884307
1999-04-29,1199.2033096952669
1999-04-30,1209.586220900194
1999-05-03,1222.5795098857145
1999-05-04,1243.6883462567646
1999-05-05,1240.2601132919767
1999-05-06,1221.1917064036293
1999-05-07,1208.3654447033305
1999-05-10,1205.3350596785863
1999-05-11,1212.1514335018362
1999-05-12,1205.646954467176
1999-05-13,1198.7419844559668
1999-05-14,1202.2618914955638
1999-05-17,1201.4915245146044
1999-05-18,1191.596024056362
1999-05-19,1186.5440480503682
1999-05-20,1197.1638161029355
1999-05-21,1202.089764884007
1999-05-24,1187.72635894191
1999-05-25,1147.6957008027218
1999-05-26,1157.128823461702
1999-05-27,1171.6262746919774
1999-05-28,1159.7613834338563
1999-05-31,1133.8491150581137
1999-06-01,1146.622482566502
1999-06-02,1166.3707362613657
1999-06-03,1173.7803261323797
1999-06-04,1181.2934586734589
1999-06-07,1187.4249665829523
1999-06-08,1174.6139963872804
1999-06-09,1170.3684256814754
1999-06-10,1160.911566558992
1999-06-11,1165.7011690828551
1999-06-14,1173.6644033203324
1999-06-15,1160.4410637345843
1999-06-16,1165.221130908595
1999-06-17,1160.5141378708772
1999-06-18,1153.0379077753335
1999-06-21,1168.237808617173
1999-06-22,1182.671978535373
1999-06-23,1176.757596433529
1999-06-24,1175.9424470873
1999-06-25,1142.9932889260745
1999-06-28,1148.7711147668858
1999-06-29,1162.2546879933016
1999-06-30,1165.5547236276027
1999-07-01,1172.7980711497125
1999-07-02,1182.5280271461693
1999-07-05,1219.7815198018727
1999-07-06,1194.8843484305698
1999-07-07,1195.2386829076672
1999-07-08,1203.891630609
1999-07-09,1200.5878009371017
1999-07-12,1196.0588485736637
1999-07-13,1159.6553356694865
1999-07-14,1116.2344102897446
1999-07-15,1110.1397121334205
1999-07-16,1043.3812846528162
1999-07-19,1009.240646311821
1999-07-20,1041.4222957624431
1999-07-21,1021.1801381593564
1999-07-22,1015.7801744828917
1999-07-23,1034.8583110775032
1999-07-26,1009.4822366164549
1999-07-27,989.3557437524413
1999-07-28,999.6617726051061
1999-07-29,969.4118676647936
1999-07-30,970.8432710598184
1999-08-02,959.6836241372965
1999-08-03,954.0434546405256
1999-08-04,944.3554513637584
1999-08-05,921.7104474742242
