Date,CHILE IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.4346678187403
1999-01-04,1004.3024581623233
1999-01-05,1005.261471557162
1999-01-06,1015.0850444346064
1999-01-07,1010.7287830101877
1999-01-08,1022.601032450461
1999-01-11,1007.2130634120695
1999-01-12,996.6210373251128
1999-01-13,960.5816041228072
1999-01-14,955.5169022826344
1999-01-15,968.9998054293893
1999-01-18,973.0210521400588
1999-01-19,966.7049309035749
1999-01-20,970.6172457997159
1999-01-21,963.6855358525944
1999-01-22,961.4204993338017
1999-01-25,970.6453385517265
1999-01-26,968.8222701507832
1999-01-27,978.5068871980036
1999-01-28,983.9375761431585
1999-01-29,983.7511282407268
1999-02-01,987.8538235780802
1999-02-02,980.0052919616842
1999-02-03,986.9612420987172
1999-02-04,998.2758073591124
1999-02-05,998.1584093917724
1999-02-08,1001.3083221828142
1999-02-09,997.9294702953824
1999-02-10,998.8158595675447
1999-02-11,1008.7178923816713
1999-02-12,1009.6063396091813
1999-02-15,1012.224931636073
1999-02-16,1022.1708888356264
1999-02-17,1019.0982746265744
1999-02-18,1029.4212938078306
1999-02-19,1049.9676770722467
1999-02-22,1059.2989904281371
1999-02-23,1061.954825295431
1999-02-24,1071.6438802407563
1999-02-25,1054.5041365366503
1999-02-26,1053.5686643302686
1999-03-01,1059.3691143346912
1999-03-02,1052.2206832693912
1999-03-03,1062.4747133103695
1999-03-04,1079.3743694762948
1999-03-05,1076.788876337967
1999-03-08,1085.7909877004463
1999-03-09,1084.5714559307373
1999-03-10,1088.775101610679
1999-03-11,1111.110317431848
1999-03-12,1112.4808830336613
1999-03-15,1114.6682601479556
1999-03-16,1124.1895402181358
1999-03-17,1120.3081716405416
1999-03-18,1122.7711242270382
1999-03-19,1130.6105344357165
1999-03-22,1133.7803785423662
1999-03-23,1132.7586024146328
1999-03-24,1135.3116012990035
1999-03-25,1155.3125955821454
1999-03-26,1178.2729941149278
1999-03-29,1180.6837938258993
1999-03-30,1179.7068699465228
1999-03-31,1186.2145315499106
1999-04-01,1192.6734843371619
1999-04-02,1196.2917159333874
1999-04-05,1213.9951957005871
1999-04-06,1219.910354171163
1999-04-07,1227.1373793450907
1999-04-08,1248.3806121101932
1999-04-09,1269.1093351480738
1999-04-12,1264.300124611927
1999-04-13,1275.0560619362047
1999-04-14,1289.1029955493123
1999-04-15,1316.1384293813435
1999-04-16,1329.4483210212454
1999-04-19,1363.2543514255444
1999-04-20,1361.6065288317416
1999-04-21,1376.0947966613353
1999-04-22,1362.6404213027618
1999-04-23,1343.4508454531986
1999-04-26,1347.9997866062804
1999-04-27,1317.4278653414158
1999-04-28,1337.1310156247025
1999-04-29,1333.8452385507899
1999-04-30,1347.5475342722877
1999-05-03,1358.0893392473117
1999-05-04,1358.2081060476762
1999-05-05,1355.0770278526174
1999-05-06,1356.103728074846
1999-05-07,1372.3527909504228
1999-05-10,1397.412468787966
1999-05-11,1422.174212054994
1999-05-12,1426.182357296225
1999-05-13,1446.0717426147287
1999-05-14,1428.2220462374728
1999-05-17,1412.5746938577113
1999-05-18,1410.7850323351506
1999-05-19,1400.0285295970357
1999-05-20,1394.3446050269924
1999-05-21,1403.6414807623173
1999-05-24,1381.035790492271
1999-05-25,1364.8641374856647
1999-05-26,1388.1594413441367
1999-05-27,1395.9928978154987
1999-05-28,1389.3312634851127
1999-05-31,1395.9500308763536
1999-06-01,1384.5717507934094
1999-06-02,1391.301613266314
1999-06-03,1392.040738048789
1999-06-04,1408.5520186494387
1999-06-07,1417.3787598800895
1999-06-08,1403.506133618915
1999-06-09,1394.8043580131418
1999-06-10,1396.9109546273219
1999-06-11,1391.6046588667498
1999-06-14,1398.6374439037204
1999-06-15,1399.6548177043344
1999-06-16,1413.9986761228135
1999-06-17,1412.8940600469557
1999-06-18,1387.3077033809814
1999-06-21,1386.8051285361573
1999-06-22,1413.6782928202133
1999-06-23,1401.3049224170215
1999-06-24,1381.5065132767056
1999-06-25,1350.0353609244078
1999-06-28,1362.8186508219544
1999-06-29,1367.4327889384012
1999-06-30,1376.8850275902023
1999-07-01,1403.728936114847
1999-07-02,1426.3179436033552
1999-07-05,1438.1275864292268
1999-07-06,1439.8409475696562
1999-07-07,1445.3702770970733
1999-07-08,1454.8289895112423
1999-07-09,1458.5293235542129
1999-07-12,1447.790224571355
1999-07-13,1444.7495418949275
1999-07-14,1441.6013327190153
1999-07-15,1441.6052423100439
1999-07-16,1448.0090301972675
1999-07-19,1455.3237190682694
1999-07-20,1415.671284070919
1999-07-21,1401.7023053222588
1999-07-22,1400.8328204672569
1999-07-23,1394.577311464251
1999-07-26,1360.698055849026
1999-07-27,1362.0249567520964
1999-07-28,1365.4097600558105
1999-07-29,1345.2857780790257
1999-07-30,1350.83446114806
1999-08-02,1352.9090479137835
1999-08-03,1349.1462963723363
1999-08-04,1339.797506411209
1999-08-05,1333.3750649026376
1999-08-06,1339.7771970981564
1999-08-09,1345.2974184343927
1999-08-10,1330.873521430849
1999-08-11,1338.6764554533042
1999-08-12,1342.2283458089175
1999-08-13,1350.5933776560175
1999-08-16,1346.980101431724
1999-08-17,1350.3150691395779
1999-08-18,1337.629886631836
1999-08-19,1320.4852234981765
1999-08-20,1316.3781478937121
1999-08-23,1327.7241535659316
1999-08-24,1329.3757978689473
1999-08-25,1345.2331358401177
1999-08-26,1350.872064480083
1999-08-27,1346.1287814693796
1999-08-30,1346.11831981584
1999-08-31,1332.9318312911714
1999-09-01,1334.6755315988128
1999-09-02,1316.3872297626053
1999-09-03,1327.9791151527036
1999-09-06,1329.639845801181
1999-09-07,1333.315343291942
1999-09-08,1342.5363537675978
1999-09-09,1353.1734015067484
1999-09-10,1355.9150023159561
1999-09-13,1367.8099846139346
1999-09-14,1361.4392487947653
1999-09-15,1363.7668932249717
1999-09-16,1362.5566511923698
1999-09-17,1364.3191585545503
1999-09-20,1364.7066266988347
1999-09-21,1351.4291042959464
1999-09-22,1345.9246896656693
1999-09-23,1344.1187698205724
1999-09-24,1338.264161982823
1999-09-27,1342.3005870892653
1999-09-28,1326.5112921172995
1999-09-29,1309.5573511897692
1999-09-30,1309.9359930459523
1999-10-01,1303.8115219369565
1999-10-04,1317.7108478268776
1999-10-05,1320.5824401991947
1999-10-06,1315.804173444926
1999-10-07,1311.7190394256145
1999-10-08,1317.5123485869995
1999-10-11,1312.4934104073416
1999-10-12,1301.5447516104869
1999-10-13,1280.3982426726234
1999-10-14,1276.0151293998015
1999-10-15,1246.443317775363
1999-10-18,1232.5574611340971
1999-10-19,1246.9590758493848
1999-10-20,1258.5501192500094
1999-10-21,1261.4287501903732
1999-10-22,1277.014496325208
1999-10-25,1272.5433943383182
1999-10-26,1280.9732487759372
1999-10-27,1279.1333166768682
1999-10-28,1282.457043782112
1999-10-29,1290.5754333020154
1999-11-01,1292.7894297565722
1999-11-02,1293.9716616684234
1999-11-03,1305.2923460209663
1999-11-04,1307.6738778209078
1999-11-05,1319.0578289907824
1999-11-08,1327.6454792444222
1999-11-09,1332.323926900984
1999-11-10,1323.6398947201071
1999-11-11,1331.4139823887222
1999-11-12,1356.051729496884
1999-11-15,1368.1704941914631
