Date,THAILAND IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1003.8423777228477
1999-01-05,1048.7358398512042
1999-01-06,1085.7023822983529
1999-01-07,1094.3454667009564
1999-01-08,1106.2309522628948
1999-01-11,1120.451064663459
1999-01-12,1120.117654127823
1999-01-13,1053.2885519903214
1999-01-14,1049.7839436242734
1999-01-15,1061.8025670896275
1999-01-18,1080.3417794856725
1999-01-19,1073.9281785968562
1999-01-20,1095.9791722811885
1999-01-21,1080.97538427808
1999-01-22,1039.653404556727
1999-01-25,1015.7107811998429
1999-01-26,1027.6692419758028
1999-01-27,1048.8058164273712
1999-01-28,1037.081735551231
1999-01-29,1026.4166341359585
1999-02-01,1033.0125561713592
1999-02-02,1012.3175286785785
1999-02-03,991.7408194312553
1999-02-04,993.3531687227426
1999-02-05,976.7336022344285
1999-02-08,961.8140343724111
1999-02-09,931.7875329812439
1999-02-10,922.0536421587047
1999-02-11,919.0394497112114
1999-02-12,973.6165556091785
1999-02-15,991.0545834749065
1999-02-16,995.557197337477
1999-02-17,961.829846015853
1999-02-18,966.9767234455255
1999-02-19,971.8143660007536
1999-02-22,962.7199525408097
1999-02-23,972.1190617305178
1999-02-24,972.9128502427836
1999-02-25,958.0627747132013
1999-02-26,995.3388171923227
1999-03-01,999.8802294519629
1999-03-02,994.510349767307
1999-03-03,999.174240119196
1999-03-04,1001.2012389470962
1999-03-05,988.4254491739846
1999-03-08,982.5774834580815
1999-03-09,951.9780985052996
1999-03-10,940.6796006131457
1999-03-11,972.5890846570869
1999-03-12,973.3245688130261
1999-03-15,998.3431415382398
1999-03-16,997.386232667342
1999-03-17,989.9104971434429
1999-03-18,993.9295012720748
1999-03-19,1015.3347925994807
1999-03-22,1009.5306107778616
1999-03-23,1013.1495423778466
1999-03-24,1001.288765488401
1999-03-25,1012.9629699111039
1999-03-26,1026.4558583680284
1999-03-29,1021.5229691678463
1999-03-30,1009.2822291772665
1999-03-31,999.8774350747907
1999-04-01,997.5818750990641
1999-04-02,994.19815786658
1999-04-05,978.5329557634453
1999-04-06,972.4929522522991
1999-04-07,989.7959693433038
1999-04-08,998.1642155009969
1999-04-09,1012.145527848014
1999-04-12,998.2945923135901
1999-04-13,1005.2435109031927
1999-04-14,1010.5392942240182
1999-04-15,1019.4891931484892
1999-04-16,1107.5840792882104
1999-04-19,1154.116433813052
1999-04-20,1135.4168591303558
1999-04-21,1127.6468353311077
1999-04-22,1144.1833025120252
1999-04-23,1131.1718689812733
1999-04-26,1170.6883643409021
1999-04-27,1204.4742578801915
1999-04-28,1215.0267317874946
1999-04-29,1250.8513392988418
1999-04-30,1337.1734942099022
1999-05-03,1344.1241991913446
1999-05-04,1493.9192250876379
1999-05-05,1483.7232228777339
1999-05-06,1494.8741871901398
1999-05-07,1437.3742260971947
1999-05-10,1443.6661764173289
1999-05-11,1460.0672540969585
1999-05-12,1451.5196963403853
1999-05-13,1429.2021203242311
1999-05-14,1417.267537054357
1999-05-17,1407.0547486097935
1999-05-18,1443.9830542137456
1999-05-19,1436.6670619778474
1999-05-20,1436.0252061756426
1999-05-21,1435.849654625566
1999-05-24,1435.8763961339569
1999-05-25,1414.1367971571572
1999-05-26,1407.555562599029
1999-05-27,1425.9549810328954
1999-05-28,1398.4086132482255
1999-05-31,1404.053232933628
1999-06-01,1414.1165076883158
1999-06-02,1468.5162848011512
1999-06-03,1480.2255869170845
1999-06-04,1490.7745334217218
1999-06-07,1530.2913854011188
1999-06-08,1554.8711440131951
1999-06-09,1586.3426802258148
1999-06-10,1605.0433838885149
1999-06-11,1601.276064838522
1999-06-14,1619.027011028098
1999-06-15,1597.7796377498364
1999-06-16,1601.5070071462035
1999-06-17,1661.5487140967139
1999-06-18,1645.6709524171274
1999-06-21,1705.6718854527528
1999-06-22,1770.704087428264
1999-06-23,1770.6546161920946
1999-06-24,1801.555867957209
1999-06-25,1787.7649193963753
1999-06-28,1778.0642567839143
1999-06-29,1749.8845400487173
1999-06-30,1770.4049216398635
1999-07-01,1784.9548571184303
1999-07-02,1805.9032489239758
1999-07-05,1824.3128414187543
1999-07-06,1813.1274508488507
1999-07-07,1763.9627565173055
1999-07-08,1696.4686599700199
1999-07-09,1730.9789361983917
1999-07-12,1737.9123305243475
1999-07-13,1691.012907333272
1999-07-14,1661.6566667554275
1999-07-15,1672.0633068007164
1999-07-16,1640.9416294404987
1999-07-19,1648.2777747289904
1999-07-20,1639.1214793087536
1999-07-21,1648.1193330073306
1999-07-22,1616.6422833941742
1999-07-23,1595.9844377790348
1999-07-26,1524.3153388446233
1999-07-27,1530.8855333323688
1999-07-28,1542.7660687294913
1999-07-29,1525.3681862423691
1999-07-30,1514.4853022304162
1999-08-02,1502.6688865151812
1999-08-03,1506.6330669333768
1999-08-04,1485.8928491479496
