Date,KOREA IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1060.9992535648264
1999-01-05,1112.0900608626944
1999-01-06,1180.4393670577717
1999-01-07,1221.2729636327977
1999-01-08,1217.336735901284
1999-01-11,1275.5279882152608
1999-01-12,1272.614146369402
1999-01-13,1257.0036985150423
1999-01-14,1159.0434710242432
1999-01-15,1214.994200251996
1999-01-18,1252.3534817064033
1999-01-19,1227.3616325409746
1999-01-20,1209.4887078483473
1999-01-21,1141.5790301717218
1999-01-22,1089.645929974036
1999-01-25,1053.8724179212427
1999-01-26,1023.552676503464
1999-01-27,1071.3471949656466
1999-01-28,1099.5175631867944
1999-01-29,1116.9017002071878
1999-02-01,1155.100062675236
1999-02-02,1147.9898383842385
1999-02-03,1114.6010706783052
1999-02-04,1109.6285093317101
1999-02-05,1114.923197797436
1999-02-08,1095.673155463603
1999-02-09,1040.4499767461443
1999-02-10,1048.8532956901026
1999-02-11,1059.4031944690341
1999-02-12,1095.5510623372097
1999-02-15,1099.597283944204
1999-02-16,1105.6715890005296
1999-02-17,1100.4547640902629
1999-02-18,1081.988376149341
1999-02-19,1045.0612701155057
1999-02-22,1011.4368573973774
1999-02-23,1005.8595578219143
1999-02-24,984.2944179453759
1999-02-25,958.5014743284087
1999-02-26,1001.7886265302934
1999-03-01,1009.5331892904279
1999-03-02,1036.3350468380227
1999-03-03,1024.966449692893
1999-03-04,1031.7664573871075
1999-03-05,1039.793219869873
1999-03-08,1100.467069552481
1999-03-09,1099.1427926624563
1999-03-10,1093.6089794237607
1999-03-11,1135.2487449751404
1999-03-12,1142.486925659468
1999-03-15,1153.8556481564774
1999-03-16,1174.0324027210895
1999-03-17,1156.8360999920574
1999-03-18,1116.9220780643684
1999-03-19,1158.593342435949
1999-03-22,1163.0938210741801
1999-03-23,1174.7758094020887
1999-03-24,1183.2609570922336
1999-03-25,1193.7477631484899
1999-03-26,1207.266038363876
1999-03-29,1190.163366885509
1999-03-30,1212.4937899821784
1999-03-31,1212.9779572539603
1999-04-01,1243.657885693958
1999-04-02,1266.209001701904
1999-04-05,1272.1069851624534
1999-04-06,1319.4409918394012
1999-04-07,1326.915761782021
1999-04-08,1339.1758109953116
1999-04-09,1364.2658550594858
1999-04-12,1375.532677321521
1999-04-13,1389.2931175514595
1999-04-14,1398.784632782835
1999-04-15,1473.3154014728161
1999-04-16,1463.347405066428
1999-04-19,1529.2379740002036
1999-04-20,1583.842254259563
1999-04-21,1565.4539759802842
1999-04-22,1547.585150685667
1999-04-23,1566.752509383813
1999-04-26,1642.8550696975337
1999-04-27,1680.7196125414637
1999-04-28,1708.7386692167493
1999-04-29,1683.6585806660257
1999-04-30,1686.1916694309364
1999-05-03,1719.8349524023756
1999-05-04,1737.7389317130107
1999-05-05,1724.5463762243846
1999-05-06,1763.9101334669747
1999-05-07,1771.4509850262157
1999-05-10,1812.2409380283882
1999-05-11,1761.9056349328755
1999-05-12,1733.5640418206403
1999-05-13,1667.6257659125024
1999-05-14,1603.5750909105964
1999-05-17,1531.2493772474872
1999-05-18,1558.2133958531183
1999-05-19,1583.3421494693239
1999-05-20,1515.1694260325005
1999-05-21,1530.7333149771705
1999-05-24,1499.699128651629
1999-05-25,1527.8990865833998
1999-05-26,1606.8018275812335
1999-05-27,1615.4578493572972
1999-05-28,1636.4601984120832
1999-05-31,1633.7647368423404
1999-06-01,1625.1718159968345
1999-06-02,1684.1802558462728
1999-06-03,1686.6323588959237
1999-06-04,1706.0024668591018
1999-06-07,1764.8170631612538
1999-06-08,1790.1552097744218
1999-06-09,1738.5278561913283
1999-06-10,1785.2511273381897
1999-06-11,1790.3159359954543
1999-06-14,1760.8325696848924
1999-06-15,1703.809001078587
1999-06-16,1743.5677046815167
1999-06-17,1748.8696326960758
1999-06-18,1733.581599778314
1999-06-21,1756.6941018182883
1999-06-22,1786.6314552666531
1999-06-23,1809.0979671825264
1999-06-24,1804.104410511914
1999-06-25,1791.1186761147117
1999-06-28,1813.3678222745157
1999-06-29,1826.1043998286543
1999-06-30,1818.3000405996347
1999-07-01,1874.8772717661582
1999-07-02,1932.293764750898
1999-07-05,1995.140742253112
1999-07-06,2007.4100515584003
1999-07-07,2044.6123535256486
1999-07-08,2083.536880245618
1999-07-09,2115.339314691823
1999-07-12,2108.697976030878
1999-07-13,2064.2661379762935
1999-07-14,1983.6813325823048
1999-07-15,1984.444975375959
1999-07-16,2060.3027598057733
1999-07-19,2114.895041699288
1999-07-20,2038.9481725949752
1999-07-21,1946.2738953102262
1999-07-22,1977.0235723283274
1999-07-23,1841.5581744012886
1999-07-26,1691.2962024726917
1999-07-27,1804.2619538255738
1999-07-28,1843.7137676699815
1999-07-29,1887.7871263917766
1999-07-30,1849.6286622251653
1999-08-02,1901.090523011134
1999-08-03,1931.212398042372
