Date,COLOMBIA IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1004.9552121572071
1999-01-05,1019.7223547646176
1999-01-06,1031.4166810929448
1999-01-07,1031.1451046040506
1999-01-08,1036.267609087051
1999-01-11,1037.9297341753215
1999-01-12,999.7807754079141
1999-01-13,945.7427476570501
1999-01-14,942.8539056458
1999-01-15,953.1496914474657
1999-01-18,958.164928209187
1999-01-19,942.4364984163436
1999-01-20,959.285730381409
1999-01-21,949.1858715119939
1999-01-22,942.6375756053135
1999-01-25,930.6022559534754
1999-01-26,911.4278425180639
1999-01-27,928.894168416563
1999-01-28,916.9377394152663
1999-01-29,895.4633504217584
1999-02-01,897.0763429805298
1999-02-02,891.9384298189323
1999-02-03,884.8412085869744
1999-02-04,886.201071699814
1999-02-05,896.8295481996068
1999-02-08,898.8417767399794
1999-02-09,903.2449459136737
1999-02-10,915.9791689637469
1999-02-11,931.0980298024361
1999-02-12,947.0968973508236
1999-02-15,951.1917330299607
1999-02-16,949.6711601792355
1999-02-17,945.7744122244112
1999-02-18,957.6011782609456
1999-02-19,971.7881519627064
1999-02-22,979.1601264503691
1999-02-23,984.1549680815403
1999-02-24,961.0561135325006
1999-02-25,942.6975795667125
1999-02-26,961.8372709752803
1999-03-01,958.8569659676825
1999-03-02,952.4809635987017
1999-03-03,966.4184605650203
1999-03-04,979.2800913759718
1999-03-05,973.1384555222269
1999-03-08,974.9426279980335
1999-03-09,975.3949959485188
1999-03-10,965.9235205959433
1999-03-11,965.3001311045196
1999-03-12,955.5309198400212
1999-03-15,957.4834973628526
1999-03-16,973.0723647442865
1999-03-17,975.7687231441067
1999-03-18,980.5160394090948
1999-03-19,1003.3816937497538
1999-03-22,1005.3140166961285
1999-03-23,1012.0326247605635
1999-03-24,1010.7151601351284
1999-03-25,1031.6159940407417
1999-03-26,1037.5852922664055
1999-03-29,1038.634566107875
1999-03-30,1028.8516179887845
1999-03-31,1030.6502986674848
1999-04-01,1029.172697998813
1999-04-02,1031.4623985551953
1999-04-05,1037.803940735081
1999-04-06,1030.3485436183466
1999-04-07,1018.9889495074464
1999-04-08,1021.2588438950298
1999-04-09,1046.6850380618916
1999-04-12,1063.3465828382766
1999-04-13,1089.7240442024981
1999-04-14,1095.5065551595067
1999-04-15,1093.079809362444
1999-04-16,1124.1068341011191
1999-04-19,1170.7787998040335
1999-04-20,1170.2528956164679
1999-04-21,1172.2510615265444
1999-04-22,1183.5573362583812
1999-04-23,1206.7292551021123
1999-04-26,1241.6820591775409
1999-04-27,1260.2295439786042
1999-04-28,1249.2173234670126
1999-04-29,1285.6715321852573
1999-04-30,1277.0819051114402
1999-05-03,1289.0284033056828
1999-05-04,1326.1267322315148
1999-05-05,1302.1489564578242
1999-05-06,1259.1763080559613
1999-05-07,1286.7655134878885
1999-05-10,1297.6250420018005
1999-05-11,1312.6760639369973
1999-05-12,1344.1146967182458
1999-05-13,1361.9951806706179
1999-05-14,1343.1171439866152
1999-05-17,1350.3422010808022
1999-05-18,1344.44006425749
1999-05-19,1326.833296644494
1999-05-20,1313.0950361326286
1999-05-21,1290.4264012283872
1999-05-24,1277.8610744586495
1999-05-25,1222.532031774405
1999-05-26,1175.3242205602744
1999-05-27,1232.6647828701505
1999-05-28,1262.62875587806
1999-05-31,1262.063648592638
1999-06-01,1241.1169687887984
1999-06-02,1236.698210645949
1999-06-03,1239.511389132112
1999-06-04,1224.890573475267
1999-06-07,1227.9362417358116
1999-06-08,1190.4063274111056
1999-06-09,1172.611963262749
1999-06-10,1137.225199097058
1999-06-11,1113.774408037071
1999-06-14,1123.8036160530892
1999-06-15,1113.0335879256966
1999-06-16,1111.9205950827936
1999-06-17,1126.835186170636
1999-06-18,1130.7177814307615
1999-06-21,1133.096870064808
1999-06-22,1119.8374139809025
1999-06-23,1092.0347867048265
1999-06-24,1073.1140917764708
1999-06-25,1050.6638275461146
1999-06-28,1072.2177526632681
1999-06-29,1085.008652943806
1999-06-30,1078.5242210159645
1999-07-01,1083.6563540000848
1999-07-02,1090.702986827563
1999-07-05,1089.5302452357441
1999-07-06,1056.3206665120454
1999-07-07,1048.3951612822182
1999-07-08,1005.5298722307625
1999-07-09,998.7518461043351
1999-07-12,967.5857504621189
1999-07-13,974.3850810193949
1999-07-14,984.2802968259036
1999-07-15,1014.2713891621963
1999-07-16,1046.3132281861242
1999-07-19,1050.8520123954306
1999-07-20,1027.0286622585124
1999-07-21,1027.2858177639155
1999-07-22,1015.7697570260276
1999-07-23,994.8601841347102
1999-07-26,977.6723645804235
1999-07-27,985.9872825856927
1999-07-28,978.4484052913906
1999-07-29,974.7376646447634
1999-07-30,964.1797552693426
1999-08-02,971.7290094657895
1999-08-03,959.9959539777067
1999-08-04,921.3098470499991
1999-08-05,908.2328000797921
1999-08-06,912.0279772097125
