Date,ACWI IMI EQUAL WEIGHTED
1994-05-31,1000.0
1994-06-30,1003.783439816293
1994-07-29,1017.2945947295926
1994-08-31,1051.607913875443
1994-09-30,1043.3749607007414
1994-10-31,1055.7342075670351
1994-11-30,1002.8633731269365
1994-12-30,1011.7867326223393
1995-01-31,979.7480883034588
1995-02-28,984.3248702056707
1995-03-31,1019.1595176514217
1995-04-28,1029.610254287984
1995-05-31,1043.7517464725777
1995-06-30,1051.1280101016664
1995-07-31,1102.2488214065702
1995-08-31,1089.7863417797153
1995-09-29,1097.4913910627408
1995-10-31,1061.4362155975923
1995-11-30,1069.0177373683737
1995-12-29,1098.8633137806355
1996-01-31,1124.3632948116663
1996-02-29,1142.586364339054
1996-03-29,1160.2316716457262
1996-04-30,1225.9760878967352
1996-05-31,1228.6075206228636
1996-06-28,1211.9075771125488
1996-07-31,1151.0083973673836
1996-08-30,1169.2655544109405
1996-09-30,1185.2143579839171
1996-10-31,1170.7614449806617
1996-11-29,1186.5404621209007
1996-12-31,1168.7586855350974
1997-01-01,1168.8266993105647
1997-01-02,1165.5612156937937
1997-01-03,1169.3300920112042
1997-01-06,1172.0385047567381
1997-01-07,1175.3546040712376
1997-01-08,1173.8906594273064
1997-01-09,1173.128829680116
1997-01-10,1170.8111661196397
1997-01-13,1176.8584018591578
1997-01-14,1181.1889134267005
1997-01-15,1185.309365825138
1997-01-16,1191.2761582867504
1997-01-17,1191.4778771565102
1997-01-20,1191.7219787555437
1997-01-21,1188.0283013184319
1997-01-22,1188.2322940056376
1997-01-23,1184.7922603699299
1997-01-24,1182.432266233206
1997-01-27,1177.1672464636704
1997-01-28,1172.479374491308
1997-01-29,1171.829550568048
1997-01-30,1175.579413577437
1997-01-31,1180.6856572733507
1997-02-03,1181.3676343411898
1997-02-04,1182.8402769708052
1997-02-05,1179.128375192764
1997-02-06,1179.432500869042
1997-02-07,1176.5985393391325
1997-02-10,1181.4850651917395
1997-02-11,1180.27789264755
1997-02-12,1182.914584662515
