Date,EM LATAM ex BR IMI MOMENTUM
1996-05-31,1000.0
1996-06-28,985.1425335015915
1996-07-31,931.7433624445116
1996-08-30,997.03973745314
1996-09-30,1028.6540756843322
1996-10-31,964.3378367394049
1996-11-29,1000.3881370739952
1996-12-31,1033.2119294552965
1997-01-01,1033.2119294552965
1997-01-02,1023.1332651106144
1997-01-03,1036.3588759810493
1997-01-06,1046.3499852359353
1997-01-07,1054.7139676235083
1997-01-08,1058.786973471919
1997-01-09,1061.5609872564305
1997-01-10,1062.0282222286166
1997-01-13,1062.4712175879456
1997-01-14,1072.2923898621864
1997-01-15,1079.1370225627636
1997-01-16,1068.170585984642
1997-01-17,1075.6804758740855
1997-01-20,1080.463048075789
1997-01-21,1087.6886983923366
1997-01-22,1082.7508181200428
1997-01-23,1082.2657015355448
1997-01-24,1066.352610981049
1997-01-27,1060.2191024113074
1997-01-28,1065.042313935369
1997-01-29,1063.12730982183
1997-01-30,1078.2206642263686
1997-01-31,1073.0284038372547
1997-02-03,1078.9870455717933
1997-02-04,1088.1835378211465
1997-02-05,1088.9145859165983
1997-02-06,1084.981357582713
1997-02-07,1090.1272500376206
1997-02-10,1091.476404508421
1997-02-11,1094.780204186987
1997-02-12,1108.3588168969513
1997-02-13,1113.3678809909377
1997-02-14,1118.4361483886607
1997-02-17,1125.8730888939097
1997-02-18,1124.407071867175
1997-02-19,1131.5760989408723
1997-02-20,1130.4451660028067
1997-02-21,1141.281432722593
1997-02-24,1155.5483779202305
1997-02-25,1155.1060160105983
1997-02-26,1140.6373197882165
1997-02-27,1112.5707113977412
1997-02-28,1103.5109359646178
1997-03-03,1085.0567776602097
1997-03-04,1080.320125420198
1997-03-05,1075.05619001678
1997-03-06,1074.978396071629
1997-03-07,1086.397866020615
1997-03-10,1104.6562208873454
1997-03-11,1094.4630481702152
1997-03-12,1085.9443169062383
1997-03-13,1076.2615839292027
1997-03-14,1078.3725630398085
1997-03-17,1074.4727396806923
1997-03-18,1078.459685873264
1997-03-19,1087.5701051661324
1997-03-20,1092.9327418480143
1997-03-21,1096.212888279476
1997-03-24,1105.8990464913945
1997-03-25,1110.4652260762919
1997-03-26,1108.9600065411714
1997-03-27,1108.9639051385586
1997-03-28,1108.9006630262434
1997-03-31,1081.1546830555787
1997-04-01,1079.7484433906302
1997-04-02,1085.5016579171045
1997-04-03,1082.048729766623
1997-04-04,1085.960426361939
1997-04-07,1090.8868800101798
1997-04-08,1086.594417242393
1997-04-09,1083.2614488190218
1997-04-10,1075.3054372689894
1997-04-11,1060.5266192606844
1997-04-14,1059.8110954630595
1997-04-15,1076.4996864571265
1997-04-16,1090.8845520818838
1997-04-17,1085.0613501127004
1997-04-18,1084.4753788888029
1997-04-21,1083.023494349244
1997-04-22,1100.2748717442591
1997-04-23,1108.7114847548269
1997-04-24,1099.1224004625706
1997-04-25,1104.5914102134411
1997-04-28,1098.4234137728693
1997-04-29,1108.7013131787185
1997-04-30,1110.8055068082406
1997-05-01,1111.460846444178
1997-05-02,1125.4106579266015
1997-05-05,1129.51165227621
1997-05-06,1128.3084357546654
1997-05-07,1122.3422932328024
1997-05-08,1134.3781947949983
1997-05-09,1138.4807092518117
1997-05-12,1144.1519453791611
1997-05-13,1144.14742366315
1997-05-14,1148.4959697968904
1997-05-15,1158.748520303075
1997-05-16,1160.787197731065
1997-05-19,1164.487390755651
1997-05-20,1174.424116697086
1997-05-21,1181.8922659630582
1997-05-22,1188.359099179626
1997-05-23,1190.6872707817263
1997-05-26,1190.8631748235582
1997-05-27,1182.3530617421006
1997-05-28,1174.2153183117957
1997-05-29,1177.0338353465922
1997-05-30,1187.833520845234
1997-06-02,1210.2681015419926
1997-06-03,1204.3731683753906
1997-06-04,1196.2441343580813
1997-06-05,1196.698850417155
1997-06-06,1195.867415391482
1997-06-09,1198.593196335403
1997-06-10,1200.3907975760394
1997-06-11,1207.5778999398242
1997-06-12,1217.6800145502982
1997-06-13,1219.3006955667738
1997-06-16,1218.3396449416766
1997-06-17,1214.042360271003
1997-06-18,1214.2463459535043
1997-06-19,1217.714424059928
1997-06-20,1218.6508150989237
1997-06-23,1214.7021969954108
1997-06-24,1211.308548923134
1997-06-25,1209.013959392115
1997-06-26,1207.5846084839059
1997-06-27,1207.0016119408485
1997-06-30,1207.3053286721724
1997-07-01,1220.9632588784596
1997-07-02,1230.226757565828
1997-07-03,1237.4171025288574
1997-07-04,1247.0140488793081
1997-07-07,1255.5698993996707
1997-07-08,1259.4551114108242
1997-07-09,1258.7597282136917
1997-07-10,1265.332057255051
1997-07-11,1262.7850897525047
1997-07-14,1257.9303012718524
1997-07-15,1227.526270525671
1997-07-16,1247.5091723874068
1997-07-17,1248.4520240107286
1997-07-18,1236.6824036919643
1997-07-21,1220.1623268103108
1997-07-22,1232.6012352614075
1997-07-23,1241.8513951926516
1997-07-24,1242.674029001524
1997-07-25,1258.575924968625
1997-07-28,1251.1809970116287
1997-07-29,1260.8439397693755
1997-07-30,1268.1688967205482
1997-07-31,1272.084237086546
1997-08-01,1267.0275102305234
1997-08-04,1275.774559964068
1997-08-05,1293.9650498553865
1997-08-06,1308.7596463111097
1997-08-07,1287.7307825455187
1997-08-08,1280.4507048791081
1997-08-11,1283.914603999681
1997-08-12,1285.241444856079
1997-08-13,1286.4195766723496
1997-08-14,1288.5437348298983
1997-08-15,1287.0278320583848
