Date,MSCI USA Consumer Discretionary 20-35 Custom
2013-05-31,1000.0
2013-06-03,1005.1409502514949
2013-06-04,1000.8919640364302
2013-06-05,984.6375066496234
2013-06-06,994.7344376434337
2013-06-07,1012.497414255009
2013-06-10,1009.1402683780137
2013-06-11,998.4580201539048
2013-06-12,987.7932466577781
2013-06-13,1004.5013732371457
2013-06-14,1002.5722752994137
2013-06-17,1007.5972686389913
2013-06-18,1018.0735672344846
2013-06-19,1007.0015844191221
2013-06-20,979.7968621496194
2013-06-21,981.5493769826743
2013-06-24,971.9602935197732
2013-06-25,981.0682383660189
2013-06-26,993.8600023651178
2013-06-27,1003.9215365591034
2013-06-28,1007.0276154439206
2013-07-01,1013.7037796934904
2013-07-02,1015.1527150490176
2013-07-03,1020.2755375652413
2013-07-04,1020.2755375652413
2013-07-05,1030.1122219472998
2013-07-08,1038.9420524482912
2013-07-09,1043.7323349089193
2013-07-10,1044.656164738983
2013-07-11,1059.6541556402046
2013-07-12,1065.283035463882
2013-07-15,1062.4817071327031
2013-07-16,1056.969218276844
2013-07-17,1058.5191480643332
2013-07-18,1064.5446257319102
2013-07-19,1063.7180003977462
2013-07-22,1063.3588561539202
2013-07-23,1061.5429338073266
2013-07-24,1057.8619353537592
2013-07-25,1059.3201481431436
2013-07-26,1063.127947793821
2013-07-29,1057.5112465965947
2013-07-30,1055.4949431591572
2013-07-31,1060.7970680162575
2013-08-01,1078.2660729626507
2013-08-02,1085.6346846344973
2013-08-05,1083.502569174418
2013-08-06,1077.8362932199489
2013-08-07,1068.9643228365103
2013-08-08,1076.3387551682874
2013-08-09,1073.4831337805629
2013-08-12,1072.555568110106
2013-08-13,1072.5031909896938
2013-08-14,1061.1001563738362
2013-08-15,1042.8564376990987
2013-08-16,1038.8971202656903
2013-08-19,1034.7287509345092
2013-08-20,1044.0372909161163
2013-08-21,1035.9657293280727
2013-08-22,1047.1555149334336
2013-08-23,1047.582197366457
2013-08-26,1045.6418548963788
2013-08-27,1028.1034672079372
2013-08-28,1032.6805274122191
2013-08-29,1038.4194211288368
2013-08-30,1031.7394385828143
