Date,AC AMERICAS IMI VALUE
2007-05-31,1000.0
2007-06-01,1008.1798250598417
2007-06-04,1004.9772230552276
2007-06-05,995.3867543790997
2007-06-06,988.1531006161234
2007-06-07,973.235470570109
2007-06-08,990.5008666528092
2007-06-11,994.0986139578597
2007-06-12,985.3595035726446
2007-06-13,1000.4797574578722
2007-06-14,1004.0043539962945
2007-06-15,1007.4276203538578
2007-06-18,1003.2898738948622
2007-06-19,1005.1703517096774
2007-06-20,989.6812611102002
2007-06-21,995.660666512249
2007-06-22,981.150416275346
2007-06-25,975.9109558363049
2007-06-26,972.0064480189296
2007-06-27,982.0078105518307
2007-06-28,980.6626352061473
2007-06-29,977.1859689305744
2007-07-02,979.3693392779062
2007-07-03,984.1844326431134
2007-07-04,983.6449028863472
2007-07-05,983.6801520676203
2007-07-06,984.5917164143649
2007-07-09,986.0905620205946
2007-07-10,964.4877289122848
2007-07-11,965.3395086379428
2007-07-12,984.34237142668
2007-07-13,988.3343482774748
2007-07-16,985.3139047361892
2007-07-17,983.1532288120628
2007-07-18,979.7462778858645
2007-07-19,981.6195459334601
2007-07-20,968.1636489664937
2007-07-23,973.0675797254838
2007-07-24,949.8552093656846
2007-07-25,962.0797798853769
2007-07-26,935.8095545314807
2007-07-27,924.1874711071451
2007-07-30,930.7254694679553
2007-07-31,921.70329008558
2007-08-01,926.8608997398852
2007-08-02,930.6625746190257
2007-08-03,897.394704419505
2007-08-06,916.2900078596781
2007-08-07,925.611869361626
2007-08-08,937.3000921021551
2007-08-09,916.0438820217465
2007-08-10,918.1782078674307
2007-08-13,919.988830909558
2007-08-14,905.4913612874827
2007-08-15,899.5379206794229
2007-08-16,910.5659909241296
2007-08-17,928.0392034682948
2007-08-20,930.9367707958475
2007-08-21,931.9103488456886
2007-08-22,941.6722405251446
2007-08-23,936.9641758219132
2007-08-24,941.8562438044742
2007-08-27,933.4455887741138
2007-08-28,910.0435400257253
2007-08-29,928.0782707604391
2007-08-30,924.2294919967954
2007-08-31,935.1328589220254
2007-09-03,937.2504053979194
2007-09-04,947.7028902281817
2007-09-05,931.9719974116927
2007-09-06,932.229151021314
2007-09-07,913.2185805785947
2007-09-10,907.5298968254889
2007-09-11,917.1866107226399
2007-09-12,915.2342055124535
2007-09-13,924.9098768788044
2007-09-14,926.3036194124663
2007-09-17,922.1063529534317
2007-09-18,950.2633999406586
2007-09-19,951.962822818176
2007-09-20,936.1897613832999
2007-09-21,939.3445869657011
2007-09-24,933.5346895066112
2007-09-25,929.013300470937
2007-09-26,934.6919674475821
2007-09-27,937.8617276960389
2007-09-28,929.2683845790034
2007-10-01,942.1670037108958
2007-10-02,948.587866174168
2007-10-03,945.4019395335237
2007-10-04,948.9754083739712
2007-10-05,959.1720597661295
2007-10-08,959.142626865251
2007-10-09,964.6939136660349
2007-10-10,956.3338234413405
2007-10-11,948.7891727129122
2007-10-12,954.7876145421686
2007-10-15,944.2677600479321
2007-10-16,939.4486401200395
2007-10-17,937.8240607017401
2007-10-18,929.3702945675133
2007-10-19,909.5239125486206
2007-10-22,918.6651620255815
2007-10-23,919.0365431434992
2007-10-24,916.7936064593846
2007-10-25,911.547133134304
2007-10-26,921.0321960045328
2007-10-29,924.1019744981388
2007-10-30,915.7486050215903
2007-10-31,923.695517576595
2007-11-01,898.1943576175194
2007-11-02,891.811049339238
2007-11-05,886.2354696495905
2007-11-06,893.0253939221684
2007-11-07,859.5718737692948
2007-11-08,865.05310068375
2007-11-09,857.5719754528624
2007-11-12,856.03028929097
2007-11-13,874.524652057254
2007-11-14,866.0905515187196
2007-11-15,854.7720245317229
2007-11-16,855.4993069414495
2007-11-19,837.4227535111057
2007-11-20,832.0142010227178
2007-11-21,815.4269616884167
2007-11-22,815.0316866027101
2007-11-23,830.5067660891317
2007-11-26,807.5101563001713
2007-11-27,817.0055243081761
2007-11-28,847.2803829167881
2007-11-29,846.5462600385549
2007-11-30,862.341926565551
2007-12-03,858.4474705852853
2007-12-04,845.0677855331672
2007-12-05,863.8564757213616
2007-12-06,879.8418337434831
2007-12-07,877.2839657935967
2007-12-10,880.8523548931238
2007-12-11,859.574774407889
2007-12-12,863.7383722361556
2007-12-13,866.8108118929553
2007-12-14,863.6928910465247
2007-12-17,855.2487188668266
2007-12-18,859.8236096960622
2007-12-19,859.9233342503169
2007-12-20,864.7784632723602
2007-12-21,877.5302293004053
2007-12-24,883.4061793441133
2007-12-25,883.4061793441133
2007-12-26,878.2191564046324
2007-12-27,862.4953298209748
2007-12-28,856.5106703565514
2007-12-31,856.2444878991781
2008-01-01,856.2444878991781
2008-01-02,838.6479754264575
2008-01-03,837.3297941159304
2008-01-04,816.8615410027114
2008-01-07,823.3421500218758
2008-01-08,810.9770305157663
2008-01-09,821.3628303821177
2008-01-10,824.4899925732842
2008-01-11,812.8205730099887
2008-01-14,813.6565002336802
2008-01-15,795.1113683928651
2008-01-16,801.9239766655596
2008-01-17,776.6313573115996
2008-01-18,772.0964207476031
2008-01-21,774.198045544984
2008-01-22,768.131323957664
2008-01-23,792.9570222448843
2008-01-24,791.2534565540973
2008-01-25,781.1228829147162
2008-01-28,792.5714007961674
2008-01-29,802.0484426012645
2008-01-30,796.8892854023053
2008-01-31,809.1970958260175
2008-02-01,820.4876740003671
2008-02-04,812.7764324181478
2008-02-05,795.620897044426
2008-02-06,789.5429864007451
2008-02-07,804.6829833725064
2008-02-08,798.9160265502375
2008-02-11,799.5584006212416
2008-02-12,802.3280728471165
2008-02-13,813.2629057009019
2008-02-14,799.8417689849373
