Date,AC PACIFIC IMI VALUE
1998-12-31,435.77469860465754
1999-01-01,435.7749805191674
1999-01-04,428.746865223233
1999-01-05,428.9000376380948
1999-01-06,435.0545622160198
1999-01-07,447.37304396020306
1999-01-08,446.6805079302989
1999-01-11,454.8868630803762
1999-01-12,446.1150052484886
1999-01-13,432.522863803957
1999-01-14,434.3136131734396
1999-01-15,438.3840297323135
1999-01-18,438.9297110682418
1999-01-19,440.38610362454773
1999-01-20,446.43288958871227
1999-01-21,447.7123872915319
1999-01-22,439.93207912937595
1999-01-25,438.84299222438193
1999-01-26,441.2166632023985
1999-01-27,443.53173875758995
1999-01-28,442.4061170882199
1999-01-29,448.39906538827194
1999-02-01,452.79583249438156
1999-02-02,455.9748717867998
1999-02-03,451.95993440206547
1999-02-04,452.33870212911097
1999-02-05,447.73169136859445
1999-02-08,448.97338689932633
1999-02-09,441.21922687730506
1999-02-10,438.6273430088764
1999-02-11,441.37012370099575
1999-02-12,445.9888516737136
1999-02-15,446.1492917249391
1999-02-16,442.1281318401112
1999-02-17,435.86072568824017
1999-02-18,433.2648505125798
1999-02-19,435.6062856690486
1999-02-22,443.19118506324054
1999-02-23,445.64166633053856
1999-02-24,445.31487201467354
1999-02-25,446.3880737959929
1999-02-26,452.37073602575236
1999-03-01,450.2906356395603
1999-03-02,443.66965842481295
1999-03-03,444.5058485742797
1999-03-04,443.06973961972426
1999-03-05,457.27315434281036
1999-03-08,458.76917056285725
1999-03-09,464.45206387305865
1999-03-10,473.4865630525038
1999-03-11,481.30197823421537
1999-03-12,480.54803194752606
1999-03-15,489.56803171201767
1999-03-16,500.0834144166555
1999-03-17,499.29192946069895
1999-03-18,494.41541238390687
1999-03-19,511.6860301371394
1999-03-22,511.08289427955873
1999-03-23,510.4115365107513
1999-03-24,500.80288561148996
1999-03-25,509.4422666674271
1999-03-26,513.2827610363938
1999-03-29,514.0572548587602
1999-03-30,509.94143877677607
1999-03-31,515.5216630718813
1999-04-01,521.903605809229
1999-04-02,521.1935454196292
1999-04-05,521.7156339405573
1999-04-06,528.341477024677
1999-04-07,528.746493799838
1999-04-08,535.0585148946718
1999-04-09,538.4238998970812
1999-04-12,530.936331549196
1999-04-13,538.7792053486543
1999-04-14,547.1657601872663
1999-04-15,552.9946614163149
1999-04-16,564.6016352832899
1999-04-19,572.3576270151849
1999-04-20,565.914172170967
1999-04-21,557.1313576081083
1999-04-22,560.8340968038774
1999-04-23,565.6828336003085
1999-04-26,573.4741375566289
1999-04-27,570.8998547942631
1999-04-28,572.6766325209102
1999-04-29,574.2157462603346
1999-04-30,573.7072074637954
1999-05-03,572.2000800980995
1999-05-04,571.0797675871981
1999-05-05,566.904277659569
1999-05-06,577.4159273168459
1999-05-07,570.8842893446807
1999-05-10,571.9330823173908
