Date,AC ASIA ex JAPAN IMI VALUE
1998-12-31,382.4852008358592
1999-01-01,382.4864329545958
1999-01-04,382.9078810349431
1999-01-05,385.25322540778654
1999-01-06,396.1752460976801
1999-01-07,412.1769854846286
1999-01-08,415.08302476047794
1999-01-11,417.55176561020636
1999-01-12,413.21196090381505
1999-01-13,397.1774164419538
1999-01-14,387.405969868661
1999-01-15,394.98517782421857
1999-01-18,400.20113809854746
1999-01-19,397.1576654628311
1999-01-20,399.0257573079437
1999-01-21,389.69142615149184
1999-01-22,377.3384035545778
1999-01-25,365.69221050310125
1999-01-26,367.8013779331862
1999-01-27,379.33269070137004
1999-01-28,375.5771591156995
1999-01-29,376.9078811366404
1999-02-01,377.8326612364161
1999-02-02,371.6933824853172
1999-02-03,368.7399112119349
1999-02-04,366.4649220895004
1999-02-05,361.0948762236802
1999-02-08,363.3018373618988
1999-02-09,356.7031790102706
1999-02-10,354.8817492826421
1999-02-11,359.63198314438034
1999-02-12,368.54254629668816
1999-02-15,369.4690887838407
1999-02-16,371.7382276117398
1999-02-17,369.46051159272804
1999-02-18,366.48085797306766
1999-02-19,365.86625450336305
1999-02-22,372.474409997829
1999-02-23,375.47831308608534
1999-02-24,378.29684115138656
1999-02-25,374.80419429708564
1999-02-26,381.7901139241726
1999-03-01,386.8113669358085
1999-03-02,387.42989020043706
1999-03-03,390.41410924212784
1999-03-04,391.53668336277514
1999-03-05,395.1131556240856
1999-03-08,401.39004761570226
1999-03-09,403.16151783701514
1999-03-10,403.303780416823
1999-03-11,406.20982080748473
1999-03-12,406.0419268104331
1999-03-15,409.814065184246
1999-03-16,413.2892877081764
1999-03-17,409.1567551365088
1999-03-18,406.1114067050532
1999-03-19,418.38830455313075
1999-03-22,422.5476487256456
1999-03-23,422.6345772122407
1999-03-24,416.6444698340243
1999-03-25,421.50537867404614
1999-03-26,426.3487187292134
1999-03-29,422.88579629378233
1999-03-30,427.0735649158839
1999-03-31,426.66967711844455
1999-04-01,431.5497258904315
1999-04-02,437.55469832824485
1999-04-05,439.2141735854002
1999-04-06,440.52633295548816
1999-04-07,446.5383642362876
1999-04-08,448.8601577296219
1999-04-09,454.61276547502445
1999-04-12,450.22942552351645
1999-04-13,456.89460782444917
1999-04-14,459.9276860052146
1999-04-15,472.35708651723223
1999-04-16,490.85990979583846
1999-04-19,511.72768255280056
1999-04-20,504.366546941009
1999-04-21,504.49137532579647
1999-04-22,512.3770340727453
1999-04-23,513.6714229045434
1999-04-26,521.9961121844282
1999-04-27,525.9222419374489
1999-04-28,520.479449859512
1999-04-29,516.9958051016355
1999-04-30,525.9126308843499
1999-05-03,530.8451237129477
1999-05-04,545.2774112054343
1999-05-05,546.5704340855389
1999-05-06,548.3876145224663
1999-05-07,535.3855120327531
1999-05-10,537.2544885323857
1999-05-11,537.7617875402801
1999-05-12,537.4058855514871
1999-05-13,535.5694036392026
1999-05-14,533.250184114374
1999-05-17,529.0808956201276
1999-05-18,532.5972509625867
1999-05-19,530.8678918512816
1999-05-20,529.0931487010934
1999-05-21,530.0430092051739
1999-05-24,527.221011537071
1999-05-25,521.0397419029076
1999-05-26,528.1076405003809
1999-05-27,528.8075147526616
1999-05-28,521.5118996104646
1999-05-31,525.3366115589774
1999-06-01,530.0307132771437
1999-06-02,540.9183731947759
1999-06-03,544.765549496025
1999-06-04,550.8975215284901
1999-06-07,567.0707431227049
1999-06-08,569.5927465418432
1999-06-09,565.0257838895168
1999-06-10,569.0369063739795
1999-06-11,570.931198659691
1999-06-14,569.9962499317359
1999-06-15,564.3721593724501
1999-06-16,579.7454035154957
1999-06-17,585.7558630372066
1999-06-18,582.6167549112415
1999-06-21,603.4168616433005
1999-06-22,611.1051030465634
1999-06-23,612.6170391815405
1999-06-24,606.7029267598086
1999-06-25,595.1409076334018
1999-06-28,605.0080968267562
1999-06-29,606.3705436804556
1999-06-30,599.2061010643864
1999-07-01,610.0457769290789
1999-07-02,619.3240557153808
1999-07-05,628.0588069058564
1999-07-06,625.6855579669733
1999-07-07,623.5551371246642
1999-07-08,622.5841734762131
1999-07-09,626.7860749814545
1999-07-12,631.0779757291774
1999-07-13,621.4479765400499
1999-07-14,608.4687569280541
1999-07-15,609.8890375618278
1999-07-16,606.2014303994963
1999-07-19,606.5840999150068
1999-07-20,592.2155538733973
1999-07-21,580.459737657697
1999-07-22,577.5307418272916
1999-07-23,561.4118480060799
1999-07-26,539.6485302733672
1999-07-27,546.3531701083795
1999-07-28,555.66940842857
1999-07-29,555.2620062538988
1999-07-30,549.9239274821477
1999-08-02,549.9520635834905
1999-08-03,553.6650555579528
1999-08-04,550.0940187436236
1999-08-05,534.975082754423
1999-08-06,531.2223014028531
1999-08-09,536.678360289888
1999-08-10,530.5670662697823
1999-08-11,522.2584317039425
1999-08-12,528.5312132501908
1999-08-13,528.6278725135464
1999-08-16,539.037545218184
1999-08-17,536.6567006960922
1999-08-18,543.476078380407
1999-08-19,545.9067611531838
1999-08-20,552.1356163102186
1999-08-23,565.7318327125517
1999-08-24,568.3943954771219
1999-08-25,578.1954593994785
1999-08-26,579.924721978906
1999-08-27,576.2123427327874
1999-08-30,576.2932340373715
1999-08-31,565.7419030986068
1999-09-01,558.3215906134908
1999-09-02,546.130508927833
1999-09-03,547.3419796185833
1999-09-06,555.640161022504
1999-09-07,553.158150097534
1999-09-08,548.95607950788
1999-09-09,563.3601092226633
1999-09-10,572.8268250460887
1999-09-13,580.9534574380436
1999-09-14,576.8855440894803
1999-09-15,567.6905610203005
1999-09-16,558.9654011863213
1999-09-17,562.6344795090779
1999-09-20,562.6746882055814
1999-09-21,559.3898883418458
1999-09-22,550.42127760011
1999-09-23,553.0577980003095
1999-09-24,547.6634183634791
1999-09-27,537.8379673931485
1999-09-28,533.2416544045168
1999-09-29,525.7094523826904
1999-09-30,519.0896346944637
1999-10-01,521.1474802957673
1999-10-04,519.8614354491914
1999-10-05,519.1694278028498
1999-10-06,524.6363100539625
1999-10-07,529.9450943098044
1999-10-08,534.2610728558399
1999-10-11,533.8244150171325
1999-10-12,531.5443894633365
1999-10-13,524.893120323285
1999-10-14,527.5010815269327
1999-10-15,516.2380271300667
1999-10-18,511.86239819187705
1999-10-19,510.49646011529717
1999-10-20,521.6529827352613
1999-10-21,517.4789229048064
1999-10-22,526.8946965687495
1999-10-25,526.8372185468651
1999-10-26,528.9190632949669
1999-10-27,528.1789168313766
1999-10-28,529.6815222679696
1999-10-29,533.1980121795677
1999-11-01,538.9370399175235
1999-11-02,543.660471996959
1999-11-03,541.9950490044147
1999-11-04,551.7096102638375
1999-11-05,553.6358786545428
1999-11-08,554.6453655677471
1999-11-09,557.7058535233941
1999-11-10,556.5369151796465
1999-11-11,559.7517667307695
1999-11-12,567.2728816635253
1999-11-15,566.8720832574708
1999-11-16,570.3765218535675
1999-11-17,560.3606277447975
1999-11-18,564.8771917837075
1999-11-19,573.0036906032593
1999-11-22,576.5972577027939
1999-11-23,576.6669335515543
1999-11-24,581.4998855668221
1999-11-25,579.2386388429151
1999-11-26,581.6849018075674
1999-11-29,588.2104315760896
1999-11-30,589.057962302464
1999-12-01,592.7142646530672
1999-12-02,600.9456273571388
1999-12-03,605.3801537190046
1999-12-06,601.4832135687928
1999-12-07,597.0275613831568
1999-12-08,596.0711628073793
1999-12-09,600.0003682671407
1999-12-10,609.1440021308903
1999-12-13,612.1673600354109
1999-12-14,611.3144773251511
1999-12-15,600.6201226240601
1999-12-16,588.2078121947812
1999-12-17,595.9657062120879
1999-12-20,599.302264366937
1999-12-21,593.7384423243672
1999-12-22,596.9504563867824
1999-12-23,592.4975363488677
1999-12-24,599.0857084937343
1999-12-27,600.300311238455
1999-12-28,607.5119426107517
1999-12-29,607.9360503360009
1999-12-30,613.8287603928281
1999-12-31,613.9056794062586
2000-01-03,615.8301382124833
2000-01-04,623.1325383968422
2000-01-05,595.7513643408681
