Date,GOLDEN DRAGON IMI VALUE
2007-05-31,1000.0
2007-06-01,1007.7713691380716
2007-06-04,1009.1065530279537
2007-06-05,1013.1422152377633
2007-06-06,1015.0458129761325
2007-06-07,1016.9500994297354
2007-06-08,1014.4328065861012
2007-06-11,1021.486032850085
2007-06-12,1025.232272215279
2007-06-13,1025.1661624102694
2007-06-14,1036.8393137531364
2007-06-15,1042.4324174116255
2007-06-18,1053.9326860142712
2007-06-19,1053.5320336008035
2007-06-20,1068.41770377919
2007-06-21,1082.8263349983092
2007-06-22,1081.891362516263
2007-06-25,1078.998013741902
2007-06-26,1074.6989357539721
2007-06-27,1070.167821941103
2007-06-28,1075.2611445951784
2007-06-29,1068.3514700880805
2007-07-02,1063.0976722499095
2007-07-03,1084.4171175943402
2007-07-04,1087.9464034058578
2007-07-05,1092.844860193095
2007-07-06,1099.098004855818
2007-07-09,1117.092630338448
2007-07-10,1110.833600655286
2007-07-11,1095.4166740620817
2007-07-12,1107.9805713040726
2007-07-13,1119.895312667629
2007-07-16,1115.0834765577965
2007-07-17,1120.4601042967106
2007-07-18,1110.4072125075927
2007-07-19,1114.6634694484992
2007-07-20,1130.4070636381928
2007-07-23,1138.814744375627
2007-07-24,1146.8540530012265
2007-07-25,1155.4996639149915
2007-07-26,1142.1085773709372
2007-07-27,1109.3614447171522
2007-07-30,1106.141219008285
2007-07-31,1128.3479152052385
2007-08-01,1087.6772756215926
2007-08-02,1085.490400937605
2007-08-03,1086.378725922275
2007-08-06,1060.2373814395844
2007-08-07,1056.8745211998794
2007-08-08,1081.4354289228036
2007-08-09,1093.431891775543
2007-08-10,1061.6745024834286
2007-08-13,1070.884867316045
2007-08-14,1077.9528849131918
2007-08-15,1051.3194917329872
2007-08-16,1009.1225483250114
2007-08-17,982.6687014727967
2007-08-20,1044.8458785467185
2007-08-21,1049.1007928587037
2007-08-22,1066.248126444109
2007-08-23,1093.023378784617
2007-08-24,1087.514878335137
2007-08-27,1118.099967877837
2007-08-28,1109.5310482022255
2007-08-29,1092.9383349611417
2007-08-30,1115.144479471703
2007-08-31,1143.7934795998083
2007-09-03,1145.3855498132193
2007-09-04,1142.9473626243314
2007-09-05,1140.2819049816385
2007-09-06,1141.4917094451712
2007-09-07,1131.3450809312117
2007-09-10,1125.0855631923569
2007-09-11,1122.0228478310225
2007-09-12,1131.621560054233
2007-09-13,1133.290762711103
2007-09-14,1153.5567858016857
2007-09-17,1141.0091070793458
2007-09-18,1140.914754124948
2007-09-19,1165.7307217949776
2007-09-20,1165.1684219107017
2007-09-21,1174.9124841175947
2007-09-24,1201.860761691003
2007-09-25,1196.2639981647364
2007-09-26,1205.4446478257023
2007-09-27,1235.3848815923816
2007-09-28,1235.6629382520812
2007-10-01,1238.8108893447456
2007-10-02,1282.7726889294781
2007-10-03,1257.2320292436239
2007-10-04,1230.9015741374003
2007-10-05,1259.8758199499225
2007-10-08,1260.5933623408216
2007-10-09,1266.891703827697
2007-10-10,1270.8761938795549
2007-10-11,1295.8679300475433
2007-10-12,1294.4473308532251
2007-10-15,1325.2654774347125
2007-10-16,1322.8341150041003
2007-10-17,1327.7095096571854
2007-10-18,1326.0261775802676
2007-10-19,1328.3501881620389
2007-10-22,1294.3555843455451
2007-10-23,1319.4133518207718
2007-10-24,1316.4636328448491
2007-10-25,1325.623434436231
2007-10-26,1338.628172512658
2007-10-29,1382.900604703379
2007-10-30,1375.057754852838
2007-10-31,1358.2782251339256
2007-11-01,1359.5884474763827
2007-11-02,1313.657833630212
2007-11-05,1264.7662845517907
2007-11-06,1266.0646823311304
2007-11-07,1264.442830201161
2007-11-08,1214.9030440608774
2007-11-09,1219.49550424144
2007-11-12,1178.679432404957
2007-11-13,1175.3773624561957
