Date,AC ASIA IMI VALUE
1998-12-31,448.10744698137336
1999-01-01,448.1077625458022
1999-01-04,440.103413384204
1999-01-05,439.98824379345723
1999-01-06,445.4174762374378
1999-01-07,458.1700184102877
1999-01-08,457.8847430708122
1999-01-11,466.5725580113538
1999-01-12,456.31646215438457
1999-01-13,442.65282523621613
1999-01-14,444.78643122057247
1999-01-15,448.4482536578111
1999-01-18,448.8132957008073
1999-01-19,449.3066041115475
1999-01-20,455.56806117026497
1999-01-21,457.7343583902439
1999-01-22,449.64586279922753
1999-01-25,448.9338355575039
1999-01-26,451.7196286591676
1999-01-27,454.0595872280725
1999-01-28,452.0696921333176
1999-01-29,458.1949943712716
1999-02-01,461.9363688517758
1999-02-02,465.2034044271833
1999-02-03,460.2754297613765
1999-02-04,459.78921336053037
1999-02-05,454.09862260685185
1999-02-08,455.43533138259295
1999-02-09,447.408149699707
1999-02-10,445.6269735730119
1999-02-11,448.28283200312717
1999-02-12,453.30283897937016
1999-02-15,453.4449225763464
1999-02-16,449.934823827042
1999-02-17,443.17782950633807
1999-02-18,440.22390965375007
1999-02-19,441.30956861167795
1999-02-22,449.28866644882675
1999-02-23,451.7242202595519
1999-02-24,451.6317659907978
1999-02-25,454.159313765313
1999-02-26,461.26527551727
1999-03-01,459.01996820114334
1999-03-02,451.7644999308687
1999-03-03,452.5765368177758
1999-03-04,450.63377533166783
1999-03-05,466.0075085649725
1999-03-08,467.21805031973815
1999-03-09,473.3092984998034
1999-03-10,483.5592286121854
1999-03-11,491.2575756927329
1999-03-12,490.49975773063744
1999-03-15,500.41104224750126
1999-03-16,512.607015941072
1999-03-17,512.0357950500734
1999-03-18,506.1230388795563
1999-03-19,525.0394155489857
1999-03-22,524.0680361272663
1999-03-23,522.5894391044812
1999-03-24,512.0070669032742
1999-03-25,521.4705146220723
1999-03-26,524.5799723401257
1999-03-29,525.8599321604594
1999-03-30,521.7256984741322
1999-03-31,528.5998626668197
1999-04-01,535.0528637814914
1999-04-02,534.4518209219058
1999-04-05,534.3765511680223
1999-04-06,541.790869395814
1999-04-07,542.8096548990461
1999-04-08,549.9305756480658
1999-04-09,552.4838997122939
1999-04-12,544.1043811416693
1999-04-13,551.543428118493
1999-04-14,560.2606020786044
1999-04-15,565.8415979039331
1999-04-16,577.701167903421
1999-04-19,584.922084267623
1999-04-20,579.0431249463277
1999-04-21,569.5411448001929
1999-04-22,571.9413934740118
1999-04-23,577.4391052770945
1999-04-26,585.748859862994
1999-04-27,582.660763942769
1999-04-28,584.8431631096029
1999-04-29,585.8584840629308
1999-04-30,584.9429525716171
1999-05-03,583.8907570031199
1999-05-04,582.9242323273121
1999-05-05,579.9239839910771
1999-05-06,591.6792361845582
1999-05-07,586.1105070972842
1999-05-10,587.7476770995959
1999-05-11,583.5781568475944
1999-05-12,587.3167185383546
1999-05-13,582.8770157257039
1999-05-14,575.9039941354465
1999-05-17,563.7628779288495
1999-05-18,564.0210328221912
1999-05-19,553.1392412447301
1999-05-20,554.4704100430683
1999-05-21,560.3701783529615
1999-05-24,561.0067577488754
1999-05-25,559.2597819278288
1999-05-26,567.9181308415976
1999-05-27,568.7881180399243
1999-05-28,567.6447606780025
1999-05-31,568.4863906467276
1999-06-01,579.0321061366424
1999-06-02,590.1299093812396
1999-06-03,584.5757716785479
1999-06-04,586.7193813818111
1999-06-07,597.9259700285794
1999-06-08,600.1323882256759
