Date,ACWI ex EMU IMI VALUE
2007-05-31,1000.0
2007-06-01,1009.1246020610822
2007-06-04,1007.2006891855781
2007-06-05,1000.7157948627682
2007-06-06,995.4741945489735
2007-06-07,984.8887310000376
2007-06-08,993.6440664304487
2007-06-11,997.5997979035714
2007-06-12,991.580641625148
2007-06-13,999.8356064484334
2007-06-14,1005.7900402309228
2007-06-15,1010.5529367416369
2007-06-18,1008.8607332375605
2007-06-19,1008.9670741132111
2007-06-20,1001.2000666498291
2007-06-21,1004.0034266264609
2007-06-22,992.6806845595738
2007-06-25,987.9356591547984
2007-06-26,984.9079331406498
2007-06-27,987.8865076517974
2007-06-28,990.0093062274019
2007-06-29,989.1616659726068
2007-07-02,989.882950636967
2007-07-03,996.3183146259046
2007-07-04,996.6201152345307
2007-07-05,996.4854997498428
2007-07-06,997.3416847270285
2007-07-09,1001.2389112410063
2007-07-10,985.3049853828095
2007-07-11,982.2153990560912
2007-07-12,995.8991866679223
2007-07-13,1002.1796162356685
2007-07-16,1000.6541126612577
2007-07-17,998.4382413337415
2007-07-18,992.8811816638002
2007-07-19,996.2705365611565
2007-07-20,988.9213800632093
2007-07-23,992.4409264755096
2007-07-24,977.0238369031462
2007-07-25,984.4639662042772
2007-07-26,960.9920730012916
2007-07-27,947.6980395345305
2007-07-30,951.0049554157276
2007-07-31,950.6571252310813
2007-08-01,945.6411610776561
2007-08-02,949.0170560060973
2007-08-03,926.2923543668134
2007-08-06,933.2814479506054
2007-08-07,941.5028517681471
2007-08-08,953.4191432273291
2007-08-09,940.4913289401887
2007-08-10,929.8100720814432
2007-08-13,936.9764490842327
2007-08-14,926.6051301164148
2007-08-15,919.1004548998125
2007-08-16,916.2218053021581
2007-08-17,923.0026601933837
2007-08-20,933.3019490203371
2007-08-21,935.1385344000714
2007-08-22,944.1386113146128
2007-08-23,945.2965969430543
2007-08-24,946.8596771033094
2007-08-27,944.6068750987457
2007-08-28,927.1533155232088
2007-08-29,936.11936137849
2007-08-30,936.8539780981527
2007-08-31,950.5608668798394
2007-09-03,953.6450833575292
2007-09-04,960.9017574654088
2007-09-05,946.6835931502592
2007-09-06,946.6724954870278
2007-09-07,931.2737970042042
2007-09-10,923.4086725505207
2007-09-11,931.8247635342019
2007-09-12,930.407840109827
2007-09-13,936.8125066642501
2007-09-14,938.0759795570802
2007-09-17,931.276755602282
2007-09-18,946.6167292376789
2007-09-19,957.7134334116785
2007-09-20,947.4948256754295
2007-09-21,948.493861256023
2007-09-24,946.5512749087503
2007-09-25,942.6469060072276
2007-09-26,947.2530528682378
2007-09-27,954.544689932689
2007-09-28,949.1491230935898
2007-10-01,958.2333509455977
2007-10-02,968.6555342332856
2007-10-03,968.0402049396589
2007-10-04,969.2364987267538
2007-10-05,977.7837216453249
2007-10-08,977.6892540178898
