Date,AC FAR EAST ex JAPAN IMI VALUE
1998-12-31,412.08285726107226
1999-01-01,412.0843517534064
1999-01-04,411.7517476111657
1999-01-05,414.36425389516785
1999-01-06,427.0356492409791
1999-01-07,445.0954120019326
1999-01-08,446.30849679746194
1999-01-11,447.6826064555956
1999-01-12,443.75580359971684
1999-01-13,426.44835453064235
1999-01-14,415.6769124600504
1999-01-15,426.35585630020574
1999-01-18,431.95856126916544
1999-01-19,429.56856116718234
1999-01-20,431.67268242290044
1999-01-21,419.09741481576646
1999-01-22,404.6327650680311
1999-01-25,390.72706658818566
1999-01-26,393.3835515303731
1999-01-27,406.4921142712333
1999-01-28,402.83860628992176
1999-01-29,404.55761553793513
1999-02-01,406.2887127530678
1999-02-02,399.9674129853384
1999-02-03,395.85454812471926
1999-02-04,393.8178692174878
1999-02-05,388.09053225172966
1999-02-08,391.1491649916315
1999-02-09,383.4177746010943
1999-02-10,380.76781325846946
1999-02-11,385.7337170236808
1999-02-12,396.1166935096961
1999-02-15,397.2799421119448
1999-02-16,399.2140789124449
1999-02-17,396.5049615796065
1999-02-18,392.4543499459688
1999-02-19,391.0788259641239
1999-02-22,399.28826032765136
1999-02-23,402.84054255299105
1999-02-24,405.942504161685
1999-02-25,402.3179602731174
1999-02-26,410.9623481381342
1999-03-01,415.48828063730383
1999-03-02,416.1187383958293
1999-03-03,418.77470933538405
1999-03-04,420.3025798998453
1999-03-05,424.1597326951089
1999-03-08,430.82855243296234
1999-03-09,432.5410653468819
1999-03-10,433.04640383059666
1999-03-11,437.4926046146309
1999-03-12,438.0931866935405
1999-03-15,442.07391631811254
1999-03-16,446.55498962025035
1999-03-17,442.46655733456174
1999-03-18,438.679984530882
1999-03-19,452.246652887363
1999-03-22,455.8768695579063
1999-03-23,455.46488015342965
1999-03-24,449.3680468604942
1999-03-25,455.0909364812635
1999-03-26,462.21401898176475
1999-03-29,457.9380787637331
1999-03-30,462.5141789338791
1999-03-31,461.3628922436145
1999-04-01,467.67301418092234
1999-04-02,474.83269170417316
1999-04-05,478.92431214024776
1999-04-06,480.79305903044445
1999-04-07,488.31963461307043
1999-04-08,492.0517618803722
1999-04-09,500.34674453055567
1999-04-12,495.4645318060436
1999-04-13,503.70728223974413
1999-04-14,507.4577104780462
1999-04-15,523.5053777949936
1999-04-16,543.014067776097
1999-04-19,569.2569658313744
1999-04-20,560.2054560750869
1999-04-21,559.5797513612539
1999-04-22,569.9635301865369
1999-04-23,572.1464304070519
1999-04-26,584.404594848758
1999-04-27,589.340183328438
1999-04-28,581.7196514479957
1999-04-29,576.1693191893004
1999-04-30,586.8510104027991
1999-05-03,591.2854895451504
