Date,ACWI ex USA IMI VALUE
1998-12-31,415.39908035161557
1999-01-01,415.39859597404916
1999-01-04,419.352953963002
1999-01-05,421.92885712940745
1999-01-06,431.0759727680587
1999-01-07,431.20638840370316
1999-01-08,433.0307143633968
1999-01-11,432.02647442163425
1999-01-12,425.80235145010835
1999-01-13,410.5965672615516
1999-01-14,411.2714225676583
1999-01-15,417.3860904955515
1999-01-18,422.67393621528123
1999-01-19,422.2062402398004
1999-01-20,426.40519311596046
1999-01-21,423.8353417466551
1999-01-22,415.3037699006212
1999-01-25,415.2553807137658
1999-01-26,416.2283346026567
1999-01-27,418.2653649878224
1999-01-28,421.0402965360207
1999-01-29,425.5078473138587
1999-02-01,431.7776453897383
1999-02-02,431.54179635883605
1999-02-03,428.17594630552685
1999-02-04,429.7788044649661
1999-02-05,428.64341249110885
1999-02-08,428.496327080821
1999-02-09,421.02691512608783
1999-02-10,418.2005889896132
1999-02-11,422.8646037356219
1999-02-12,426.2207555892305
1999-02-15,427.81032073588517
1999-02-16,428.76292647202627
1999-02-17,423.90231963564503
1999-02-18,423.3958003365173
1999-02-19,426.0397818505643
1999-02-22,430.57042959115614
1999-02-23,433.6791262637614
1999-02-24,435.1461659033472
1999-02-25,431.8717080672756
1999-02-26,434.7069440640981
1999-03-01,431.6410855223609
1999-03-02,430.63459260210055
1999-03-03,430.0243040221789
1999-03-04,433.13810032670017
1999-03-05,442.72049629290194
1999-03-08,442.15544206329605
1999-03-09,444.44674627168257
1999-03-10,447.40940101147123
1999-03-11,455.4273617580941
1999-03-12,454.97502762209893
1999-03-15,456.41353813311946
1999-03-16,460.8877477555182
1999-03-17,458.8271878429701
1999-03-18,457.29897247755156
1999-03-19,466.0098949450316
1999-03-22,465.26579451439284
1999-03-23,461.1054197893132
1999-03-24,456.14646814491647
1999-03-25,462.9006830625681
1999-03-26,464.4653408223761
1999-03-29,468.3462932221896
1999-03-30,465.5682490356933
1999-03-31,468.10208390131135
1999-04-01,469.232118376824
1999-04-02,469.52880996879526
1999-04-05,470.9327127525248
1999-04-06,474.9011619384621
1999-04-07,477.66184327406273
1999-04-08,480.65873655390567
1999-04-09,483.8233226810092
1999-04-12,480.47085046047596
1999-04-13,485.4893614043482
1999-04-14,488.227490430947
1999-04-15,492.11962868107184
1999-04-16,498.3049025737762
1999-04-19,505.5245744361929
1999-04-20,496.7458636090558
1999-04-21,494.9840117712899
1999-04-22,498.89445202813727
1999-04-23,500.42850498710044
1999-04-26,504.58190036413896
1999-04-27,507.9098674509113
1999-04-28,509.1619208812573
1999-04-29,509.9732627073073
1999-04-30,512.3405856519691
1999-05-03,513.9350539859103
1999-05-04,514.3202816494544
1999-05-05,508.01684331203563
1999-05-06,511.11566301176606
1999-05-07,508.24669170909516
1999-05-10,508.20570223572344
1999-05-11,508.45038554362054
1999-05-12,507.27054407563384
1999-05-13,509.5265231128016
1999-05-14,501.70322346682474
1999-05-17,493.8204872149917
1999-05-18,496.34838002164435
1999-05-19,495.8254994161161
1999-05-20,498.20298676109553
1999-05-21,499.7673637714445
1999-05-24,498.66236810736433
1999-05-25,493.3339053855726
1999-05-26,497.15210019003985
1999-05-27,494.41504623398066
1999-05-28,495.31896497013395
1999-05-31,497.50355857213265
1999-06-01,499.95899823747453
1999-06-02,505.9506901714912
1999-06-03,506.7493549329184
1999-06-04,510.71229109118957
1999-06-07,516.1386440719874
1999-06-08,513.9917399659346
1999-06-09,515.523886732415
1999-06-10,515.218133873109
1999-06-11,519.9609157444035
