Date,GOLDEN DRAGON IMI GROWTH
2007-05-31,1000.0
2007-06-01,1014.9526787186597
2007-06-04,1012.8489501675499
2007-06-05,1012.3775867753839
2007-06-06,1016.189470260563
2007-06-07,1019.8981329049992
2007-06-08,1017.1555006196861
2007-06-11,1024.0799840562238
2007-06-12,1028.8064054107815
2007-06-13,1027.1792887138413
2007-06-14,1043.689006903115
2007-06-15,1053.6057060554822
2007-06-18,1069.2831002244814
2007-06-19,1068.6791160691625
2007-06-20,1076.3606986488785
2007-06-21,1095.8508150255761
2007-06-22,1097.0779557494322
2007-06-25,1091.129341488805
2007-06-26,1080.6615257294443
2007-06-27,1081.5214478473092
2007-06-28,1089.1532025721283
2007-06-29,1084.6837952033302
2007-07-02,1078.112776467262
2007-07-03,1097.3765846867723
2007-07-04,1105.9576834714328
2007-07-05,1120.8876836428974
2007-07-06,1126.801092127058
2007-07-09,1155.7510040566222
2007-07-10,1154.9180516188858
2007-07-11,1136.1370469468263
2007-07-12,1135.9311001000085
2007-07-13,1151.1508244740937
2007-07-16,1137.4992063610089
2007-07-17,1145.1438889661242
2007-07-18,1130.7085093806547
2007-07-19,1134.2835676909424
2007-07-20,1155.7033067427788
2007-07-23,1165.4372178059632
2007-07-24,1182.1044365744115
2007-07-25,1186.8625493933887
2007-07-26,1174.1584424493426
2007-07-27,1134.3457193551244
2007-07-30,1136.1912477161145
2007-07-31,1163.1682489435307
2007-08-01,1117.9126033531693
2007-08-02,1118.3563707827636
2007-08-03,1117.5872686849614
2007-08-06,1082.12012473842
2007-08-07,1073.478430828453
2007-08-08,1105.1941339857306
2007-08-09,1125.1970482272022
2007-08-10,1092.8796252902116
2007-08-13,1096.171167506829
2007-08-14,1099.3425477025476
2007-08-15,1068.8151462554786
2007-08-16,1021.5129002723125
2007-08-17,990.2038984279027
2007-08-20,1058.9499687039079
2007-08-21,1073.6017357602652
2007-08-22,1090.1788704111632
2007-08-23,1120.0754602625411
2007-08-24,1114.1481408432885
2007-08-27,1146.2390498500947
2007-08-28,1142.3659707783756
2007-08-29,1119.2142623468872
2007-08-30,1141.5950745603689
2007-08-31,1171.1894090971216
2007-09-03,1174.051464894867
2007-09-04,1176.2425546937002
2007-09-05,1176.3029470318875
2007-09-06,1182.6452158147922
2007-09-07,1185.2316594139827
2007-09-10,1183.9097002526635
2007-09-11,1178.7797577615295
2007-09-12,1185.5470854781345
2007-09-13,1186.227948372691
2007-09-14,1204.0601019178252
2007-09-17,1189.4810518250076
2007-09-18,1189.7207598825153
2007-09-19,1211.250090251661
2007-09-20,1210.5526278957327
2007-09-21,1221.8273203266535
2007-09-24,1244.7201722296306
2007-09-25,1239.550657507114
2007-09-26,1245.1060340777722
2007-09-27,1269.668128325501
2007-09-28,1276.8357022865118
2007-10-01,1276.7803501992955
2007-10-02,1332.7402613506629
2007-10-03,1311.7279898660634
2007-10-04,1284.844707636858
2007-10-05,1314.5736301531329
2007-10-08,1331.2555043752836
2007-10-09,1338.1811570447542
2007-10-10,1350.1673592681757
2007-10-11,1368.2173506420836
2007-10-12,1349.6689768569106
2007-10-15,1353.6394107310111
2007-10-16,1349.3605036442436
2007-10-17,1346.4209338360595
2007-10-18,1353.1735012594288
2007-10-19,1354.9476442312186
2007-10-22,1319.628686209824
2007-10-23,1343.2082927105644
2007-10-24,1342.2563389953818
2007-10-25,1349.4739330285124
2007-10-26,1356.9255740942574
2007-10-29,1390.4746202216666
2007-10-30,1390.6789018105362
2007-10-31,1376.9094175520954
2007-11-01,1383.8534242477588
2007-11-02,1335.5066520225896
2007-11-05,1297.1824356087197
2007-11-06,1300.8460074003835
2007-11-07,1303.8517908914027
2007-11-08,1260.2075590052605
2007-11-09,1253.4455978135948
2007-11-12,1209.3467966561734
2007-11-13,1203.182545768877
2007-11-14,1245.7437200484906
2007-11-15,1238.2947815978987
2007-11-16,1199.3549252492624
2007-11-19,1189.0770776029933
2007-11-20,1188.905859861623
2007-11-21,1141.9537469339737
2007-11-22,1114.1024181581972
2007-11-23,1116.6854156478812
2007-11-26,1151.643147474077
2007-11-27,1135.3807349567733
2007-11-28,1146.3707576396216
2007-11-29,1185.407312467238
2007-11-30,1211.6566013234237
2007-12-03,1216.8184995261508
2007-12-04,1214.7101376280834
2007-12-05,1237.6285809479643
2007-12-06,1242.7170816884934
2007-12-07,1225.1694780304435
2007-12-10,1198.6353898197422
2007-12-11,1215.6923171693818
2007-12-12,1185.9525589587656
2007-12-13,1151.7861927809645
2007-12-14,1146.4920946530392
2007-12-17,1104.8556796167006
2007-12-18,1104.4007383041844
2007-12-19,1130.9760044256266
2007-12-20,1130.483741014791
2007-12-21,1152.4011148077602
2007-12-24,1177.8672256624695
2007-12-25,1179.7249715854762
2007-12-26,1170.128089385369
2007-12-27,1171.2452146251628
2007-12-28,1153.153500747922
2007-12-31,1178.485006326001
2008-01-01,1178.485006326001
2008-01-02,1156.86749212642
2008-01-03,1129.2212216954351
2008-01-04,1138.8564225966936
2008-01-07,1110.9416867664977
2008-01-08,1107.896651673566
2008-01-09,1129.4111578491256
2008-01-10,1115.5117214923057
2008-01-11,1103.022857789047
2008-01-14,1080.1115198614887
2008-01-15,1075.2096992236404
2008-01-16,1029.8038915853417
2008-01-17,1038.7857116884104
2008-01-18,1048.045731106298
2008-01-21,1012.2597396874802
2008-01-22,914.6139019254928
2008-01-23,958.5779527951901
2008-01-24,945.0164000471436
2008-01-25,1005.3678735713785
2008-01-28,958.9545839095099
2008-01-29,969.9171090581709
2008-01-30,944.7305193307827
2008-01-31,941.2826997272671
2008-02-01,966.0937908413428
2008-02-04,1001.1860336967223
2008-02-05,1009.5340681383901
2008-02-06,972.1636070394029
2008-02-07,982.5830604401372
2008-02-08,983.0828198170581
2008-02-11,962.0538500846588
2008-02-12,957.1303739308327
2008-02-13,964.9357661935688
2008-02-14,1000.6572200402675
2008-02-15,1008.3936829560769
2008-02-18,1005.4192303368876
2008-02-19,1017.0623908293512
2008-02-20,1004.506522687035
2008-02-21,1002.7905041683273
2008-02-22,992.8914352279451
2008-02-25,992.8297217380448
2008-02-26,998.6621295256067
2008-02-27,1017.0622305561691
2008-02-28,1016.4982711576466
2008-02-29,1009.5309557738499
2008-03-03,977.8816494700152
2008-03-04,969.0613585851826
2008-03-05,956.306431898557
2008-03-06,970.358219699237
2008-03-07,945.5158379709871
2008-03-10,926.201178543639
2008-03-11,933.6185702058664
2008-03-12,935.9347583926186
2008-03-13,891.4402545223483
2008-03-14,877.3262715908895
2008-03-17,821.9955947295579
2008-03-18,815.4335237465817
2008-03-19,846.0955971552169
2008-03-20,839.8491007715267
2008-03-21,848.9793379714545
2008-03-24,867.4608269546763
2008-03-25,894.8267577355775
2008-03-26,892.8463719653707
2008-03-27,883.7567749778761
2008-03-28,906.0855801885122
2008-03-31,890.6873845160159
2008-04-01,901.6961135247883
2008-04-02,931.6963956968201
2008-04-03,943.7300588478907
2008-04-04,937.3236744797963
2008-04-07,954.767316895432
2008-04-08,945.5396415917679
2008-04-09,925.4264466797346
2008-04-10,937.9081262661712
2008-04-11,948.969691924181
2008-04-14,918.66391409248
2008-04-15,921.1638108328486
2008-04-16,914.1314319453962
2008-04-17,929.2365561323905
2008-04-18,931.7556227393616
2008-04-21,938.7724667374234
2008-04-22,946.8764013221246
2008-04-23,963.8148968417827
2008-04-24,997.1515240757013
2008-04-25,994.0435527189244
2008-04-28,998.2056741679073
2008-04-29,997.431667510392
