Date,AC AMERICAS IMI GROWTH
2007-05-31,1000.0
2007-06-01,1008.4208878748525
2007-06-04,1007.0135510603172
2007-06-05,1000.0683293250441
2007-06-06,991.4342095891404
2007-06-07,975.8368210743262
2007-06-08,993.8640135456883
2007-06-11,995.2472984170302
2007-06-12,987.1096753035123
2007-06-13,1001.9141153624047
2007-06-14,1008.9409212388811
2007-06-15,1014.061726708701
2007-06-18,1010.7258625671526
2007-06-19,1010.4483109717213
2007-06-20,998.0434613774258
2007-06-21,1006.2714773951392
2007-06-22,994.2824925817206
2007-06-25,985.7877177408258
2007-06-26,980.0873937417034
2007-06-27,992.294067750625
2007-06-28,990.3838016114405
2007-06-29,987.1825699392838
2007-07-02,989.4505240430117
2007-07-03,994.6596462846775
2007-07-04,994.3234860528481
2007-07-05,999.5878847585949
2007-07-06,1003.4463730689453
2007-07-09,1004.4750689211544
2007-07-10,985.9240889244898
2007-07-11,986.9353474011137
2007-07-12,1005.7651014571505
2007-07-13,1008.489226057015
2007-07-16,1005.5320105830292
2007-07-17,1006.48490938586
2007-07-18,1005.193413385773
2007-07-19,1011.2868052691554
2007-07-20,999.8005604432857
2007-07-23,1003.7616880052544
2007-07-24,984.3266299043157
2007-07-25,993.1718634241254
2007-07-26,970.6873541646798
2007-07-27,961.5384389719404
2007-07-30,970.403838833532
2007-07-31,958.5303021448751
2007-08-01,963.0111602071081
2007-08-02,971.7540403990595
2007-08-03,942.4360114704829
2007-08-06,953.7282041186993
2007-08-07,960.3207781175091
2007-08-08,971.6076259559478
2007-08-09,954.7357845921105
2007-08-10,954.9000981137239
2007-08-13,961.2927749791622
2007-08-14,944.9197168699211
2007-08-15,934.6582588173251
2007-08-16,932.2160114934713
2007-08-17,944.9819241616543
2007-08-20,950.0812482308104
2007-08-21,951.8021857399057
2007-08-22,963.9454937240051
2007-08-23,958.8731195886353
2007-08-24,967.4828083670892
2007-08-27,961.0631011797309
2007-08-28,938.3727561490538
2007-08-29,959.6923189647999
2007-08-30,959.4537220139856
2007-08-31,973.2363716245364
2007-09-03,975.5395495515587
2007-09-04,988.2192789908951
2007-09-05,974.7822099684727
2007-09-06,977.4338840159198
2007-09-07,955.7046766995658
2007-09-10,950.9360432015246
2007-09-11,962.1690817246902
2007-09-12,958.8225484155329
