Date,ACWI ex USA IMI GROWTH
1998-12-31,650.3959848720891
1999-01-01,650.4959772763328
1999-01-04,661.1979811569985
1999-01-05,666.4988251128467
1999-01-06,678.9370269851062
1999-01-07,681.0755584305326
1999-01-08,684.7015839879808
1999-01-11,681.6448464344882
1999-01-12,670.3309137807063
1999-01-13,644.3362183352943
1999-01-14,647.3338532383492
1999-01-15,658.0102872017849
1999-01-18,669.0853417233649
1999-01-19,668.2337598876354
1999-01-20,675.1533704129183
1999-01-21,671.3102946638077
1999-01-22,658.1332629240711
1999-01-25,659.4949657304367
1999-01-26,662.4304040804476
1999-01-27,666.89693490416
1999-01-28,670.7653185435481
1999-01-29,676.8953601294344
1999-02-01,686.7446566361638
1999-02-02,684.5071765559263
1999-02-03,678.5819272298899
1999-02-04,678.8212793198617
1999-02-05,673.6548899724945
1999-02-08,670.5204198979415
1999-02-09,658.8527816480756
1999-02-10,654.447499558727
1999-02-11,661.6530925449435
1999-02-12,667.4241097164645
1999-02-15,669.0926336662727
1999-02-16,669.1663855772679
1999-02-17,663.4145337604567
1999-02-18,662.889152092641
1999-02-19,667.515793339866
1999-02-22,678.324093823624
1999-02-23,683.3955363803747
1999-02-24,688.5256883773086
1999-02-25,680.8471807497168
1999-02-26,681.3552490399193
1999-03-01,675.920705578113
1999-03-02,672.9619104023863
1999-03-03,670.098597214391
1999-03-04,673.7398404239864
1999-03-05,689.3336843443718
1999-03-08,690.3869629701281
1999-03-09,695.8274797766484
1999-03-10,698.1919485637837
1999-03-11,706.180626550911
1999-03-12,704.9748885954854
1999-03-15,708.092076940678
1999-03-16,714.2798345842152
1999-03-17,709.7273569695861
1999-03-18,706.0235050325197
1999-03-19,718.8579326495081
1999-03-22,715.9480692912131
1999-03-23,707.666813089973
1999-03-24,699.0193707188737
1999-03-25,709.9778510839398
1999-03-26,713.6666947236652
1999-03-29,719.9702683148198
1999-03-30,718.0320343800664
1999-03-31,723.2805441965609
1999-04-01,727.7814327648757
1999-04-02,728.787574338528
1999-04-05,730.4258403362556
1999-04-06,738.0492232828962
1999-04-07,739.598044092079
1999-04-08,743.5644243942085
1999-04-09,747.4438106199614
1999-04-12,742.2634987804378
