Date,AC ASIA ex JAPAN IMI GROWTH
1998-12-31,493.74008966361606
1999-01-01,493.74878561017493
1999-01-04,495.30181034275574
1999-01-05,495.26968466250673
1999-01-06,512.4400798994288
1999-01-07,532.5447735777284
1999-01-08,534.1018029279205
1999-01-11,536.3096822174236
1999-01-12,533.777707133852
1999-01-13,514.3583940165337
1999-01-14,503.7338263312692
1999-01-15,514.1850834466079
1999-01-18,520.7442077053354
1999-01-19,516.7060260960296
1999-01-20,517.6865265992795
1999-01-21,509.9501512571641
1999-01-22,495.37514930324903
1999-01-25,483.84193795130597
1999-01-26,486.060327274147
1999-01-27,500.3150907631441
1999-01-28,494.62748715451403
1999-01-29,498.601789657059
1999-02-01,500.0100178776095
1999-02-02,490.26568666074286
1999-02-03,486.54269323966923
1999-02-04,485.4348330373434
1999-02-05,481.5553864956146
1999-02-08,481.9633090904756
1999-02-09,475.6669577979055
1999-02-10,471.6626594036587
1999-02-11,477.9085718540648
1999-02-12,489.3844785528733
1999-02-15,490.7959659247801
1999-02-16,493.65496552146595
1999-02-17,490.63565912737056
1999-02-18,486.76395951904294
1999-02-19,486.0949676271317
1999-02-22,489.97332352124334
1999-02-23,488.9277215732261
1999-02-24,494.6725969107201
1999-02-25,490.57857885633865
1999-02-26,500.728971330236
1999-03-01,514.3640423130665
1999-03-02,511.3391409779485
1999-03-03,516.3368449103407
1999-03-04,517.531305092576
1999-03-05,521.8996168380072
1999-03-08,528.5264873371924
1999-03-09,532.5217990013347
1999-03-10,532.9967110959848
1999-03-11,538.5470029980557
1999-03-12,539.4420964506569
1999-03-15,548.8973094653636
1999-03-16,555.2567669372606
1999-03-17,549.5003175421737
1999-03-18,546.7985679355085
1999-03-19,560.5762051789916
1999-03-22,565.8147616662685
1999-03-23,565.9126882428748
1999-03-24,555.9530985610006
1999-03-25,560.3596152653228
1999-03-26,564.4152937421333
1999-03-29,559.8654650845654
1999-03-30,566.7141433224439
1999-03-31,566.0475005561271
1999-04-01,573.4933886605434
1999-04-02,577.3226428501724
1999-04-05,577.8503920721532
1999-04-06,579.6740875773754
1999-04-07,588.1476831636652
1999-04-08,589.7108013714313
1999-04-09,600.0174240062282
1999-04-12,596.7337402127954
1999-04-13,604.4009687450681
1999-04-14,604.8321139165374
1999-04-15,613.3315138520537
1999-04-16,632.9441051054412
1999-04-19,662.22677269069
1999-04-20,649.1193602578768
1999-04-21,648.482631995361
1999-04-22,653.4061339403775
1999-04-23,653.0149721703832
1999-04-26,663.3937573860845
1999-04-27,666.6520056100449
1999-04-28,663.6548975511207
1999-04-29,655.7614561529244
1999-04-30,666.2659788960619
1999-05-03,670.2811590867947
1999-05-04,683.964558614105
1999-05-05,684.2124899845419
1999-05-06,686.9234205144274
1999-05-07,673.77299430317
1999-05-10,678.1779430279001
1999-05-11,675.4040481484056
1999-05-12,678.422298209315
1999-05-13,676.8362803266846
1999-05-14,671.5975735998729
1999-05-17,662.3212076587577
1999-05-18,668.5795453655418
1999-05-19,666.5944489107441
1999-05-20,663.2192035568655
1999-05-21,667.928812833008
1999-05-24,668.8304137629189
1999-05-25,662.310922174484
1999-05-26,673.2009925277589
1999-05-27,674.2244889540777
1999-05-28,668.8893828241861
1999-05-31,675.6981378437855
1999-06-01,679.2852839031502
1999-06-02,694.7322458977445
1999-06-03,697.1385798333125
1999-06-04,704.2243589290003
1999-06-07,725.0872389661923
1999-06-08,731.7075489050632
1999-06-09,725.6324680922498
1999-06-10,732.3448530648571
1999-06-11,728.7463927992701
1999-06-14,726.8777428795814
1999-06-15,724.6133325029716
1999-06-16,744.877895298203
1999-06-17,758.0280748803463
1999-06-18,757.0562841667675
1999-06-21,785.496132240189
1999-06-22,798.6600305033799
1999-06-23,794.1052755376937
1999-06-24,789.8173448130568
1999-06-25,776.6248113825536
1999-06-28,790.8307465372344
1999-06-29,795.0430016641463
1999-06-30,789.7637651505562
1999-07-01,805.8799019659191
1999-07-02,825.2291776894676
1999-07-05,836.0344891670953
1999-07-06,833.9648501929181
1999-07-07,832.2126801491894
1999-07-08,834.8199795436938
1999-07-09,838.5299584650768
1999-07-12,838.4713366899638
1999-07-13,824.1428681596656
1999-07-14,801.5393505819378
1999-07-15,809.8017025937006
1999-07-16,803.3173776497637
1999-07-19,810.5194510113115
1999-07-20,796.5634150960568
1999-07-21,779.4721051954218
1999-07-22,776.2360100520552
1999-07-23,755.2532644684677
1999-07-26,726.885947224554
1999-07-27,740.1420216277301
1999-07-28,759.2336565812491
1999-07-29,767.5398840338484
1999-07-30,764.2034936299845
1999-08-02,763.5369662757458
1999-08-03,768.1488404868776
1999-08-04,759.8866476396279
1999-08-05,738.554705588774
1999-08-06,735.5485470515001
1999-08-09,745.3374104466799
1999-08-10,743.2411843341945
1999-08-11,733.1198885481824
1999-08-12,742.2198614475512
1999-08-13,739.5088416864602
