Date,ACWI IMI GROWTH
1998-12-31,815.9941420783648
1999-01-01,816.0553616438964
1999-01-04,819.7860538283479
1999-01-05,829.3586660110134
1999-01-06,848.2258789070067
1999-01-07,850.6368331190288
1999-01-08,857.4485824259242
1999-01-11,856.0041977869997
1999-01-12,839.8790467344618
1999-01-13,816.7908853606436
1999-01-14,812.9716966665993
1999-01-15,834.343218807888
1999-01-18,840.8687696202015
1999-01-19,845.7102546566165
1999-01-20,853.7117704241201
1999-01-21,840.9415697422949
1999-01-22,829.312220047076
1999-01-25,835.6712548405461
1999-01-26,846.8494451167454
1999-01-27,851.6046362033115
1999-01-28,866.300346480428
1999-01-29,878.1439433147904
1999-02-01,885.1015582928595
1999-02-02,877.6074397685796
1999-02-03,878.5999206699397
1999-02-04,869.6244082258796
1999-02-05,860.1631151687521
1999-02-08,861.4497778402953
1999-02-09,838.3838246399797
1999-02-10,837.3363717904681
1999-02-11,858.2787070326996
1999-02-12,852.2181535114489
1999-02-15,854.8787884213418
1999-02-16,860.5052865414314
1999-02-17,846.301769152077
1999-02-18,850.3196854421973
1999-02-19,860.4238640713822
1999-02-22,881.3791887578004
1999-02-23,889.6223172957325
1999-02-24,886.7910167388629
1999-02-25,874.030050757964
1999-02-26,873.986664542978
1999-03-01,872.2691631000625
1999-03-02,866.5287521166305
1999-03-03,865.6789661474861
1999-03-04,878.3617124731554
1999-03-05,897.3416631907556
1999-03-08,902.8907290935141
1999-03-09,905.5695508941737
1999-03-10,904.3980527170389
1999-03-11,918.4552488209216
1999-03-12,910.889133147329
1999-03-15,919.0952111484693
1999-03-16,924.8975876037599
1999-03-17,914.7101906863248
1999-03-18,919.3731586385911
1999-03-19,923.617454631558
1999-03-22,920.7564566573376
1999-03-23,902.0425745617636
1999-03-24,898.9124749540858
1999-03-25,918.7657337219144
1999-03-26,924.6364901465035
1999-03-29,941.8060487754908
1999-03-30,937.9901209919036
1999-03-31,934.5327677460367
1999-04-01,940.514770458806
1999-04-02,942.2334663939741
1999-04-05,958.0720605175023
1999-04-06,960.2660443623294
1999-04-07,959.3844085850587
1999-04-08,966.5933372009861
1999-04-09,974.6948255321352
1999-04-12,970.482935146917
1999-04-13,976.0955164573102
1999-04-14,964.2339589830482
1999-04-15,958.8708290798487
1999-04-16,954.0312397022269
1999-04-19,940.2559756930049
1999-04-20,941.0405064802247
1999-04-21,961.0635366948135
1999-04-22,978.2845014446831
1999-04-23,979.0036528232112
1999-04-26,991.9514916321472
1999-04-27,988.9351371389206
1999-04-28,979.2697668910765
1999-04-29,972.9720837227384
1999-04-30,974.0530030626488
1999-05-03,978.8702684109571
1999-05-04,966.5065125630172
1999-05-05,965.6159205334372
1999-05-06,954.2660602844418
1999-05-07,954.6148922503388
1999-05-10,956.7222552769999
1999-05-11,968.9225660178718
1999-05-12,978.041107989358
1999-05-13,981.5427388471129
1999-05-14,960.1607750943679
1999-05-17,956.17534491884
1999-05-18,960.0311660421397
1999-05-19,963.5925272735532
1999-05-20,965.029659562164
1999-05-21,964.6324781138377
1999-05-24,950.5857224335333
1999-05-25,933.6529779102685
1999-05-26,950.5519444720184
1999-05-27,943.8435630086781
1999-05-28,953.4425213106537
1999-05-31,956.1605747452502
1999-06-01,950.5778052862595
1999-06-02,961.4961333151732
1999-06-03,963.9081192169376
1999-06-04,985.0233072284723
1999-06-07,994.3514810472753
1999-06-08,979.93890098294
1999-06-09,984.9211738197813
1999-06-10,971.8958300258448
1999-06-11,970.4294035215098
1999-06-14,964.8113604832503
1999-06-15,968.5120883603043
1999-06-16,996.4541966522559
1999-06-17,1006.4963177065206
1999-06-18,1003.551099395707
1999-06-21,1021.066579754163
1999-06-22,1017.8547136509181
1999-06-23,1013.6092071380388
1999-06-24,1001.5029912612573
1999-06-25,992.0409073153786
1999-06-28,1008.333769964916
1999-06-29,1022.7114357470958
1999-06-30,1034.086791973305
1999-07-01,1054.8537201709898
1999-07-02,1066.8806917800614
1999-07-05,1073.2538125467831
1999-07-06,1068.8792670447633
1999-07-07,1070.4489554483864
1999-07-08,1072.3060892536473
1999-07-09,1075.4158088644679
1999-07-12,1080.6560806458385
1999-07-13,1072.666103000505
1999-07-14,1077.5696540469312
1999-07-15,1086.0447261708796
1999-07-16,1089.1876705970576
1999-07-19,1089.7635257324207
1999-07-20,1049.5527576657082
1999-07-21,1039.5214204949807
1999-07-22,1024.0486416297595
1999-07-23,1019.5974443401367
1999-07-26,994.3813844699664
1999-07-27,1005.2161594989676
1999-07-28,1013.6134265997165
1999-07-29,994.3077842892226
1999-07-30,997.1412062408823
1999-08-02,996.054757550308
1999-08-03,992.1472605300795
1999-08-04,972.9174977221714
1999-08-05,962.8027839464579
1999-08-06,958.1882891561376
1999-08-09,961.8946823989379
1999-08-10,951.1584278713822
1999-08-11,966.4838147104443
1999-08-12,974.8656850808167
1999-08-13,997.9198092729299
1999-08-16,1007.2115487790976
1999-08-17,1018.8675220353906
1999-08-18,1016.6281851901722
1999-08-19,1003.1085601923687
1999-08-20,1012.2172208231764
1999-08-23,1033.058459115625
1999-08-24,1039.5558335009616
1999-08-25,1059.5667304083308
1999-08-26,1053.7394825297245
1999-08-27,1047.6031705309438
1999-08-30,1042.2116798446102
1999-08-31,1027.985522704965
1999-09-01,1034.9433593658737
1999-09-02,1019.5704659443148
1999-09-03,1048.5426207742453
1999-09-06,1057.6541847626017
1999-09-07,1053.2489275365508
1999-09-08,1049.987701130893
1999-09-09,1062.6855588554693
1999-09-10,1076.9317668454162
1999-09-13,1083.9054291235238
