Date,AC FAR EAST IMI GROWTH
1998-12-31,790.544437655055
1999-01-01,790.5474325257702
1999-01-04,777.1233495234181
1999-01-05,773.0625218991432
1999-01-06,781.4425985126669
1999-01-07,806.4126015640529
1999-01-08,805.7620045305536
1999-01-11,817.4828440649623
1999-01-12,801.9038249783712
1999-01-13,775.401892542486
1999-01-14,781.271127205895
1999-01-15,788.3072689920577
1999-01-18,792.3971372683981
1999-01-19,793.9780627875648
1999-01-20,806.6395834076267
1999-01-21,812.9119236135402
1999-01-22,798.7385546985743
1999-01-25,796.333187450642
1999-01-26,802.209477035738
1999-01-27,807.9172764216872
1999-01-28,802.9610974213683
1999-01-29,817.9308051693204
1999-02-01,825.752101996159
1999-02-02,831.5648676168228
1999-02-03,822.4699734379923
1999-02-04,821.9551758221955
1999-02-05,813.2696929112957
1999-02-08,814.4992336349645
1999-02-09,802.9184240064608
1999-02-10,798.0287899952223
1999-02-11,802.6417384297835
1999-02-12,811.6513328878218
1999-02-15,810.1250155182323
1999-02-16,802.8348929752464
1999-02-17,793.9806406842226
1999-02-18,786.6099911495783
1999-02-19,790.9710816624493
1999-02-22,806.965810130434
1999-02-23,810.8723047753031
1999-02-24,814.461052969711
1999-02-25,820.002717662687
1999-02-26,835.1315249625815
1999-03-01,827.2758665706932
1999-03-02,813.6699541381722
1999-03-03,813.6554740425911
1999-03-04,812.9038219768714
1999-03-05,843.7276747555766
1999-03-08,848.4909764456365
1999-03-09,861.774243596543
1999-03-10,879.6046375024051
1999-03-11,890.4332618031948
1999-03-12,887.8084025823898
1999-03-15,907.2687938775476
1999-03-16,931.0071351723552
1999-03-17,931.0302304584233
1999-03-18,919.478481803389
1999-03-19,957.2300928993689
1999-03-22,954.7498004208247
1999-03-23,953.6971983089443
1999-03-24,933.2879912214372
1999-03-25,947.3601477808763
1999-03-26,960.7997454519691
1999-03-29,963.8092238408068
1999-03-30,960.8177452385223
1999-03-31,966.0803821458845
1999-04-01,982.135936214105
1999-04-02,983.6005091190494
1999-04-05,983.7532743723167
1999-04-06,994.5377367607853
1999-04-07,994.9001529339924
1999-04-08,1006.1816721695162
1999-04-09,1017.0800110864568
1999-04-12,1001.0523313042274
1999-04-13,1018.9095274358629
1999-04-14,1034.9079275661727
1999-04-15,1034.783882328363
1999-04-16,1049.1128734467354
1999-04-19,1057.5206781851432
1999-04-20,1042.8230385361835
1999-04-21,1025.181967166141
1999-04-22,1036.539247561108
1999-04-23,1049.713008137704
1999-04-26,1065.9486051119009
1999-04-27,1059.1231664277918
1999-04-28,1066.6869143561664
1999-04-29,1066.8759843062046
