Date,KUKJE (ACWI ex KOREA) IMI GROWTH
2002-05-31,1000.0
2002-06-03,980.974756562386
2002-06-04,970.9700549997322
2002-06-05,979.6130756503501
2002-06-06,961.7179056514548
2002-06-07,953.8975758618171
2002-06-10,956.8354130573041
2002-06-11,949.0289651327823
2002-06-12,942.1215238324743
2002-06-13,932.5422500258426
2002-06-14,922.9236345033411
2002-06-17,948.6966012755055
2002-06-18,943.7025344772737
2002-06-19,922.5029705847967
2002-06-20,903.346276983528
2002-06-21,887.3947027206813
2002-06-24,879.581411824973
2002-06-25,879.1530064260314
2002-06-26,860.0094826539864
2002-06-27,878.1213814195817
2002-06-28,882.8643556035805
2002-07-01,868.867384541418
2002-07-02,849.1050963122628
2002-07-03,852.6692588449786
2002-07-04,857.8759138226811
2002-07-05,892.505525532956
2002-07-08,874.7962897123862
2002-07-09,857.3167868720416
2002-07-10,836.4770750938009
2002-07-11,830.9757442961891
2002-07-12,832.4306638824816
2002-07-15,808.9960099468177
2002-07-16,797.7251173009406
2002-07-17,809.8455637809218
2002-07-18,800.9858911256508
2002-07-19,769.4986835313593
2002-07-22,750.203025076003
2002-07-23,742.5733785617854
2002-07-24,761.2765145418306
2002-07-25,755.7852122972018
2002-07-26,767.0374636458848
2002-07-29,810.1976980085637
2002-07-30,808.0866678576596
2002-07-31,812.067278269765
2002-08-01,788.6697863897934
2002-08-02,775.7456958049402
2002-08-05,751.2511759389744
2002-08-06,783.3375821046255
2002-08-07,789.932941268846
2002-08-08,812.9011189861384
2002-08-09,815.4920094189531
2002-08-12,804.3430050594105
2002-08-13,795.622991155897
2002-08-14,806.2982560491896
2002-08-15,824.7106705425605
2002-08-16,825.4310945426415
2002-08-19,845.1852606721392
2002-08-20,835.7158059795023
2002-08-21,841.8493536060345
2002-08-22,859.2845605899637
2002-08-23,844.3079965086594
2002-08-26,846.669413889255
2002-08-27,833.5986390474037
2002-08-28,814.2227869016698
2002-08-29,809.5102522273147
2002-08-30,810.8391187483043
2002-09-02,803.9552923399349
2002-09-03,767.9675080245022
2002-09-04,778.5315546388083
2002-09-05,771.3804264034075
2002-09-06,789.6993674146422
2002-09-09,795.528065658244
2002-09-10,809.9146760304159
2002-09-11,815.7858860885588
2002-09-12,793.7991232116283
2002-09-13,788.8118498517491
2002-09-16,791.1801466361603
2002-09-17,784.2997288576424
2002-09-18,770.0701622567091
2002-09-19,750.0975809729872
2002-09-20,747.980744986607
2002-09-23,732.9053067366525
2002-09-24,726.0473863378476
2002-09-25,741.8489983473984
2002-09-26,758.3741382461455
2002-09-27,747.0611146362581
2002-09-30,724.4731229051316
2002-10-01,742.7365887394858
2002-10-02,738.4938314693043
2002-10-03,729.1202920465411
2002-10-04,719.5449569918305
2002-10-07,705.1887859761653
2002-10-08,713.357516376446
2002-10-09,695.8964062076852
2002-10-10,712.4537499433301
2002-10-11,738.3129170922504
2002-10-14,740.5183311754961
2002-10-15,777.6835309870426
2002-10-16,761.3351088958567
2002-10-17,786.0468402477647
2002-10-18,789.9808800704446
2002-10-21,795.6749700032454
2002-10-22,784.5268223441901
2002-10-23,784.9754342270776
2002-10-24,782.5454473616102
2002-10-25,790.6585842089618
2002-10-28,784.5806415170206
2002-10-29,771.8390915720047
2002-10-30,781.8821592021397
2002-10-31,778.5133562720478
2002-11-01,780.4563736521114
