Date,ZHONG HUA IMI GROWTH
2007-05-31,1000.0
2007-06-01,1013.5516303918174
2007-06-04,1007.1804415641677
2007-06-05,1005.9699776687684
2007-06-06,1009.7911675668748
2007-06-07,1010.0516371697736
2007-06-08,1004.0484618821808
2007-06-11,1011.0554115215464
2007-06-12,1013.3270772931592
2007-06-13,1017.0253370562044
2007-06-14,1033.456839447524
2007-06-15,1042.4759922308742
2007-06-18,1070.3166018577747
2007-06-19,1069.3729244158872
2007-06-20,1069.586407621228
2007-06-21,1088.620623990104
2007-06-22,1088.7243241104181
2007-06-25,1076.4770835161444
2007-06-26,1070.153117773375
2007-06-27,1070.712925189304
2007-06-28,1080.047689431241
2007-06-29,1075.2588028746875
2007-07-02,1065.5616408181797
2007-07-03,1091.982019398103
2007-07-04,1099.7566231342691
2007-07-05,1114.0938700790525
2007-07-06,1122.5201846930815
2007-07-09,1151.0921456299104
2007-07-10,1152.2300007948133
2007-07-11,1131.944553859687
2007-07-12,1133.561452379143
2007-07-13,1150.19274808846
2007-07-16,1143.1892858841163
2007-07-17,1147.8618650310957
2007-07-18,1134.0952799308961
2007-07-19,1138.9784696208328
2007-07-20,1161.5069739597457
2007-07-23,1176.2892444151878
2007-07-24,1190.341004662938
2007-07-25,1194.8793970963586
2007-07-26,1188.869458194921
2007-07-27,1152.909954300276
2007-07-30,1159.6800435543958
2007-07-31,1185.1695602969155
2007-08-01,1144.534597216243
2007-08-02,1135.738834168276
2007-08-03,1132.3859966699267
2007-08-06,1087.9712390559212
2007-08-07,1084.3487552458694
2007-08-08,1117.9299901735233
2007-08-09,1134.964575904231
2007-08-10,1104.1030830622678
2007-08-13,1109.4837233775092
2007-08-14,1117.0750643265226
2007-08-15,1090.1503480535587
2007-08-16,1043.345951079288
2007-08-17,1000.0088389622807
2007-08-20,1074.100197268254
2007-08-21,1101.706996240251
2007-08-22,1130.8646918416907
2007-08-23,1160.1800292916132
2007-08-24,1158.5740051336566
2007-08-27,1207.280386533008
2007-08-28,1199.6693195233297
2007-08-29,1173.1556631970989
2007-08-30,1200.6951175441282
2007-08-31,1234.393349976653
2007-09-03,1239.7076940847435
2007-09-04,1247.3499285877094
2007-09-05,1249.9413514053374
2007-09-06,1254.7354031893894
2007-09-07,1259.5414450455053
2007-09-10,1264.9185351758083
2007-09-11,1253.5481496778561
2007-09-12,1265.1968688875918
2007-09-13,1273.9128260333018
2007-09-14,1295.9454077286073
2007-09-17,1285.616947505287
2007-09-18,1286.0891611330824
2007-09-19,1326.7786169594904
2007-09-20,1327.574429061166
2007-09-21,1335.154441823502
2007-09-24,1371.6438422193735
2007-09-25,1365.2668505020354
2007-09-26,1366.1404768406996
2007-09-27,1390.1627925062417
2007-09-28,1399.3618829757813
2007-10-01,1397.112230119589
2007-10-02,1472.9167009437913
2007-10-03,1433.9156277391583
2007-10-04,1392.3075504007538
2007-10-05,1444.9959088421615
2007-10-08,1460.6422832126295
2007-10-09,1476.0668348552008
2007-10-10,1499.2719990456674
2007-10-11,1532.2996292546609
2007-10-12,1516.5985419920219
2007-10-15,1521.1971436517777
2007-10-16,1507.9126984327245
2007-10-17,1505.6510198572876
2007-10-18,1509.4644802106386
2007-10-19,1513.3160295406603
2007-10-22,1467.705448326176
2007-10-23,1498.1675867818617
2007-10-24,1503.135659114643
2007-10-25,1508.0114518884152
2007-10-26,1522.3268127569468
2007-10-29,1564.1291604803191
2007-10-30,1570.2038719332586
2007-10-31,1552.4900132746677
2007-11-01,1567.5603232247292
2007-11-02,1519.1656443616394
2007-11-05,1451.774024499292
2007-11-06,1464.8156949417903
2007-11-07,1474.7462513143066
2007-11-08,1430.9844237353516
2007-11-09,1420.619650838906
2007-11-12,1368.2601076200538
2007-11-13,1359.8327177637111
2007-11-14,1415.784966504206
2007-11-15,1404.983999835025
2007-11-16,1351.3086954233167
2007-11-19,1339.0230105383278
2007-11-20,1339.2777817426677
2007-11-21,1280.879944890168
2007-11-22,1236.0960382155633
2007-11-23,1250.5514690945683
2007-11-26,1297.1083104356053
2007-11-27,1283.2579802248886
2007-11-28,1303.9377959232872
2007-11-29,1357.6857032129146
2007-11-30,1384.121755926671
2007-12-03,1394.9979141935269
2007-12-04,1386.0728088347994
2007-12-05,1414.3287636329128
2007-12-06,1423.9167584074582
2007-12-07,1397.2133149906072
2007-12-10,1367.9689924533811
2007-12-11,1395.053282932067
2007-12-12,1359.3355192108902
2007-12-13,1327.0634944664346
2007-12-14,1321.3915377573524
2007-12-17,1276.0820422880788
2007-12-18,1275.3407571621676
2007-12-19,1296.1143002086708
2007-12-20,1306.0529767557139
2007-12-21,1335.4236634044357
2007-12-24,1361.8292236266886
2007-12-25,1361.8657265069805
2007-12-26,1352.2984057187168
2007-12-27,1343.763427305777
2007-12-28,1313.1980629899256
2007-12-31,1341.220747124767
2008-01-01,1341.220747124767
2008-01-02,1324.0251176271847
2008-01-03,1292.4014573780623
2008-01-04,1313.0582072259717
2008-01-07,1296.2922038855243
2008-01-08,1292.154072483345
2008-01-09,1315.783698963634
2008-01-10,1299.058565434099
