Date,ACWI ex AUSTRALIA IMI GROWTH
2007-05-31,1000.0
2007-06-01,1009.1037987612975
2007-06-04,1007.4804704281769
2007-06-05,1001.718775298109
2007-06-06,992.4610178931783
2007-06-07,980.6666343046487
2007-06-08,988.016698429486
2007-06-11,992.877700261518
2007-06-12,987.5067934950367
2007-06-13,995.5374362673356
2007-06-14,1005.6860389288603
2007-06-15,1012.6611445816873
2007-06-18,1011.8031667005753
2007-06-19,1010.0763438421624
2007-06-20,1004.9010164626355
2007-06-21,1007.0603369935434
2007-06-22,998.7843644670962
2007-06-25,992.692595536439
2007-06-26,988.0238077263458
2007-06-27,992.2179304214662
2007-06-28,995.1206556099557
2007-06-29,995.7725992432365
2007-07-02,996.9202571626824
2007-07-03,1004.0007609801163
2007-07-04,1005.9751396688443
2007-07-05,1008.0193865707179
2007-07-06,1011.0128314992184
2007-07-09,1014.9352964236738
2007-07-10,1001.8426513714328
2007-07-11,1000.0855600496214
2007-07-12,1013.3142780167683
2007-07-13,1018.2213491706548
2007-07-16,1016.3392978788188
2007-07-17,1014.7711846978461
2007-07-18,1008.9615925442383
2007-07-19,1016.7250820751593
2007-07-20,1010.2629505349039
2007-07-23,1013.9522691888147
2007-07-24,1000.8480538632101
2007-07-25,1003.3613726942476
2007-07-26,981.040458691612
2007-07-27,970.4285229112915
2007-07-30,976.0720765427577
2007-07-31,977.3199981592712
2007-08-01,970.251128027369
2007-08-02,976.7999668174568
2007-08-03,958.6299946804068
2007-08-06,959.0717172147023
2007-08-07,964.6889014060544
2007-08-08,978.0606536863575
2007-08-09,968.1262599248154
2007-08-10,955.157278679798
2007-08-13,964.6139307684482
2007-08-14,953.3978200137341
2007-08-15,944.8238521902078
2007-08-16,928.6609357284492
2007-08-17,931.92193295667
2007-08-20,943.2017728217062
2007-08-21,946.1086637067963
2007-08-22,959.0283728211023
2007-08-23,960.1968615953132
2007-08-24,965.2735700324776
2007-08-27,964.3532577229564
2007-08-28,948.7710011873622
2007-08-29,958.805138723333
2007-08-30,964.040397630925
2007-08-31,979.5765741611267
2007-09-03,981.9586409359594
2007-09-04,989.5161167805594
2007-09-05,975.748401909029
2007-09-06,978.7196479567052
2007-09-07,961.1141234938734
2007-09-10,952.5213880489434
2007-09-11,963.4632341512868
2007-09-12,961.8388053063304
2007-09-13,966.7165355266749
