Date,USA ESG SELECTION P-SERIES
2018-05-31,1000.0
2018-06-01,1013.886114892052
2018-06-04,1019.7038176139623
2018-06-05,1020.5730912745428
2018-06-06,1029.7673275027882
2018-06-07,1025.5066391763582
2018-06-08,1029.7906691573096
2018-06-11,1030.3632979499941
2018-06-12,1033.5330650186459
2018-06-13,1028.9251459757015
2018-06-14,1031.92331888657
2018-06-15,1032.1614443216617
2018-06-18,1030.129836926034
2018-06-19,1026.5198411474644
2018-06-20,1027.191002240053
2018-06-21,1019.9374250103369
2018-06-22,1019.1608185141886
2018-06-25,1003.1995589566648
2018-06-26,1003.0680702989771
2018-06-27,990.6718031357331
2018-06-28,996.9501287766418
2018-06-29,998.9723670827326
2018-07-02,1003.9701639144303
2018-07-03,997.6947979296525
2018-07-04,997.6947979296525
2018-07-05,1008.2642458298895
2018-07-06,1018.5015822263161
2018-07-09,1028.356720192459
2018-07-10,1031.5898108967642
2018-07-11,1025.2491152612124
2018-07-12,1034.9434544173648
2018-07-13,1036.1119179240754
2018-07-16,1034.0889143415918
2018-07-17,1038.759840826888
2018-07-18,1042.657354333256
2018-07-19,1037.9664509327126
2018-07-20,1036.9433023200081
2018-07-23,1040.3917403187781
2018-07-24,1042.6448961744006
2018-07-25,1054.9582771651071
2018-07-26,1055.2195246394233
2018-07-27,1042.9330326974239
2018-07-30,1032.3868895972146
2018-07-31,1039.882985225037
2018-08-01,1037.0920658855673
2018-08-02,1043.6554960092121
2018-08-03,1048.3696825695874
2018-08-06,1051.1031095817384
2018-08-07,1055.7087403015148
2018-08-08,1054.827106652028
2018-08-09,1053.2612904209302
2018-08-10,1045.0310642508464
2018-08-13,1040.7985760330048
2018-08-14,1048.2356164508467
2018-08-15,1040.041652027766
2018-08-16,1046.7362189438934
2018-08-17,1048.688201022659
2018-08-20,1051.6063883613049
2018-08-21,1053.914396805143
2018-08-22,1053.7317377211243
2018-08-23,1051.6556840872815
2018-08-24,1059.8499592758012
2018-08-27,1069.3348096090106
2018-08-28,1069.5669163063214
2018-08-29,1076.0825337896797
2018-08-30,1069.560711220972
2018-08-31,1070.1313829748965
2018-09-03,1070.1313829748965
2018-09-04,1066.9605651974741
2018-09-05,1061.8021487414394
2018-09-06,1060.2311707718382
2018-09-07,1057.1720905304276
2018-09-10,1061.9912569102207
2018-09-11,1064.3520518287235
2018-09-12,1064.6827692474294
2018-09-13,1070.2186014702224
2018-09-14,1072.134895726481
2018-09-17,1065.0875965605871
2018-09-18,1071.106619475545
2018-09-19,1071.86191219699
2018-09-20,1082.0592943434651
2018-09-21,1081.5872574236676
2018-09-24,1076.195757138151
2018-09-25,1073.8503245827405
2018-09-26,1071.7376565940624
2018-09-27,1073.6802186648388
2018-09-28,1073.9053842192998
2018-10-01,1077.0502374940909
2018-10-02,1075.4300767983195
2018-10-03,1076.4177396521804
2018-10-04,1064.7711637127784
2018-10-05,1056.7874255486258
2018-10-08,1054.4663453991975
2018-10-09,1051.1270630995741
2018-10-10,1013.5872453808458
2018-10-11,994.202813862212
2018-10-12,1010.5263869526599
2018-10-15,1002.854270372705
2018-10-16,1026.258331155579
2018-10-17,1024.7713017117605
2018-10-18,1008.4792766966738
2018-10-19,1007.3012876986008
2018-10-22,1004.4480084385935
2018-10-23,998.1889451998136
2018-10-24,965.4384196785068
2018-10-25,985.9198770341039
2018-10-26,970.7331288514586
2018-10-29,964.2961440534847
2018-10-30,981.328005580112
2018-10-31,992.0074831322241
2018-11-01,1002.4313770639282
2018-11-02,999.212712848078
2018-11-05,1007.0122243691072
2018-11-06,1013.8992125688554
2018-11-07,1036.512591532638
2018-11-08,1034.919227962781
2018-11-09,1023.8931130199726
2018-11-12,1004.7441387032352
2018-11-13,1007.1984911355505
2018-11-14,999.9909312602317
2018-11-15,1013.3687366764494
2018-11-16,1014.3987590561828
2018-11-19,994.8712125299458
2018-11-20,978.5885551364973
2018-11-21,983.4478074876614
2018-11-22,983.4478074876614
2018-11-23,979.2661894993502
2018-11-26,995.647102318573
2018-11-27,998.7399430082169
2018-11-28,1022.6675672886041
2018-11-29,1018.6133381560328
2018-11-30,1030.1221606510933
2018-12-03,1038.5414165454135
2018-12-04,1002.9223886793228
2018-12-05,1002.9223886793228
2018-12-06,1004.6807780875231
2018-12-07,976.5806630119687
2018-12-10,980.7811339601712
2018-12-11,981.4930493758751
2018-12-12,987.2325865322508
2018-12-13,985.3349004370046
2018-12-14,967.3363399426788
2018-12-17,946.3672474090514
2018-12-18,948.3426123778873
2018-12-19,935.8471971298279
2018-12-20,922.4638193965774
2018-12-21,903.4893237520067
2018-12-24,880.1851340556494
2018-12-25,880.1851340556494
2018-12-26,924.8664585292646
2018-12-27,933.7999719940841
2018-12-28,932.1478513134015
2018-12-31,940.8987294267135
2019-01-01,940.8987294267135
2019-01-02,939.3358126730667
2019-01-03,917.6762638899129
2019-01-04,951.9176773244602
2019-01-07,960.0726096126831
2019-01-08,969.2962353967334
2019-01-09,972.2840018854214
2019-01-10,977.2748587735066
2019-01-11,977.5348179049291
2019-01-14,971.9726384020476
2019-01-15,983.8750588963428
2019-01-16,984.9738156687598
2019-01-17,992.42174129167
2019-01-18,1006.7169654126698
2019-01-21,1006.7169654126698
2019-01-22,992.7392617002887
2019-01-23,995.3469566786848
2019-01-24,997.5139108523985
2019-01-25,1004.5584670258874
2019-01-28,994.4456576409914
2019-01-29,991.9139457521243
2019-01-30,1005.0615157729221
2019-01-31,1011.3208485338286
2019-02-01,1014.1737246857895
2019-02-04,1021.7341144741921
2019-02-05,1026.9512218211767
2019-02-06,1023.3020881202543
2019-02-07,1014.8628907120552
2019-02-08,1017.3536064908
2019-02-11,1020.0751954783569
2019-02-12,1034.41058951917
2019-02-13,1037.2560558791834
2019-02-14,1035.2635965217564
2019-02-15,1045.852016261817
2019-02-18,1045.852016261817
2019-02-19,1047.6830575013405
2019-02-20,1049.098761821546
2019-02-21,1046.8665661350587
2019-02-22,1054.5614451856375
2019-02-25,1055.4650520390253
2019-02-26,1055.5759571555957
2019-02-27,1056.6028254673722
2019-02-28,1052.8777556222963
2019-03-01,1058.7979919403956
2019-03-04,1053.583394639973
2019-03-05,1051.913748492985
2019-03-06,1045.2777229212627
2019-03-07,1036.6448220379964
2019-03-08,1034.9378060851059
2019-03-11,1050.994369509095
2019-03-12,1055.5577137161613
2019-03-13,1062.9278755879905
