Date,WORLD ex USA VALUE
1974-12-31,100.0
1975-01-31,116.58732
1975-02-28,130.67199
1975-03-31,128.09332
1975-04-30,133.3683
1975-05-30,132.7046
1975-06-30,128.79295
1975-07-31,123.70813
1975-08-29,124.23511
1975-09-30,118.67895
1975-10-31,128.26567
1975-11-28,131.89411
1975-12-31,134.85259
1976-01-30,144.04522
1976-02-27,144.03539
1976-03-31,142.14683
1976-04-30,141.97242
1976-05-31,138.70631
1976-06-30,140.89494
1976-07-30,138.83373
1976-08-31,138.93115
1976-09-30,136.90764
1976-10-29,128.53665
1976-11-30,127.43445
1976-12-31,141.36449
1977-01-31,140.47819
1977-02-28,143.82438
1977-03-31,146.25117
1977-04-29,150.44084
1977-05-31,149.48441
1977-06-30,152.84015
1977-07-29,152.26064
1977-08-31,157.16194
1977-09-30,159.52509
1977-10-31,162.63818
1977-11-30,162.2041
1977-12-30,170.30575
1978-01-31,170.89028
1978-02-28,172.65019
1978-03-31,185.18108
1978-04-28,184.42023
1978-05-31,189.88299
1978-06-30,197.14666
1978-07-31,212.7332
1978-08-31,216.86284
1978-09-29,222.33151
1978-10-31,234.51123
1978-11-30,216.53068
1978-12-29,228.08427
1979-01-31,231.103
1979-02-28,230.78548
1979-03-30,235.37662
1979-04-30,235.49679
1979-05-31,230.86547
1979-06-29,235.3661
1979-07-31,236.39062
1979-08-31,243.28611
1979-09-28,252.10222
1979-10-31,228.78749
1979-11-30,231.24044
1979-12-31,241.11367
1980-01-31,253.40636
1980-02-29,252.1089
1980-03-31,225.39433
1980-04-30,244.86538
1980-05-30,256.11276
1980-06-30,271.68551
1980-07-31,271.43823
1980-08-29,280.53643
1980-09-30,285.36942
1980-10-31,291.76528
1980-11-28,285.84556
1980-12-31,290.24089
1981-01-30,287.35007
1981-02-27,284.91016
1981-03-31,300.64593
1981-04-30,314.86964
1981-05-29,303.01866
1981-06-30,307.95892
1981-07-31,295.18547
1981-08-31,300.26502
1981-09-30,272.27023
1981-10-30,275.81282
1981-11-30,308.18114
1981-12-31,303.02987
1982-01-29,298.01464
1982-02-26,281.94103
1982-03-31,266.31975
1982-04-30,283.05412
1982-05-31,278.47109
1982-06-30,255.48582
1982-07-30,251.01541
1982-08-31,254.85096
1982-09-30,250.56054
1982-10-29,255.92978
1982-11-30,277.4221
1982-12-31,304.01147
1983-01-31,304.91934
1983-02-28,315.43093
1983-03-31,329.32183
1983-04-29,349.24101
1983-05-31,347.92572
1983-06-30,356.43567
1983-07-29,355.39126
1983-08-31,350.59718
1983-09-30,365.10465
1983-10-31,363.77316
1983-11-30,371.98164
1983-12-30,387.34579
1984-01-31,403.98234
1984-02-29,405.17816
1984-03-30,429.50427
1984-04-30,422.75835
1984-05-31,385.62377
1984-06-29,381.45788
1984-07-31,359.99192
1984-08-31,390.5689
1984-09-28,384.41146
1984-10-31,386.80914
1984-11-30,385.40727
1984-12-31,394.65854
1985-01-31,406.09577
1985-02-28,398.72813
1985-03-29,423.79526
1985-04-30,426.46893
1985-05-31,443.68591
1985-06-28,455.4631
1985-07-31,478.71784
1985-08-30,496.8164
1985-09-30,529.32768
1985-10-31,563.78256
1985-11-29,590.86624
1985-12-31,620.82837
1986-01-31,634.32202
1986-02-28,700.62424
1986-03-31,791.52484
1986-04-30,855.5212
1986-05-30,813.83997
1986-06-30,869.6455
1986-07-31,892.72347
1986-08-29,987.96573
1986-09-30,980.12809
1986-10-31,928.24696
1986-11-28,975.15713
1986-12-31,1022.0449
1987-01-30,1086.18409
1987-02-27,1122.90408
1987-03-31,1186.08021
1987-04-30,1284.51203
1987-05-29,1326.41447
1987-06-30,1330.33444
1987-07-31,1348.71366
1987-08-31,1424.57737
1987-09-30,1442.07555
1987-10-30,1251.32434
1987-11-30,1267.24489
1987-12-31,1331.37813
1988-01-29,1340.76496
1988-02-29,1428.0312
1988-03-31,1525.03299
1988-04-29,1566.55309
1988-05-31,1528.60137
1988-06-30,1511.07014
1988-07-29,1577.92355
1988-08-31,1462.16881
1988-09-30,1515.34363
1988-10-31,1626.43658
1988-11-30,1714.06463
1988-12-30,1729.37263
1989-01-31,1777.15048
1989-02-28,1796.20366
1989-03-31,1764.87358
1989-04-28,1796.07821
1989-05-31,1718.82349
1989-06-30,1698.72594
1989-07-31,1894.57092
1989-08-31,1819.45886
1989-09-29,1904.82622
1989-10-31,1833.61265
1989-11-30,1913.23718
1989-12-29,1992.3708
1990-01-31,1930.07534
1990-02-28,1814.36652
1990-03-30,1656.20304
1990-04-30,1642.01392
1990-05-31,1810.41993
1990-06-29,1805.6576
1990-07-31,1835.76719
1990-08-31,1656.49385
1990-09-28,1450.06777
1990-10-31,1641.14096
1990-11-30,1548.7702
1990-12-31,1567.15964
1991-01-31,1610.98457
1991-02-28,1795.05267
1991-03-29,1684.36515
1991-04-30,1701.06113
1991-05-31,1718.71258
1991-06-28,1598.68707
