Date,EAFE VALUE
1974-12-31,100.0
1975-01-31,116.80849
1975-02-28,132.36998
1975-03-31,129.75215
1975-04-30,135.54951
1975-05-30,134.4266
1975-06-30,129.83842
1975-07-31,124.02411
1975-08-29,124.41729
1975-09-30,119.04752
1975-10-31,130.49016
1975-11-28,133.49648
1975-12-31,137.15046
1976-01-30,145.47731
1976-02-27,144.39013
1976-03-31,142.62233
1976-04-30,141.97941
1976-05-31,138.38629
1976-06-30,140.72391
1976-07-30,138.58792
1976-08-31,138.67102
1976-09-30,136.44046
1976-10-29,127.70615
1976-11-30,129.04971
1976-12-31,142.69175
1977-01-31,142.12569
1977-02-28,145.74368
1977-03-31,148.21891
1977-04-29,153.05407
1977-05-31,152.34399
1977-06-30,155.4127
1977-07-29,154.81596
1977-08-31,160.85377
1977-09-30,163.49794
1977-10-31,167.91907
1977-11-30,166.7319
1977-12-30,174.92909
1978-01-31,176.66122
1978-02-28,178.64661
1978-03-31,191.93875
1978-04-28,190.51258
1978-05-31,195.64335
1978-06-30,204.18369
1978-07-31,220.60454
1978-08-31,224.66062
1978-09-29,230.06334
1978-10-31,244.18282
1978-11-30,223.52033
1978-12-29,235.87413
1979-01-31,238.80477
1979-02-28,238.04613
1979-03-30,241.57694
1979-04-30,241.10964
1979-05-31,236.01623
1979-06-29,240.48739
1979-07-31,242.29718
1979-08-31,248.18399
1979-09-28,257.55512
1979-10-31,234.24694
1979-11-30,235.83761
1979-12-31,245.01682
1980-01-31,255.04894
1980-02-29,252.59396
1980-03-31,227.7978
1980-04-30,248.9374
1980-05-30,258.9837
1980-06-30,276.06753
1980-07-31,274.09153
1980-08-29,282.63981
1980-09-30,287.89557
1980-10-31,294.9882
1980-11-28,285.94808
1980-12-31,292.62232
1981-01-30,290.17866
1981-02-27,287.46809
1981-03-31,301.94478
1981-04-30,319.26302
1981-05-29,306.35576
1981-06-30,312.36399
1981-07-31,300.00032
1981-08-31,305.77334
1981-09-30,277.09322
1981-10-30,282.57168
1981-11-30,315.47591
1981-12-31,310.50667
1982-01-29,307.12138
1982-02-26,290.83206
1982-03-31,274.37181
1982-04-30,293.4002
1982-05-31,288.3919
1982-06-30,265.50612
1982-07-30,259.0794
1982-08-31,259.44789
1982-09-30,255.19647
