Date,EUROPE VALUE
1974-12-31,100.0
1975-01-31,121.35394
1975-02-28,136.85665
1975-03-31,130.55105
1975-04-30,140.22072
1975-05-30,137.33337
1975-06-30,129.33565
1975-07-31,124.06352
1975-08-29,127.41717
1975-09-30,121.76562
1975-10-31,132.7013
1975-11-28,137.19772
1975-12-31,140.909
1976-01-30,147.93406
1976-02-27,144.86977
1976-03-31,142.58268
1976-04-30,140.71624
1976-05-31,134.64041
1976-06-30,133.80141
1976-07-30,130.92189
1976-08-31,128.40819
1976-09-30,124.99641
1976-10-29,116.03936
1976-11-30,121.06221
1976-12-31,131.91311
1977-01-31,133.07841
1977-02-28,134.33238
1977-03-31,137.36952
1977-04-29,142.21421
1977-05-31,141.98259
1977-06-30,142.60885
1977-07-29,140.75777
1977-08-31,146.77151
1977-09-30,152.79732
1977-10-31,156.18172
1977-11-30,153.20108
1977-12-30,161.59062
1978-01-31,161.95014
1978-02-28,162.66999
1978-03-31,168.35198
1978-04-28,166.1997
1978-05-31,171.05812
1978-06-30,171.28465
1978-07-31,183.54578
1978-08-31,189.76787
1978-09-29,197.93099
1978-10-31,207.51443
1978-11-30,190.93759
1978-12-29,200.81282
1979-01-31,202.07179
1979-02-28,207.09755
1979-03-30,219.03992
1979-04-30,223.54608
1979-05-31,213.00799
1979-06-29,218.2645
1979-07-31,220.19917
1979-08-31,227.46909
1979-09-28,237.80574
1979-10-31,214.20452
1979-11-30,221.39712
1979-12-31,223.23799
1980-01-31,232.85628
1980-02-29,233.65998
1980-03-31,203.13847
1980-04-30,225.46305
1980-05-30,227.91906
1980-06-30,243.55102
1980-07-31,246.11144
1980-08-29,247.06967
1980-09-30,244.95052
1980-10-31,245.28281
1980-11-28,237.40455
1980-12-31,232.54679
1981-01-30,223.82898
1981-02-27,224.04261
1981-03-31,230.98571
1981-04-30,232.69009
1981-05-29,213.34203
1981-06-30,209.62226
1981-07-31,200.64158
1981-08-31,205.1649
1981-09-30,185.6675
1981-10-30,194.27213
1981-11-30,218.04775
1981-12-31,210.22969
1982-01-29,211.54652
1982-02-26,204.84788
1982-03-31,204.06161
1982-04-30,210.28383
1982-05-31,208.4952
1982-06-30,189.95721
1982-07-30,190.75195
1982-08-31,190.92039
1982-09-30,191.79031
1982-10-29,196.27169
1982-11-30,197.35141
1982-12-31,209.1372
1983-01-31,214.49792
1983-02-28,223.45006
1983-03-31,235.8049
1983-04-29,255.40724
1983-05-31,252.83309
1983-06-30,261.41327
1983-07-29,256.24639
1983-08-31,253.25759
1983-09-30,257.06004
1983-10-31,254.23483
1983-11-30,261.65392
1983-12-30,265.86869
1984-01-31,282.85969
1984-02-29,291.73833
1984-03-30,298.31276
1984-04-30,295.59147
1984-05-31,276.66423
1984-06-29,274.10055
1984-07-31,254.67832
1984-08-31,276.55653
1984-09-28,272.33186
1984-10-31,271.72574
1984-11-30,271.80106
1984-12-31,273.34036
1985-01-31,287.32832
1985-02-28,276.20713
1985-03-29,305.94841
1985-04-30,313.20881
1985-05-31,328.5116
1985-06-28,335.2214
1985-07-31,365.18418
1985-08-30,383.55401
1985-09-30,391.30397
1985-10-31,433.75936
1985-11-29,466.61959
1985-12-31,490.74977
1986-01-31,497.21378
1986-02-28,562.04684
1986-03-31,609.59653
1986-04-30,656.57097
1986-05-30,596.27837
1986-06-30,625.0092
1986-07-31,615.94539
1986-08-29,684.2923
1986-09-30,648.65267
1986-10-31,650.10435
1986-11-28,679.92359
1986-12-31,698.79925
1987-01-30,738.83344
1987-02-27,763.03722
1987-03-31,809.93016
1987-04-30,845.09157
1987-05-29,845.89014
1987-06-30,871.50643
1987-07-31,902.30053
1987-08-31,911.92046
1987-09-30,917.76962
1987-10-30,751.48874
1987-11-30,723.00717
1987-12-31,766.74968
1988-01-29,738.96081
1988-02-29,781.66006
1988-03-31,809.83295
1988-04-29,828.51925
1988-05-31,813.89509
1988-06-30,804.11638
1988-07-29,809.37077
1988-08-31,773.41687
1988-09-30,810.98059
1988-10-31,888.83132
1988-11-30,903.80707
1988-12-30,911.22735
1989-01-31,946.15712
1989-02-28,932.76333
1989-03-31,943.88848
1989-04-28,968.28158
1989-05-31,920.32189
1989-06-30,954.10384
1989-07-31,1065.10369
1989-08-31,1050.27405
1989-09-29,1069.21316
1989-10-31,998.55029
1989-11-30,1054.18441
1989-12-29,1179.64868
1990-01-31,1179.98488
1990-02-28,1159.263
1990-03-30,1171.99812
1990-04-30,1142.33669
1990-05-31,1224.33426
1990-06-29,1258.97446
1990-07-31,1309.98894
1990-08-31,1179.76892
1990-09-28,1042.33861
1990-10-31,1111.79551
1990-11-30,1130.34809
1990-12-31,1115.0568
1991-01-31,1148.38364
1991-02-28,1253.63785
1991-03-29,1165.73955
1991-04-30,1155.22689
1991-05-31,1190.926
1991-06-28,1089.85868
1991-07-31,1167.79697
1991-08-30,1192.73547
1991-09-30,1227.57054
1991-10-31,1191.53504
1991-11-29,1150.69036
1991-12-31,1226.58766
1992-01-31,1226.51853
1992-02-28,1230.23319
1992-03-31,1185.4651
1992-04-30,1267.17983
1992-05-29,1335.82144
1992-06-30,1294.8556
1992-07-31,1241.67109
1992-08-31,1232.8464
1992-09-30,1213.18406
1992-10-30,1127.57261
1992-11-30,1123.38725
1992-12-31,1154.14723
1993-01-29,1177.33425
1993-02-26,1202.99244
1993-03-31,1276.14302
1993-04-30,1306.92671
1993-05-31,1322.95475
1993-06-30,1318.07168
1993-07-30,1341.74053
1993-08-31,1455.96227
1993-09-30,1450.31261
1993-10-29,1511.15499
1993-11-30,1478.11513
1993-12-31,1600.70968
1994-01-31,1694.65029
1994-02-28,1637.66114
1994-03-31,1592.58091
1994-04-29,1662.51182
1994-05-31,1598.88059
1994-06-30,1588.27179
1994-07-29,1673.94129
1994-08-31,1712.15783
1994-09-30,1646.19898
1994-10-31,1728.5864
1994-11-30,1657.24953
1994-12-30,1656.56259
1995-01-31,1646.11178
1995-02-28,1670.20502
1995-03-31,1735.48542
1995-04-28,1791.34336
1995-05-31,1835.24999
1995-06-30,1828.01364
1995-07-31,1924.62608
1995-08-31,1834.36305
1995-09-29,1886.18681
1995-10-31,1873.50674
1995-11-30,1894.80582
1995-12-29,1963.61046
1996-01-31,1965.53653
1996-02-29,2001.88075
1996-03-29,2022.00541
1996-04-30,2042.5922
1996-05-31,2058.78315
1996-06-28,2075.99747
1996-07-31,2055.21565
1996-08-30,2122.54666
1996-09-30,2153.50811
1996-10-31,2196.30882
1996-11-29,2316.82897
1996-12-31,2368.68663
1997-01-31,2388.270835126321
1997-02-28,2438.836564681828
1997-03-31,2517.1520055962587
1997-04-30,2509.8634354332376
1997-05-30,2636.1646214924367
1997-06-30,2745.6736080295545
1997-07-31,2876.2727396961886
1997-08-29,2714.501275671738
1997-09-30,2978.894653796217
1997-10-31,2884.455727398534
1997-11-28,2933.053566663506
1997-12-31,3041.0345579223685
1998-01-30,3162.2914392906996
1998-02-27,3386.58455096996
1998-03-31,3723.759090118866
1998-04-30,3802.0227584576564
1998-05-29,3886.8314719727277
1998-06-30,3883.5837855117657
1998-07-31,4011.4380871343697
1998-08-31,3415.8661970135927
1998-09-30,3279.0330562087506
1998-10-30,3510.920555994865
1998-11-30,3706.853398189186
1998-12-31,3780.488055101144
1999-01-29,3711.787357159872
1999-02-26,3673.197642746126
1999-03-31,3833.738911364628
1999-04-30,4097.180122460743
1999-05-31,3862.9571003311735
1999-06-30,3931.0969645714745
1999-07-30,4033.8593722962332
1999-08-31,4055.1801613583557
1999-09-30,4010.644026429275
1999-10-29,4087.886562365773
1999-11-30,4066.201833055801
1999-12-31,4394.336702120457
2000-01-31,3972.866860184268
2000-02-29,4057.4533378046813
2000-03-31,4201.631441662855
2000-04-28,4028.0932139886904
2000-05-31,4150.062266818267
2000-06-30,4266.831924101005
2000-07-31,4293.250800168041
2000-08-31,4266.754409183425
2000-09-29,4108.155104889699
2000-10-31,4145.080126187475
2000-11-30,4044.2745594037774
2000-12-29,4380.369944518726
2001-01-01,4380.369944518726
2001-01-02,4381.174749236553
2001-01-03,4344.07568842831
2001-01-04,4420.319203645061
2001-01-05,4442.50091688043
2001-01-08,4423.15486353649
2001-01-09,4355.137003635905
2001-01-10,4319.5502656395565
2001-01-11,4387.071567055918
2001-01-12,4383.98483791671
2001-01-15,4369.13944368132
2001-01-16,4319.006104471707
2001-01-17,4351.74883897765
2001-01-18,4383.18643308165
2001-01-19,4330.932110698876
2001-01-22,4343.67475571508
2001-01-23,4363.672698287277
2001-01-24,4343.402096120264
2001-01-25,4358.33521175389
2001-01-26,4368.1122134493735
2001-01-29,4374.788747961237
2001-01-30,4412.346987414511
2001-01-31,4432.092799660721
2001-02-01,4437.564501204083
2001-02-02,4394.310839849933
2001-02-05,4425.857080335045
2001-02-06,4412.946773868168
2001-02-07,4380.462555619549
2001-02-08,4325.315645217563
2001-02-09,4310.266278535871
2001-02-12,4361.81829760053
2001-02-13,4332.493951728086
2001-02-14,4308.536775741624
2001-02-15,4266.437748475538
2001-02-16,4249.8813061918045
2001-02-19,4264.438362865585
2001-02-20,4188.454797459549
2001-02-21,4160.13434687147
2001-02-22,4130.126619812065
2001-02-23,4085.6760704451763
2001-02-26,4100.857663160256
2001-02-27,4141.785595990947
2001-02-28,4137.481502112044
2001-03-01,4150.134018344895
2001-03-02,4166.809657575028
2001-03-05,4180.117580753457
2001-03-06,4242.246602886901
2001-03-07,4241.275439546869
2001-03-08,4259.369403450279
2001-03-09,4222.753241632411
2001-03-12,4143.41704568553
2001-03-13,4048.235125688862
2001-03-14,3962.9955758624997
2001-03-15,3993.392462372078
2001-03-16,3868.4869730190076
2001-03-19,3845.719207073363
2001-03-20,3910.953582656354
2001-03-21,3819.012454037049
2001-03-22,3612.3947832873673
2001-03-23,3693.033670251079
2001-03-26,3822.586916335909
2001-03-27,3927.9466079938434
2001-03-28,3848.2207893655786
2001-03-29,3843.0046389766967
2001-03-30,3869.28546938225
2001-04-02,3854.330867952305
2001-04-03,3770.264315483094
2001-04-04,3850.301137795548
2001-04-05,3889.20999676082
2001-04-06,3910.418384634404
2001-04-09,3980.617568955293
2001-04-10,4020.4552008792098
2001-04-11,4010.0224124536453
2001-04-12,4044.005595266843
2001-04-13,4044.005595266843
2001-04-16,4010.979375490654
2001-04-17,3984.5421588777313
2001-04-18,4026.8130340776324
2001-04-19,4093.5994451416955
2001-04-20,4111.672916361677
2001-04-23,4077.2115423139435
2001-04-24,4087.406069872247
2001-04-25,4089.450757655934
2001-04-26,4117.207981382729
2001-04-27,4127.724178981649
2001-04-30,4123.9034735322475
2001-05-01,4133.177217016809
2001-05-02,4107.085526164095
2001-05-03,4037.3398390477246
2001-05-04,4078.8208374435853
2001-05-07,4091.721183331245
2001-05-08,4057.4905580094264
2001-05-09,4046.8847177314597
