Date,EAFE ex ISRAEL VALUE
2010-05-26,1000.0
2010-05-27,1027.942047442402
2010-05-28,1033.1210349050002
2010-05-31,1029.9375434211195
2010-06-01,1027.8149624782939
2010-06-02,1015.4818550567809
2010-06-03,1033.226117892452
2010-06-04,1009.9080108132745
2010-06-07,986.7662952433706
2010-06-08,982.1359926084906
2010-06-09,996.0399879697404
2010-06-10,1012.4116813138479
2010-06-11,1022.1104613431929
2010-06-14,1043.0344916148372
2010-06-15,1051.3564322514426
2010-06-16,1056.4248536575901
2010-06-17,1060.618319861607
2010-06-18,1064.4651004162513
2010-06-21,1077.664089936541
2010-06-22,1065.0279655039844
2010-06-23,1051.3506646462527
2010-06-24,1042.8396937596012
2010-06-25,1033.2472663348535
2010-06-28,1042.3020034604342
2010-06-29,1008.9975530811258
2010-06-30,1009.350776882689
2010-07-01,1004.2074186395062
2010-07-02,1011.6544612342459
2010-07-05,1005.9360425958362
2010-07-06,1036.2238855368105
2010-07-07,1046.5997917095046
2010-07-08,1063.3210817180802
2010-07-09,1066.255722040011
2010-07-12,1065.8394534846693
2010-07-13,1085.3310901604493
2010-07-14,1094.0045486837637
2010-07-15,1091.1269447957732
2010-07-16,1079.027976773908
2010-07-19,1072.142860380709
2010-07-20,1066.030481801453
2010-07-21,1068.6189318202676
2010-07-22,1089.5348853524706
2010-07-23,1093.1062187255077
2010-07-26,1107.0121698039304
2010-07-27,1116.7653924729937
2010-07-28,1122.5331106398571
2010-07-29,1126.989381832938
2010-07-30,1117.9752664140822
2010-08-02,1153.0446112963195
2010-08-03,1160.0604842379287
2010-08-04,1152.8358148908374
2010-08-05,1156.6922241337825
2010-08-06,1160.1519253510485
2010-08-09,1166.5836172650816
2010-08-10,1147.3832586950623
2010-08-11,1113.278924639809
2010-08-12,1103.491269249951
2010-08-13,1099.9283733597356
2010-08-16,1104.3452804572844
2010-08-17,1114.9252990159284
2010-08-18,1114.5859736547893
2010-08-19,1105.6841109993845
2010-08-20,1081.6624653582771
2010-08-23,1087.4408578676762
2010-08-24,1075.901972229368
2010-08-25,1060.086130874998
2010-08-26,1074.2153870785428
2010-08-27,1080.361758010207
2010-08-30,1082.6081180697106
2010-08-31,1078.2978551780452
2010-09-01,1108.1578615791318
2010-09-02,1112.3908556146087
2010-09-03,1123.311801497348
2010-09-06,1133.7115050436864
2010-09-07,1120.828835205775
2010-09-08,1123.580193186277
2010-09-09,1134.817232444326
2010-09-10,1132.9143543333334
2010-09-13,1152.6498021897987
2010-09-14,1159.8409147604398
2010-09-15,1157.0631988275882
2010-09-16,1153.0186182798773
2010-09-17,1147.6313685983182
2010-09-20,1161.662257439438
2010-09-21,1161.4909291329777
2010-09-22,1168.2990555037682
2010-09-23,1162.0112032484055
2010-09-24,1177.4318694130084
2010-09-27,1178.55078736458
2010-09-28,1181.257683759718
2010-09-29,1181.5010918274177
2010-09-30,1174.581893056615
2010-10-01,1180.5368455756159
2010-10-04,1168.9795949947497
2010-10-05,1194.8897502826953
2010-10-06,1209.436949433382
2010-10-07,1216.9525990911347
2010-10-08,1215.4550133013647
2010-10-11,1215.6684775884485
2010-10-12,1202.0735678044286
2010-10-13,1222.423984241694
2010-10-14,1236.1497057109427
2010-10-15,1228.186317559244
2010-10-18,1231.2665733838674
2010-10-19,1215.538688911727
2010-10-20,1228.0948655667087
2010-10-21,1230.4920747824624
2010-10-22,1225.1904747421288
2010-10-25,1232.821834171434
2010-10-26,1221.1194341695718
2010-10-27,1205.346567099727
2010-10-28,1219.6511963845412
2010-10-29,1221.1210803086915
2010-11-01,1220.1668876028482
2010-11-02,1234.054782212247
2010-11-03,1227.5091736600484
2010-11-04,1261.1066620192976
2010-11-05,1253.4267171530082
2010-11-08,1247.4972151931756
2010-11-09,1253.6802738088713
2010-11-10,1230.581280561585
2010-11-11,1229.4571070713005
2010-11-12,1225.4027298220533
2010-11-15,1224.041218817541
2010-11-16,1199.3909644171601
2010-11-17,1203.7537578750434
2010-11-18,1223.1536793067323
2010-11-19,1222.641387426047
2010-11-22,1212.2953378240202
2010-11-23,1186.4590252219045
2010-11-24,1186.3946016171346
2010-11-25,1187.4193198971852
2010-11-26,1168.8838114942785
2010-11-29,1149.7696979062487
2010-11-30,1141.16920067799
