Date,EUROPE ex UK VALUE
1974-12-31,100.0
1975-01-31,112.77282
1975-02-28,120.37458
1975-03-31,118.33508
1975-04-30,122.68244
1975-05-30,117.09113
1975-06-30,114.57693
1975-07-31,110.43014
1975-08-29,108.62332
1975-09-30,102.07554
1975-10-31,112.16829
1975-11-28,118.47886
1975-12-31,120.78398
1976-01-30,124.34294
1976-02-27,122.64764
1976-03-31,123.23409
1976-04-30,120.21221
1976-05-31,117.53397
1976-06-30,116.9221
1976-07-30,115.12206
1976-08-31,113.99585
1976-09-30,114.20343
1976-10-29,108.04323
1976-11-30,110.89462
1976-12-31,116.48432
1977-01-31,113.34686
1977-02-28,113.75818
1977-03-31,114.00822
1977-04-29,119.7235
1977-05-31,117.4858
1977-06-30,117.28627
1977-07-29,115.98486
1977-08-31,116.72964
1977-09-30,118.48942
1977-10-31,121.47901
1977-11-30,121.21201
1977-12-30,126.76363
1978-01-31,128.86275
1978-02-28,133.20762
1978-03-31,138.48944
1978-04-28,135.14232
1978-05-31,138.26124
1978-06-30,140.0744
1978-07-31,148.74086
1978-08-31,154.55552
1978-09-29,163.54746
1978-10-31,171.85674
1978-11-30,154.78782
1978-12-29,164.5836
1979-01-31,165.63945
1979-02-28,163.70534
1979-03-30,166.76225
1979-04-30,166.55305
1979-05-31,160.08311
1979-06-29,167.24938
1979-07-31,170.1352
1979-08-31,175.70687
1979-09-28,186.89659
1979-10-31,171.76471
1979-11-30,176.52047
1979-12-31,176.87732
1980-01-31,177.72537
1980-02-29,173.87884
1980-03-31,149.15955
1980-04-30,166.74341
1980-05-30,171.01849
1980-06-30,178.20294
1980-07-31,177.32897
1980-08-29,176.59613
1980-09-30,173.94277
1980-10-31,170.54754
1980-11-28,166.29451
1980-12-31,162.45442
1981-01-30,152.12711
1981-02-27,154.7972
1981-03-31,161.54454
1981-04-30,157.39526
1981-05-29,145.3071
1981-06-30,144.52497
1981-07-31,138.50906
1981-08-31,140.79686
1981-09-30,135.87979
1981-10-30,138.60528
1981-11-30,148.73641
1981-12-31,145.35505
1982-01-29,144.85476
1982-02-26,145.12927
1982-03-31,142.38914
1982-04-30,147.4928
1982-05-31,142.34043
1982-06-30,128.35392
1982-07-30,129.06402
1982-08-31,127.87415
1982-09-30,129.14644
1982-10-29,128.78753
1982-11-30,136.31179
1982-12-31,148.76543
1983-01-31,154.58184
1983-02-28,167.09063
1983-03-31,178.76472
1983-04-29,185.78745
1983-05-31,178.38586
1983-06-30,184.09583
1983-07-29,184.98703
1983-08-31,179.91326
1983-09-30,184.04414
1983-10-31,183.19768
1983-11-30,187.31838
1983-12-30,190.81258
1984-01-31,201.77754
1984-02-29,206.91017
1984-03-30,210.37076
1984-04-30,206.81218
1984-05-31,197.34443
1984-06-29,194.979
1984-07-31,180.36559
1984-08-31,194.78315
1984-09-28,191.80187
1984-10-31,192.32681
1984-11-30,189.58764
1984-12-31,190.9125
1985-01-31,202.8648
1985-02-28,196.09994
1985-03-29,212.49452
1985-04-30,217.98977
1985-05-31,228.14075
1985-06-28,238.24763
1985-07-31,256.66304
1985-08-30,268.92048
1985-09-30,284.38931
1985-10-31,313.77361
1985-11-29,338.07079
1985-12-31,372.12542
1986-01-31,377.66209
1986-02-28,431.21135
1986-03-31,462.33676
1986-04-30,501.38356
1986-05-30,452.38788
1986-06-30,463.03431
1986-07-31,472.87663
1986-08-29,537.0357
1986-09-30,509.78785
1986-10-31,504.45346
1986-11-28,529.39139
1986-12-31,537.26807
1987-01-30,551.51451
1987-02-27,551.80496
1987-03-31,581.55943
1987-04-30,595.39936
1987-05-29,572.89907
1987-06-30,585.85698
1987-07-31,612.82629
1987-08-31,633.16973
1987-09-30,620.51606
1987-10-30,521.34614
1987-11-30,501.99473
1987-12-31,510.4121
1988-01-29,480.85213
1988-02-29,528.72267
1988-03-31,538.08132
1988-04-29,549.05065
1988-05-31,541.38764
1988-06-30,547.49134
1988-07-29,546.10426
1988-08-31,528.54019
1988-09-30,554.74007
1988-10-31,611.47406
1988-11-30,622.12595
1988-12-30,637.6863
1989-01-31,634.73693
1989-02-28,634.16321
1989-03-31,644.26699
1989-04-28,668.20449
1989-05-31,644.65369
1989-06-30,679.6792
1989-07-31,740.25343
1989-08-31,739.01206
1989-09-29,755.70137
1989-10-31,719.78642
1989-11-30,758.5505
1989-12-29,846.75377
1990-01-31,843.84347
1990-02-28,831.33461
1990-03-30,856.39605
1990-04-30,850.95733
1990-05-31,886.57899
1990-06-29,902.29067
1990-07-31,934.38654
1990-08-31,818.70814
1990-09-28,714.60262
1990-10-31,757.05693
1990-11-30,752.70139
1990-12-31,740.87544
1991-01-31,765.68935
1991-02-28,837.14113
1991-03-29,777.19893
1991-04-30,769.61672
1991-05-31,804.99966
1991-06-28,742.46156
1991-07-31,774.90998
1991-08-30,788.74441
1991-09-30,809.87319
1991-10-31,795.84927
1991-11-29,786.56092
1991-12-31,839.2544
1992-01-31,844.8269
1992-02-28,854.84791
1992-03-31,836.15315
1992-04-30,855.32062
1992-05-29,903.27773
1992-06-30,886.74441
1992-07-31,856.82675
1992-08-31,849.2969
1992-09-30,836.4151
1992-10-30,780.51452
1992-11-30,768.75464
1992-12-31,776.42883
1993-01-29,802.36768
1993-02-26,834.08916
1993-03-31,866.77066
1993-04-30,880.87498
1993-05-31,890.57329
1993-06-30,884.97358
1993-07-30,909.09642
1993-08-31,1000.29691
1993-09-30,994.77474
1993-10-29,1037.25454
1993-11-30,1001.68429
1993-12-31,1081.16758
1994-01-31,1145.22803
1994-02-28,1117.8503
1994-03-31,1105.93914
1994-04-29,1164.01577
1994-05-31,1125.32647
1994-06-30,1105.34552
1994-07-29,1166.21331
1994-08-31,1172.58227
1994-09-30,1126.41152
1994-10-31,1172.78693
1994-11-30,1128.83831
1994-12-30,1128.72187
1995-01-31,1128.05607
1995-02-28,1151.19187
1995-03-31,1173.73505
1995-04-28,1222.32288
1995-05-31,1250.41173
1995-06-30,1252.17546
1995-07-31,1309.55966
1995-08-31,1232.68251
1995-09-29,1274.42365
1995-10-31,1271.57319
1995-11-30,1285.1308
1995-12-29,1335.39298
1996-01-31,1340.86821
1996-02-29,1368.15758
1996-03-29,1390.08971
1996-04-30,1401.94991
1996-05-31,1412.51731
1996-06-28,1437.96935
1996-07-31,1408.97554
1996-08-30,1440.54976
1996-09-30,1464.85701
1996-10-31,1471.24989
1996-11-29,1542.87227
1996-12-31,1559.76648
1997-01-31,1601.5494671576573
1997-02-28,1624.6190791477854
1997-03-31,1701.694579067772
1997-04-30,1677.0140543550274
1997-05-30,1751.80918180138
1997-06-30,1855.3417719536062
1997-07-31,1942.9133964684893
1997-08-29,1802.3631709038639
1997-09-30,2002.6225376674072
1997-10-31,1913.5825089200378
1997-11-28,1952.4364179399854
1997-12-31,2034.484925710928
1998-01-30,2104.599287329326
1998-02-27,2267.3474843714885
1998-03-31,2524.596262433915
1998-04-30,2614.0392152516492
1998-05-29,2743.8357927130037
1998-06-30,2728.2209675035265
1998-07-31,2862.423311524871
1998-08-31,2376.0813637899237
1998-09-30,2244.4789226558323
1998-10-30,2423.3662807723313
1998-11-30,2573.208199439792
1998-12-31,2652.7097614193776
1999-01-29,2625.123672770617
1999-02-26,2540.2441624303506
1999-03-31,2641.6596455185145
1999-04-30,2794.443649172842
1999-05-31,2639.183865285747
1999-06-30,2709.1539463853665
1999-07-30,2770.458061631338
1999-08-31,2798.3892571456204
1999-09-30,2759.942773206542
1999-10-29,2842.1578853742753
1999-11-30,2828.7201994856896
1999-12-31,3097.374168752829
2000-01-31,2806.8797769270595
2000-02-29,2953.339935680572
2000-03-31,2997.6603962964737
2000-04-28,2916.9870548755166
2000-05-31,3031.735100415517
2000-06-30,3158.0715042638485
2000-07-31,3165.2897725899224
2000-08-31,3138.612564437917
2000-09-29,3005.664025436592
2000-10-31,2983.3915292657475
2000-11-30,2978.1884598528554
2000-12-29,3226.4429922646086
2001-01-01,3226.4429922646086
2001-01-02,3239.29982792337
2001-01-03,3220.6205125585466
2001-01-04,3255.2042724855905
2001-01-05,3269.8077580991353
2001-01-08,3266.46895628381
2001-01-09,3214.6458705855257
2001-01-10,3190.6866792411483
2001-01-11,3246.0168336237098
2001-01-12,3247.531883696342
2001-01-15,3244.3926549183816
2001-01-16,3216.9891309970153
2001-01-17,3222.1104839081554
2001-01-18,3254.0866219422583
2001-01-19,3207.334345009905
2001-01-22,3226.2793348450928
2001-01-23,3238.2228061404453
2001-01-24,3207.7909467647855
2001-01-25,3225.7211205854433
2001-01-26,3231.870129135039
2001-01-29,3227.837364917832
2001-01-30,3250.8456559691667
2001-01-31,3287.4861591421613
2001-02-01,3289.0703819935193
2001-02-02,3251.233450342216
2001-02-05,3279.1670136296448
2001-02-06,3273.9197804405453
2001-02-07,3254.4301702479224
2001-02-08,3212.098405848118
2001-02-09,3213.102545707011
