Date,WORLD ex AUSTRALIA VALUE
1974-12-31,100.0
1975-01-31,115.08842
1975-02-28,123.02239
1975-03-31,122.90265
1975-04-30,128.21586
1975-05-30,131.23662
1975-06-30,134.74136
1975-07-31,129.03204
1975-08-29,127.58119
1975-09-30,123.36234
1975-10-31,131.35933
1975-11-28,134.39733
1975-12-31,136.00881
1976-01-30,148.80325
1976-02-27,148.81306
1976-03-31,151.44562
1976-04-30,151.72673
1976-05-31,149.65455
1976-06-30,154.80004
1976-07-30,154.12757
1976-08-31,154.18425
1976-09-30,157.47619
1976-10-29,152.47739
1976-11-30,153.17522
1976-12-31,165.47625
1977-01-31,162.82376
1977-02-28,161.95814
1977-03-31,162.13876
1977-04-29,166.48404
1977-05-31,165.08849
1977-06-30,170.21652
1977-07-29,168.67599
1977-08-31,167.00114
1977-09-30,168.73324
1977-10-31,166.09624
1977-11-30,168.16078
1977-12-30,172.94993
1978-01-31,167.99776
1978-02-28,168.25726
1978-03-31,177.42835
1978-04-28,182.84676
1978-05-31,184.94027
1978-06-30,186.20095
1978-07-31,197.77508
1978-08-31,202.20127
1978-09-29,206.33447
1978-10-31,202.75688
1978-11-30,196.99546
1978-12-29,202.39203
1979-01-31,208.95023
1979-02-28,205.34563
1979-03-30,213.15299
1979-04-30,213.18103
1979-05-31,208.66561
1979-06-29,216.21662
1979-07-31,218.20349
1979-08-31,225.42106
1979-09-28,229.6135
1979-10-31,210.49557
1979-11-30,214.91445
1979-12-31,220.07676
1980-01-31,232.11229
1980-02-29,230.78023
1980-03-31,209.87464
1980-04-30,224.74987
1980-05-30,235.31445
1980-06-30,245.45823
1980-07-31,251.63937
1980-08-29,256.10322
1980-09-30,259.3123
1980-10-31,264.12752
1980-11-28,272.39333
1980-12-31,270.78107
1981-01-30,267.3888
1981-02-27,267.54346
1981-03-31,281.53535
1981-04-30,289.30675
1981-05-29,284.75211
1981-06-30,286.76334
1981-07-31,279.57037
1981-08-31,273.9954
1981-09-30,256.40499
1981-10-30,262.37684
1981-11-30,282.17452
1981-12-31,275.71519
1982-01-29,272.8163
1982-02-26,260.36161
1982-03-31,253.87875
1982-04-30,264.35758
1982-05-31,257.87683
1982-06-30,246.60892
1982-07-30,240.48893
1982-08-31,258.60374
1982-09-30,256.51992
1982-10-29,275.62241
1982-11-30,289.48295
1982-12-31,303.31599
1983-01-31,312.5246
1983-02-28,320.14747
1983-03-31,333.4589
1983-04-29,358.10682
1983-05-31,355.1928
1983-06-30,363.00213
1983-07-29,358.16907
1983-08-31,362.4537
1983-09-30,369.31221
1983-10-31,367.79473
1983-11-30,375.63405
1983-12-30,380.76598
1984-01-31,390.87032
1984-02-29,383.21018
1984-03-30,397.4499
1984-04-30,397.20078
1984-05-31,367.26329
1984-06-29,367.00412
1984-07-31,353.81429
1984-08-31,389.49299
1984-09-28,391.1267
1984-10-31,390.51887
1984-11-30,389.43155
1984-12-31,399.58425
1985-01-31,420.01697
1985-02-28,420.52207
1985-03-29,433.84802
1985-04-30,437.69038
1985-05-31,460.26071
1985-06-28,469.75748
1985-07-31,475.85186
1985-08-30,483.42911
1985-09-30,489.31786
1985-10-31,518.10921
1985-11-29,544.41152
1985-12-31,568.89114
1986-01-31,576.79883
1986-02-28,629.73776
1986-03-31,687.33583
1986-04-30,708.3114
1986-05-30,702.33017
1986-06-30,732.8771
1986-07-31,730.43664
1986-08-29,806.00433
1986-09-30,778.56329
1986-10-31,769.29558
1986-11-28,799.88172
1986-12-31,810.36937
1987-01-30,881.23059
1987-02-27,900.48873
1987-03-31,941.39855
1987-04-30,986.13522
1987-05-29,1008.13244
1987-06-30,1027.95035
1987-07-31,1052.11166
1987-08-31,1099.15807
1987-09-30,1099.33484
1987-10-30,930.3537
1987-11-30,912.67796
1987-12-31,962.18807
1988-01-29,991.36808
1988-02-29,1045.13194
1988-03-31,1080.5596
1988-04-29,1107.19803
1988-05-31,1090.31934
1988-06-30,1099.27525
1988-07-29,1131.634
1988-08-31,1060.10341
1988-09-30,1099.78859
1988-10-31,1165.66061
1988-11-30,1204.47786
1988-12-30,1216.92322
1989-01-31,1266.57142
1989-02-28,1268.086
1989-03-31,1257.21538
1989-04-28,1289.64889
1989-05-31,1262.99547
1989-06-30,1252.09526
1989-07-31,1378.4359
1989-08-31,1346.35794
1989-09-29,1385.89661
1989-10-31,1336.33674
1989-11-30,1382.37393
1989-12-29,1432.78554
1990-01-31,1375.07824
1990-02-28,1327.48918
1990-03-30,1250.14211
1990-04-30,1229.7437
1990-05-31,1344.75011
1990-06-29,1331.45037
1990-07-31,1346.83995
1990-08-31,1217.74944
1990-09-28,1095.56519
1990-10-31,1188.53116
