Date,NORDIC COUNTRIES VALUE
1974-12-31,100.0
1975-01-31,109.61569
1975-02-28,117.81036
1975-03-31,114.76556
1975-04-30,118.21133
1975-05-30,114.28493
1975-06-30,117.40458
1975-07-31,112.11457
1975-08-29,108.85363
1975-09-30,108.47713
1975-10-31,116.06157
1975-11-28,114.0248
1975-12-31,117.74394
1976-01-30,125.51936
1976-02-27,124.63662
1976-03-31,125.0822
1976-04-30,134.83915
1976-05-31,126.64502
1976-06-30,129.81151
1976-07-30,132.59214
1976-08-31,125.57799
1976-09-30,121.69617
1976-10-29,114.37955
1976-11-30,115.95808
1976-12-31,123.8128
1977-01-31,115.99643
1977-02-28,127.57041
1977-03-31,128.93221
1977-04-29,123.79835
1977-05-31,120.70307
1977-06-30,110.95598
1977-07-29,108.56171
1977-08-31,96.38408
1977-09-30,99.99486
1977-10-31,96.92247
1977-11-30,93.16668
1977-12-30,103.0384
1978-01-31,109.50838
1978-02-28,108.93926
1978-03-31,113.8837
1978-04-28,116.75369
1978-05-31,111.01626
1978-06-30,111.09701
1978-07-31,120.89272
1978-08-31,126.05665
1978-09-29,124.67936
1978-10-31,129.05972
1978-11-30,119.72914
1978-12-29,124.21657
1979-01-31,132.57677
1979-02-28,130.01328
1979-03-30,130.16501
1979-04-30,127.018
1979-05-31,125.55081
1979-06-29,125.56472
1979-07-31,131.95178
1979-08-31,131.3235
1979-09-28,133.3096
1979-10-31,129.65154
1979-11-30,130.32386
1979-12-31,130.61533
1980-01-31,137.35233
1980-02-29,137.84125
1980-03-31,126.78409
1980-04-30,133.88982
1980-05-30,134.23638
1980-06-30,134.21129
1980-07-31,135.44969
1980-08-29,131.87827
1980-09-30,132.92624
1980-10-31,139.95584
1980-11-28,146.80472
1980-12-31,147.94067
1981-01-30,145.78191
1981-02-27,165.03032
1981-03-31,171.13129
1981-04-30,162.7043
1981-05-29,161.38285
1981-06-30,174.93242
1981-07-31,186.89871
1981-08-31,183.83856
1981-09-30,164.69214
1981-10-30,181.68007
1981-11-30,195.34064
1981-12-31,186.92306
1982-01-29,186.48584
1982-02-26,183.88164
1982-03-31,174.33096
1982-04-30,175.20936
1982-05-31,176.20587
1982-06-30,166.11004
1982-07-30,174.72369
1982-08-31,169.59828
1982-09-30,187.44391
1982-10-29,179.62216
1982-11-30,193.76071
1982-12-31,210.27956
1983-01-31,238.34075
1983-02-28,295.21252
1983-03-31,304.46825
1983-04-29,332.33999
1983-05-31,324.61722
1983-06-30,316.03692
1983-07-29,334.12617
1983-08-31,346.96232
1983-09-30,354.7541
1983-10-31,340.06747
1983-11-30,357.89582
1983-12-30,361.36219
1984-01-31,391.19092
1984-02-29,395.66045
1984-03-30,408.50654
1984-04-30,393.44589
1984-05-31,355.20657
1984-06-29,357.61053
1984-07-31,360.55037
1984-08-31,361.63096
1984-09-28,327.45143
1984-10-31,327.28437
1984-11-30,309.23202
1984-12-31,307.64995
1985-01-31,338.54158
1985-02-28,315.56856
1985-03-29,331.18632
1985-04-30,343.62198
1985-05-31,336.62661
1985-06-28,337.00683
1985-07-31,375.54123
1985-08-30,373.95267
1985-09-30,392.92828
1985-10-31,441.03077
1985-11-29,489.31902
1985-12-31,524.26281
1986-01-31,519.55868
1986-02-28,570.4916
1986-03-31,603.57475
1986-04-30,659.89537
1986-05-30,663.02728
1986-06-30,674.58784
1986-07-31,675.52413
1986-08-29,703.22695
1986-09-30,694.45783
1986-10-31,717.93749
1986-11-28,716.29394
1986-12-31,706.90081
1987-01-30,696.80703
1987-02-27,754.43593
1987-03-31,793.30366
1987-04-30,857.68597
1987-05-29,820.33969
1987-06-30,832.11973
1987-07-31,884.14881
1987-08-31,932.24831
1987-09-30,962.11647
1987-10-30,784.71119
1987-11-30,713.426
1987-12-31,726.55775
1988-01-29,764.13248
1988-02-29,797.02913
1988-03-31,865.9864
1988-04-29,892.54297
1988-05-31,914.32076
1988-06-30,900.75398
1988-07-29,907.03235
1988-08-31,860.81511
1988-09-30,902.69626
1988-10-31,982.04065
1988-11-30,1019.30871
1988-12-30,1075.82141
1989-01-31,1104.63271
1989-02-28,1132.5612
1989-03-31,1172.21534
1989-04-28,1212.52114
1989-05-31,1180.79212
1989-06-30,1226.26325
