Date,FAR EAST VALUE
1974-12-31,100.0
1975-01-31,107.19286
1975-02-28,124.22032
1975-03-31,128.1515
1975-04-30,128.06659
1975-05-30,128.86439
1975-06-30,130.07414
1975-07-31,123.03998
1975-08-29,118.60559
1975-09-30,112.27846
1975-10-31,125.58122
1975-11-28,125.17084
1975-12-31,128.65841
1976-01-30,139.76201
1976-02-27,141.82422
1976-03-31,141.94422
1976-04-30,143.07043
1976-05-31,143.3071
1976-06-30,151.03002
1976-07-30,148.41878
1976-08-31,153.42996
1976-09-30,155.25516
1976-10-29,146.74276
1976-11-30,145.75307
1976-12-31,164.61453
1977-01-31,160.6076
1977-02-28,169.58086
1977-03-31,170.57002
1977-04-29,176.26155
1977-05-31,173.47944
1977-06-30,181.15155
1977-07-29,183.33868
1977-08-31,190.80849
1977-09-30,187.96682
1977-10-31,193.0399
1977-11-30,195.35928
1977-12-30,202.45791
1978-01-31,207.74979
1978-02-28,212.76419
1978-03-31,240.2086
1978-04-28,238.60096
1978-05-31,243.95546
1978-06-30,268.12745
1978-07-31,292.70571
1978-08-31,292.29167
1978-09-29,292.07653
1978-10-31,316.88438
1978-11-30,287.40205
1978-12-29,304.28382
1979-01-31,309.62624
1979-02-28,297.95942
1979-03-30,287.19292
1979-04-30,278.41461
1979-05-31,281.87854
1979-06-29,285.70757
1979-07-31,287.16899
1979-08-31,288.15559
1979-09-28,295.89048
1979-10-31,270.71649
1979-11-30,262.78174
1979-12-31,284.062
1980-01-31,291.47754
1980-02-29,282.28534
1980-03-31,268.76389
1980-04-30,288.91662
1980-05-30,310.18662
1980-06-30,329.93597
1980-07-31,318.4684
1980-08-29,340.09049
1980-09-30,357.92562
1980-10-31,376.13142
1980-11-28,362.95774
1980-12-31,388.60143
1981-01-30,399.64844
1981-02-27,392.50489
1981-03-31,416.95796
1981-04-30,464.36846
1981-05-29,461.8729
1981-06-30,485.51351
1981-07-31,470.52188
1981-08-31,479.56228
1981-09-30,434.58812
1981-10-30,437.41772
1981-11-30,486.95847
1981-12-31,487.64881
1982-01-29,480.88753
1982-02-26,447.89519
1982-03-31,403.56029
1982-04-30,445.87556
1982-05-31,433.96987
1982-06-30,403.83388
1982-07-30,382.72346
1982-08-31,383.27462
1982-09-30,367.4103
1982-10-29,368.44133
1982-11-30,440.49289
1982-12-31,498.71625
1983-01-31,484.17115
1983-02-28,497.52745
1983-03-31,518.90704
1983-04-29,528.838
1983-05-31,522.65832
1983-06-30,533.95638
1983-07-29,533.54542
1983-08-31,521.17797
1983-09-30,557.43982
1983-10-31,564.35798
1983-11-30,561.88587
1983-12-30,604.34343
1984-01-31,633.43339
1984-02-29,626.5896
1984-03-30,699.79611
1984-04-30,686.94382
1984-05-31,613.66107
1984-06-29,607.88769
1984-07-31,573.78084
1984-08-31,617.97503
1984-09-28,608.84697
1984-10-31,616.31629
1984-11-30,609.04471
1984-12-31,635.94319
1985-01-31,635.95364
1985-02-28,643.17148
1985-03-29,672.33231
1985-04-30,665.70397
1985-05-31,688.87787
1985-06-28,713.67978
1985-07-31,722.11015
1985-08-30,752.59655
1985-09-30,850.30841
1985-10-31,880.81205
1985-11-29,904.97654
1985-12-31,955.85484
1986-01-31,985.51625
1986-02-28,1088.09393
1986-03-31,1282.06968
1986-04-30,1403.03321
1986-05-30,1374.99694
1986-06-30,1519.67318
1986-07-31,1632.03413
1986-08-29,1813.17051
1986-09-30,1846.87556
1986-10-31,1661.94357
1986-11-28,1760.8182
1986-12-31,1872.3769
1987-01-30,1988.19478
1987-02-27,2051.2862
1987-03-31,2145.53803
1987-04-30,2405.69998
1987-05-29,2537.22938
1987-06-30,2493.78238
1987-07-31,2472.99815
1987-08-31,2701.81834
1987-09-30,2745.65485
1987-10-30,2518.59158
1987-11-30,2629.05672
1987-12-31,2743.68905
1988-01-29,2839.56649
1988-02-29,3041.2552
1988-03-31,3295.07047
1988-04-29,3391.06939
1988-05-31,3278.72563
1988-06-30,3227.34175
1988-07-29,3439.27088
1988-08-31,3129.43469
1988-09-30,3233.68763
1988-10-31,3440.16601
1988-11-30,3714.58168
1988-12-30,3748.18826
1989-01-31,3812.78466
1989-02-28,3933.01608
1989-03-31,3797.88145
1989-04-28,3845.26597
1989-05-31,3679.74734
1989-06-30,3541.25172
1989-07-31,3961.6154
1989-08-31,3715.31214
1989-09-29,3974.40639
1989-10-31,3881.67774
1989-11-30,4042.47491
1989-12-29,4047.94666
1990-01-31,3854.98698
1990-02-28,3508.90367
1990-03-30,2935.11431
1990-04-30,2976.90064
1990-05-31,3366.68207
1990-06-29,3272.73977
1990-07-31,3264.2125
1990-08-31,2930.64392
1990-09-28,2525.43958
1990-10-31,3072.43823
1990-11-30,2694.33334
1990-12-31,2787.75148
1991-01-31,2852.56374
1991-02-28,3249.89824
1991-03-29,3045.41614
1991-04-30,3119.5535
1991-05-31,3095.15441
1991-06-28,2900.15265
1991-07-31,3014.73189
1991-08-30,2838.19302
1991-09-30,3106.39127
1991-10-31,3173.34595
1991-11-29,2922.50095
1991-12-31,3047.13237
1992-01-31,3006.32867
1992-02-28,2807.43051
1992-03-31,2535.9168
1992-04-30,2513.02402
1992-05-29,2685.18483
1992-06-30,2485.74862
1992-07-31,2413.06886
1992-08-31,2706.6869
1992-09-30,2653.85249
1992-10-30,2564.19349
