Date,EAFE ex UK VALUE
1974-12-31,100.0
1975-01-31,111.33486
1975-02-28,122.49718
1975-03-31,122.80398
1975-04-30,125.07552
1975-05-30,122.65087
1975-06-30,121.61797
1975-07-31,116.36492
1975-08-29,113.44531
1975-09-30,107.60687
1975-10-31,118.66381
1975-11-28,122.5768
1975-12-31,125.4095
1976-01-30,131.88849
1976-02-27,131.85379
1976-03-31,131.84397
1976-04-30,130.69378
1976-05-31,129.34883
1976-06-30,132.23108
1976-07-30,130.81754
1976-08-31,132.05886
1976-09-30,132.10582
1976-10-29,124.96058
1976-11-30,124.6189
1976-12-31,135.66016
1977-01-31,132.43716
1977-02-28,135.87253
1977-03-31,136.70507
1977-04-29,142.007
1977-05-31,140.13391
1977-06-30,143.07852
1977-07-29,142.95193
1977-08-31,146.10795
1977-09-30,145.96599
1977-10-31,150.31153
1977-11-30,150.87555
1977-12-30,157.47339
1978-01-31,160.35498
1978-02-28,164.38782
1978-03-31,178.505
1978-04-28,176.49712
1978-05-31,180.69003
1978-06-30,191.22492
1978-07-31,206.18978
1978-08-31,209.7492
1978-09-29,215.29981
1978-10-31,229.32562
1978-11-30,207.84607
1978-12-29,220.48569
1979-01-31,223.53101
1979-02-28,218.15274
1979-03-30,215.64058
1979-04-30,211.79374
1979-05-31,209.78851
1979-06-29,215.23978
1979-07-31,217.57334
1979-08-31,222.32075
1979-09-28,232.05439
1979-10-31,213.48508
1979-11-30,212.86049
1979-12-31,222.33091
1980-01-31,227.57817
1980-02-29,222.07557
1980-03-31,201.36798
1980-04-30,219.825
1980-05-30,231.88466
1980-06-30,244.37515
1980-07-31,239.87463
1980-08-29,248.36116
1980-09-30,254.16639
1980-10-31,259.8708
1980-11-28,252.6696
1980-12-31,260.9743
1981-01-30,258.2114
1981-02-27,256.5591
1981-03-31,271.64019
1981-04-30,287.75643
1981-05-29,279.86393
1981-06-30,288.84062
1981-07-31,277.7197
1981-08-31,282.39665
1981-09-30,260.66271
1981-10-30,262.33722
1981-11-30,288.57299
1981-12-31,286.37219
1982-01-29,281.4575
1982-02-26,267.93299
1982-03-31,248.21235
1982-04-30,268.49436
1982-05-31,260.96663
1982-06-30,240.12358
1982-07-30,232.53867
1982-08-31,232.11882
1982-09-30,227.36158
1982-10-29,227.3459
1982-11-30,258.22221
1982-12-31,287.75284
1983-01-31,287.07026
1983-02-28,298.30848
1983-03-31,312.40433
1983-04-29,322.94388
1983-05-31,317.18177
1983-06-30,324.47854
1983-07-29,327.39472
1983-08-31,320.7605
1983-09-30,337.93354
1983-10-31,339.90617
1983-11-30,343.39604
1983-12-30,361.396
1984-01-31,378.68434
1984-02-29,378.60679
1984-03-30,408.7866
1984-04-30,401.63745
1984-05-31,365.14887
1984-06-29,361.00503
1984-07-31,339.5904
1984-08-31,366.29369
1984-09-28,360.67327
1984-10-31,364.42154
1984-11-30,360.30819
1984-12-31,369.7811
1985-01-31,377.763
1985-02-28,374.55631
1985-03-29,395.4715
1985-04-30,396.48666
1985-05-31,411.71477
1985-06-28,427.01282
1985-07-31,444.19488
1985-08-30,462.33096
1985-09-30,509.99141
1985-10-31,539.503
1985-11-29,561.52957
1985-12-31,601.20302
1986-01-31,618.13894
1986-02-28,686.83147
1986-03-31,779.84317
1986-04-30,850.26626
1986-05-30,810.7423
1986-06-30,868.0946
1986-07-31,911.80308
1986-08-29,1018.6938
1986-09-30,1016.84153
1986-10-31,948.15967
1986-11-28,999.94673
1986-12-31,1048.17411
1987-01-30,1099.68988
1987-02-27,1125.68288
1987-03-31,1183.55909
1987-04-30,1290.21073
1987-05-29,1327.43634
1987-06-30,1320.24955
1987-07-31,1332.15648
1987-08-31,1432.53773
1987-09-30,1443.2484
1987-10-30,1278.41784
1987-11-30,1308.78992
1987-12-31,1357.26586
1988-01-29,1370.6626
1988-02-29,1474.24963
1988-03-31,1578.08162
1988-04-29,1622.01951
1988-05-31,1582.51027
1988-06-30,1566.10458
1988-07-29,1644.63034
1988-08-31,1519.95775
1988-09-30,1573.40565
1988-10-31,1688.71944
1988-11-30,1792.8321
1988-12-30,1814.28751
1989-01-31,1840.30346
1989-02-28,1876.3052
1989-03-31,1834.62841
1989-04-28,1867.4765
1989-05-31,1791.17522
1989-06-30,1763.91448
1989-07-31,1958.12418
1989-08-31,1874.6003
1989-09-29,1978.91325
1989-10-31,1918.61921
1989-11-30,2000.98731
1989-12-29,2063.63015
1990-01-31,1993.35823
1990-02-28,1858.11078
1990-03-30,1669.93201
1990-04-30,1678.14709
1990-05-31,1842.96439
1990-06-29,1822.68799
1990-07-31,1842.95676
1990-08-31,1645.09556
1990-09-28,1426.77641
1990-10-31,1639.31692
1990-11-30,1505.49553
1990-12-31,1527.85916
1991-01-31,1571.2329
1991-02-28,1762.11975
1991-03-29,1649.16493
1991-04-30,1672.38765
1991-05-31,1687.95197
1991-06-28,1576.14422
1991-07-31,1641.79106
1991-08-30,1590.21815
1991-09-30,1700.3254
1991-10-31,1717.13099
1991-11-29,1621.75502
1991-12-31,1702.30071
1992-01-31,1690.04858
1992-02-28,1628.66928
1992-03-31,1521.42181
1992-04-30,1529.05929
1992-05-29,1623.45138
1992-06-30,1540.99117
1992-07-31,1494.47345
1992-08-31,1585.63547
1992-09-30,1556.15143
1992-10-30,1482.63847
1992-11-30,1486.4757
1992-12-31,1483.81915
1993-01-29,1500.68436
1993-02-26,1562.47324
1993-03-31,1728.30275
1993-04-30,1941.46908
1993-05-31,1966.68156
1993-06-30,1915.76071
1993-07-30,2007.72873
1993-08-31,2120.35071
1993-09-30,2068.94081
1993-10-29,2126.67793
1993-11-30,1930.11891
1993-12-31,2087.2642
1994-01-31,2297.54481
1994-02-28,2325.93133
1994-03-31,2249.2862
1994-04-29,2353.83419
1994-05-31,2375.67767
