Date,PACIFIC ex JAPAN VALUE
1974-12-31,100.0
1975-01-31,132.42124
1975-02-28,143.72397
1975-03-31,145.75237
1975-04-30,147.99775
1975-05-30,152.98923
1975-06-30,149.28024
1975-07-31,144.0656
1975-08-29,139.44243
1975-09-30,144.79156
1975-10-31,151.37248
1975-11-28,155.91446
1975-12-31,164.44518
1976-01-30,184.49359
1976-02-27,189.95165
1976-03-31,184.97889
1976-04-30,183.85405
1976-05-31,181.94089
1976-06-30,187.96175
1976-07-30,196.11737
1976-08-31,199.55324
1976-09-30,189.87814
1976-10-29,180.29895
1976-11-30,159.13822
1976-12-31,176.50361
1977-01-31,175.84099
1977-02-28,171.24845
1977-03-31,174.17468
1977-04-29,175.34511
1977-05-31,180.11238
1977-06-30,182.17467
1977-07-29,175.75862
1977-08-31,174.55412
1977-09-30,172.37538
1977-10-31,181.63172
1977-11-30,179.94911
1977-12-30,189.20636
1978-01-31,185.11205
1978-02-28,180.56815
1978-03-31,196.09002
1978-04-28,208.38691
1978-05-31,215.70189
1978-06-30,239.43604
1978-07-31,253.43872
1978-08-31,286.79531
1978-09-29,281.37934
1978-10-31,284.80248
1978-11-30,239.07827
1978-12-29,247.7171
1979-01-31,265.01243
1979-02-28,262.6645
1979-03-30,267.85112
1979-04-30,263.51306
1979-05-31,275.03509
1979-06-29,269.05649
1979-07-31,283.55349
1979-08-31,302.27842
1979-09-28,330.39165
1979-10-31,318.72218
1979-11-30,333.81323
1979-12-31,369.8896
1980-01-31,404.49731
1980-02-29,406.3024
1980-03-31,345.83931
1980-04-30,373.12059
1980-05-30,406.02288
1980-06-30,441.91603
1980-07-31,465.77918
1980-08-29,487.63122
1980-09-30,487.97454
1980-10-31,541.25409
1980-11-28,543.19155
1980-12-31,556.51238
1981-01-30,554.29282
1981-02-27,539.59325
1981-03-31,552.45655
1981-04-30,581.84318
1981-05-29,609.33575
1981-06-30,628.96993
1981-07-31,567.45352
1981-08-31,528.7957
1981-09-30,463.69396
1981-10-30,462.24119
1981-11-30,525.11819
1981-12-31,516.64352
1982-01-29,485.52164
1982-02-26,441.3158
1982-03-31,407.51769
1982-04-30,460.51275
1982-05-31,475.19455
1982-06-30,426.35091
1982-07-30,407.24585
1982-08-31,386.50381
1982-09-30,377.45665
1982-10-29,358.65255
1982-11-30,352.86791
1982-12-31,380.40126
1983-01-31,418.71517
1983-02-28,428.96426
1983-03-31,412.29001
1983-04-29,456.58184
1983-05-31,456.67214
1983-06-30,458.80629
1983-07-29,491.88976
1983-08-31,492.30379
1983-09-30,493.89436
1983-10-31,504.37198
1983-11-30,523.42678
1983-12-30,544.80089
1984-01-31,579.71303
1984-02-29,555.93625
1984-03-30,562.64148
1984-04-30,564.1188
1984-05-31,490.48334
1984-06-29,469.08915
1984-07-31,463.72262
1984-08-31,496.39824
1984-09-28,492.45156
1984-10-31,487.58298
1984-11-30,498.11261
1984-12-31,487.37818
1985-01-31,518.45902
1985-02-28,496.32835
1985-03-29,497.33636
1985-04-30,510.74921
1985-05-31,528.4562
1985-06-28,517.06348
1985-07-31,570.08689
1985-08-30,549.66798
1985-09-30,573.12115
1985-10-31,596.15594
1985-11-29,571.76999
1985-12-31,572.34698
1986-01-31,597.25334
1986-02-28,586.13452
1986-03-31,597.81599
1986-04-30,637.298
1986-05-30,651.92053
1986-06-30,631.63472
1986-07-31,586.31596
1986-08-29,628.90689
1986-09-30,669.74519
1986-10-31,760.48762
1986-11-28,763.48731
1986-12-31,819.62967
1987-01-30,843.51269
1987-02-27,940.40859
1987-03-31,983.17839
1987-04-30,1020.01472
1987-05-29,1096.5524
1987-06-30,1149.24316
1987-07-31,1259.56332
1987-08-31,1314.59162
1987-09-30,1364.18999
1987-10-30,798.10494
1987-11-30,820.57552
1987-12-31,864.94111
