Date,EASEA INDEX (EAFE ex JAPAN) VALUE
1974-12-31,100.0
1975-01-31,122.33211
1975-02-28,137.467
1975-03-31,131.89161
1975-04-30,140.94255
1975-05-30,138.71498
1975-06-30,131.07268
1975-07-31,125.80261
1975-08-29,128.49338
1975-09-30,123.75577
1975-10-31,134.33704
1975-11-28,138.84041
1975-12-31,142.95355
1976-01-30,151.05534
1976-02-27,148.67699
1976-03-31,146.16988
1976-04-30,144.36731
1976-05-31,138.76671
1976-06-30,138.65729
1976-07-30,136.71153
1976-08-31,134.69093
1976-09-30,130.74742
1976-10-29,121.74241
1976-11-30,124.4118
1976-12-31,135.84269
1977-01-31,136.84192
1977-02-28,137.56818
1977-03-31,140.59331
1977-04-29,145.09432
1977-05-31,145.32221
1977-06-30,146.0795
1977-07-29,143.81094
1977-08-31,149.14603
1977-09-30,154.40559
1977-10-31,158.32895
1977-11-30,155.47251
1977-12-30,163.93105
1978-01-31,163.87601
1978-02-28,164.1144
1978-03-31,170.68676
1978-04-28,169.81662
1978-05-31,174.88825
1978-06-30,177.18104
1978-07-31,189.58837
1978-08-31,198.16172
1978-09-29,205.15046
1978-10-31,214.21499
1978-11-30,195.13684
1978-12-29,204.91072
1979-01-31,207.53936
1979-02-28,211.9372
1979-03-30,223.3079
1979-04-30,227.04749
1979-05-31,218.42783
1979-06-29,222.7054
1979-07-31,225.73703
1979-08-31,234.02477
1979-09-28,245.93718
1979-10-31,223.37052
1979-11-30,231.24633
1979-12-31,236.02644
1980-01-31,247.80248
1980-02-29,248.69337
1980-03-31,215.56464
1980-04-30,238.32447
1980-05-30,243.43605
1980-06-30,260.83454
1980-07-31,265.25572
1980-08-29,268.03998
1980-09-30,266.13926
1980-10-31,271.87773
1980-11-28,265.14886
1980-12-31,262.26529
1981-01-30,254.37268
1981-02-27,252.9763
1981-03-31,260.40121
1981-04-30,264.73829
1981-05-29,249.97384
1981-06-30,248.51134
1981-07-31,234.55687
1981-08-31,234.87201
1981-09-30,211.10608
1981-10-30,218.6354
1981-11-30,246.04
1981-12-31,238.28551
1982-01-29,236.22279
1982-02-26,225.90282
1982-03-31,221.83913
1982-04-30,232.46576
1982-05-31,232.25904
1982-06-30,210.98055
1982-07-30,209.87849
1982-08-31,208.05626
1982-09-30,207.97568
1982-10-29,210.26857
1982-11-30,210.70376
1982-12-31,223.88871
1983-01-31,232.31168
1983-02-28,241.32131
1983-03-31,250.89686
1983-04-29,272.63119
1983-05-31,270.29572
1983-06-30,278.29221
1983-07-29,276.53934
1983-08-31,273.86361
1983-09-30,277.46275
1983-10-31,275.87867
1983-11-30,284.32747
1983-12-30,290.09476
1984-01-31,308.64268
1984-02-29,314.45218
1984-03-30,320.99923
1984-04-30,318.71838
1984-05-31,294.66759
1984-06-29,290.29997
1984-07-31,272.43751
1984-08-31,295.15156
1984-09-28,290.99166
1984-10-31,289.98964
1984-11-30,291.04518
1984-12-31,291.42797
1985-01-31,306.91203
1985-02-28,294.83982
1985-03-29,321.6593
1985-04-30,329.44229
1985-05-31,344.86894
1985-06-28,349.86517
1985-07-31,381.76589
1985-08-30,396.4308
1985-09-30,405.58148
1985-10-31,445.88754
1985-11-29,473.09177
1985-12-31,494.82411
1986-01-31,503.02252
1986-02-28,560.03171
1986-03-31,603.73639
1986-04-30,649.62059
1986-05-30,597.0362
1986-06-30,620.86161
1986-07-31,608.45068
1986-08-29,673.86942
1986-09-30,645.66911
1986-10-31,656.50706
1986-11-28,683.32898
1986-12-31,705.94303
1987-01-30,744.00624
1987-02-27,775.545
1987-03-31,821.67389
1987-04-30,856.76808
1987-05-29,864.85036
1987-06-30,892.94441
1987-07-31,931.21156
1987-08-31,945.13462
1987-09-30,955.15142
1987-10-30,753.89769
1987-11-30,730.05244
1987-12-31,773.74945
1988-01-29,747.5709
1988-02-29,785.92734
1988-03-31,820.96486
1988-04-29,842.37599
1988-05-31,836.52893
1988-06-30,829.09801
1988-07-29,838.00844
1988-08-31,799.70992
1988-09-30,832.19427
1988-10-31,908.98299
1988-11-30,921.71747
1988-12-30,928.60922
1989-01-31,973.33806
1989-02-28,952.25709
1989-03-31,965.08493
1989-04-28,990.83038
1989-05-31,942.91022
1989-06-30,967.47006
1989-07-31,1076.34317
1989-08-31,1069.05929
1989-09-29,1090.5988
1989-10-31,1022.17025
1989-11-30,1073.06925
1989-12-29,1191.07456
1990-01-31,1191.91082
1990-02-28,1171.03737
1990-03-30,1180.77846
1990-04-30,1148.16811
1990-05-31,1232.58248
1990-06-29,1266.97434
1990-07-31,1317.77832
1990-08-31,1188.86487
1990-09-28,1052.17324
1990-10-31,1110.72722
1990-11-30,1125.98236
1990-12-31,1111.00786
1991-01-31,1148.53681
1991-02-28,1255.73782
1991-03-29,1177.76195
1991-04-30,1170.33259
1991-05-31,1203.84757
1991-06-28,1111.58297
1991-07-31,1190.48482
1991-08-30,1212.27368
1991-09-30,1245.79683
1991-10-31,1219.24647
1991-11-29,1181.72906
1991-12-31,1254.01986
1992-01-31,1256.78225
1992-02-28,1264.8836
1992-03-31,1223.79213
1992-04-30,1304.72368
1992-05-29,1379.03248
1992-06-30,1341.44671
1992-07-31,1290.79071
1992-08-31,1273.95256
1992-09-30,1255.1932
1992-10-30,1181.18731
1992-11-30,1176.33654
1992-12-31,1204.59008
1993-01-29,1227.01439
1993-02-26,1261.49654
1993-03-31,1332.37931
1993-04-30,1373.42574
1993-05-31,1397.6727
1993-06-30,1383.09617
1993-07-30,1411.60181
1993-08-31,1530.40347
1993-09-30,1531.50152
1993-10-29,1627.70435
1993-11-30,1594.99267
1993-12-31,1773.88859
1994-01-31,1842.75734
1994-02-28,1777.61498
1994-03-31,1698.64413
1994-04-29,1770.87947
1994-05-31,1724.69316
1994-06-30,1699.37004
1994-07-29,1792.03648
1994-08-31,1846.46647
1994-09-30,1779.66362
1994-10-31,1853.93696
1994-11-30,1761.74712
1994-12-30,1753.61153
1995-01-31,1720.96749
1995-02-28,1772.13455
1995-03-31,1830.04172
1995-04-28,1881.73789
1995-05-31,1938.20907
1995-06-30,1930.4938
1995-07-31,2025.09776
1995-08-31,1935.66404
1995-09-29,1989.91437
1995-10-31,1969.96767
1995-11-30,1991.63417
1995-12-29,2065.49798
1996-01-31,2095.55619
1996-02-29,2129.21077
1996-03-29,2150.41681
1996-04-30,2178.63672
1996-05-31,2190.67655
1996-06-28,2201.35654
1996-07-31,2166.24891
1996-08-30,2239.36786
1996-09-30,2277.54149
1996-10-31,2327.00885
1996-11-29,2462.39961
1996-12-31,2508.25312
1997-01-31,2521.378850302887
1997-02-28,2574.128430873196
1997-03-31,2619.000081125266
1997-04-30,2602.8546572060186
1997-05-30,2736.750098951914
1997-06-30,2834.7595977533097
1997-07-31,2945.3102919430175
1997-08-29,2757.28654470847
1997-09-30,2996.754487402895
1997-10-31,2827.7948796635296
1997-11-28,2860.8615583105698
1997-12-31,2954.611742753939
1998-01-30,3034.260303346009
1998-02-27,3276.6471162839935
1998-03-31,3567.6151378936534
1998-04-30,3614.836614000419
1998-05-29,3651.7708910676415
1998-06-30,3635.421169691574
1998-07-31,3732.9556080270518
1998-08-31,3175.015755627448
1998-09-30,3075.4542507023816
1998-10-30,3335.253409322666
1998-11-30,3516.7812681124337
1998-12-31,3578.5497696682082
1999-01-29,3514.887074044741
1999-02-26,3479.721492249376
1999-03-31,3643.473171125307
1999-04-30,3925.790804628675
1999-05-31,3701.317738564652
1999-06-30,3789.5393044803523
1999-07-30,3877.6862122553634
1999-08-31,3885.18460180987
1999-09-30,3838.70159563443
1999-10-29,3912.0218768703803
1999-11-30,3912.397230996308
1999-12-31,4231.243498181284
2000-01-31,3838.894679252353
2000-02-29,3910.3899002455473
2000-03-31,4044.6359520143214
2000-04-28,3887.93521433679
2000-05-31,3972.7956219465127
2000-06-30,4108.512088965492
2000-07-31,4136.227412896826
2000-08-31,4125.1253044040695
2000-09-29,3968.199000797591
2000-10-31,3987.3773046966376
