Date,PACIFIC VALUE
1974-12-31,100.0
1975-01-31,109.51456
1975-02-28,125.16581
1975-03-31,128.41871
1975-04-30,127.99534
1975-05-30,129.72472
1975-06-30,130.62235
1975-07-31,123.93526
1975-08-29,119.57598
1975-09-30,114.65863
1975-10-31,127.00843
1975-11-28,127.43211
1975-12-31,130.99618
1976-01-30,141.59322
1976-02-27,143.93369
1976-03-31,143.06557
1976-04-30,144.49329
1976-05-31,144.90233
1976-06-30,152.37193
1976-07-30,151.5062
1976-08-31,156.06576
1976-09-30,155.88494
1976-10-29,147.43162
1976-11-30,142.88136
1976-12-31,161.09815
1977-01-31,157.75722
1977-02-28,165.16943
1977-03-31,166.76936
1977-04-29,171.65826
1977-05-31,170.20518
1977-06-30,177.0602
1977-07-29,178.37218
1977-08-31,184.52838
1977-09-30,182.06525
1977-10-31,188.1574
1977-11-30,189.76463
1977-12-30,197.74908
1978-01-31,201.64189
1978-02-28,205.46728
1978-03-31,230.78741
1978-04-28,230.50704
1978-05-31,236.10231
1978-06-30,257.98858
1978-07-31,281.14864
1978-08-31,281.71325
1978-09-29,282.63933
1978-10-31,303.99736
1978-11-30,276.73841
1978-12-29,293.08988
1979-01-31,298.64897
1979-02-28,288.92213
1979-03-30,279.48029
1979-04-30,270.88863
1979-05-31,274.75648
1979-06-29,277.95204
1979-07-31,279.56497
1979-08-31,283.25611
1979-09-28,291.13083
1979-10-31,268.05225
1979-11-30,260.68969
1979-12-31,281.65877
1980-01-31,292.43413
1980-02-29,284.80296
1980-03-31,268.8257
1980-04-30,288.10375
1980-05-30,310.60581
1980-06-30,330.11892
1980-07-31,320.74732
1980-08-29,341.65497
1980-09-30,358.8578
1980-10-31,375.96165
1980-11-28,364.96029
1980-12-31,388.39547
1981-01-30,394.82393
1981-02-27,387.88868
1981-03-31,413.5363
1981-04-30,455.61775
1981-05-29,453.07935
1981-06-30,474.5715
1981-07-31,456.87477
1981-08-31,464.62518
1981-09-30,421.44142
1981-10-30,421.69198
1981-11-30,468.97824
1981-12-31,468.46823
1982-01-29,457.72799
1982-02-26,425.89786
1982-03-31,383.99354
1982-04-30,424.70011
1982-05-31,414.24825
1982-06-30,385.0038
1982-07-30,365.87314
1982-08-31,366.57513
1982-09-30,353.53413
1982-10-29,354.00537
1982-11-30,416.32927
1982-12-31,468.42495
1983-01-31,458.67496
1983-02-28,467.58646
1983-03-31,484.41718
1983-04-29,499.19576
1983-05-31,496.79914
1983-06-30,505.71793
1983-07-29,511.45681
1983-08-31,503.15398
1983-09-30,538.60913
1983-10-31,544.63085
1983-11-30,546.84749
1983-12-30,585.03556
1984-01-31,610.2626
1984-02-29,602.41584
1984-03-30,669.82275
1984-04-30,657.93406
1984-05-31,584.34745
1984-06-29,577.90251
1984-07-31,548.14541
1984-08-31,590.90091
1984-09-28,581.823
1984-10-31,589.92405
1984-11-30,584.06316
1984-12-31,604.5542
1985-01-31,606.52737
1985-02-28,608.57474
1985-03-29,634.7998
1985-04-30,629.64017
1985-05-31,651.36371
1985-06-28,673.31375
1985-07-31,688.27465
1985-08-30,713.91677
1985-09-30,804.453
1985-10-31,833.14903
1985-11-29,851.17054
1985-12-31,897.14856
1986-01-31,929.24157
1986-02-28,1016.28906
1986-03-31,1192.22038
1986-04-30,1303.72939
1986-05-30,1280.16578
1986-06-30,1400.89365
1986-07-31,1490.62375
1986-08-29,1652.88838
1986-09-30,1687.20422
1986-10-31,1532.08842
1986-11-28,1619.53383
1986-12-31,1723.32025
1987-01-30,1825.65551
1987-02-27,1887.31743
1987-03-31,1982.30832
1987-04-30,2215.39114
1987-05-29,2335.38095
1987-06-30,2300.09697
1987-07-31,2290.35655
1987-08-31,2499.73788
1987-09-30,2543.22162
1987-10-30,2295.20464
1987-11-30,2398.59457
1987-12-31,2502.993
1988-01-29,2582.08944
1988-02-29,2759.1397
1988-03-31,2997.20278
1988-04-29,3087.07502
1988-05-31,3002.73522
1988-06-30,2953.03382
1988-07-29,3146.66707
1988-08-31,2870.25015
1988-09-30,2959.21927
1988-10-31,3149.9542
1988-11-30,3388.18272
1988-12-30,3415.53193
1989-01-31,3483.27693
1989-02-28,3571.66607
1989-03-31,3454.68375
1989-04-28,3496.70854
1989-05-31,3347.79783
1989-06-30,3225.44313
1989-07-31,3603.28567
1989-08-31,3401.01576
1989-09-29,3629.51523
1989-10-31,3540.53763
1989-11-30,3679.35906
1989-12-29,3688.61924
1990-01-31,3519.63695
1990-02-28,3205.94723
