Date,KOKUSAI INDEX (WORLD ex JP) VALUE
1974-12-31,100.0
1975-01-31,116.69413
1975-02-28,123.35914
1975-03-31,122.68818
1975-04-30,128.73516
1975-05-30,132.13848
1975-06-30,135.81235
1975-07-31,130.31505
1975-08-29,129.24044
1975-09-30,125.57973
1975-10-31,132.76023
1975-11-28,136.34563
1975-12-31,137.85902
1976-01-30,151.09082
1976-02-27,150.93657
1976-03-31,153.74683
1976-04-30,153.86803
1976-05-31,151.44972
1976-06-30,156.2185
1976-07-30,156.05823
1976-08-31,155.48252
1976-09-30,158.65668
1976-10-29,154.06964
1976-11-30,154.43097
1976-12-31,165.86732
1977-01-31,163.47635
1977-02-28,160.99676
1977-03-31,161.12816
1977-04-29,165.1644
1977-05-31,164.16697
1977-06-30,168.79717
1977-07-29,166.51503
1977-08-31,163.36802
1977-09-30,165.73475
1977-10-31,162.17047
1977-11-30,164.08164
1977-12-30,168.6241
1978-01-31,161.99162
1978-02-28,161.23344
1978-03-31,167.55008
1978-04-28,174.33104
1978-05-31,176.03413
1978-06-30,174.14253
1978-07-31,183.62768
1978-08-31,189.67576
1978-09-29,194.25637
1978-10-31,186.31206
1978-11-30,183.32182
1978-12-29,186.94695
1979-01-31,193.97781
1979-02-28,191.71216
1979-03-30,202.45692
1979-04-30,203.78395
1979-05-31,198.44351
1979-06-29,206.20052
1979-07-31,208.63046
1979-08-31,217.19044
1979-09-28,221.49331
1979-10-31,203.58642
1979-11-30,210.35363
1979-12-31,213.701
1980-01-31,227.15001
1980-02-29,227.22356
1980-03-31,203.94415
1980-04-30,218.30145
1980-05-30,227.78221
1980-06-30,237.10798
1980-07-31,246.56098
1980-08-29,248.77532
1980-09-30,249.5716
1980-10-31,253.69775
1980-11-28,265.24949
1980-12-31,259.63777
1981-01-30,253.90328
1981-02-27,254.7748
1981-03-31,266.94282
1981-04-30,268.95275
1981-05-29,265.08737
1981-06-30,264.14209
1981-07-31,256.5466
1981-08-31,247.61917
1981-09-30,233.03301
1981-10-30,239.17453
1981-11-30,255.63093
1981-12-31,248.11457
1982-01-29,244.93575
1982-02-26,234.69173
1982-03-31,233.05118
1982-04-30,240.2111
1982-05-31,235.21877
1982-06-30,225.59937
1982-07-30,221.22923
1982-08-31,240.30869
1982-09-30,239.98605
1982-10-29,260.10466
1982-11-30,265.11061
1982-12-31,272.98301
1983-01-31,286.13986
1983-02-28,292.90787
1983-03-31,303.98997
1983-04-29,330.45815
1983-05-31,328.11267
1983-06-30,335.13127
1983-07-29,330.90895
1983-08-31,337.11486
1983-09-30,339.87555
1983-10-31,337.57994
1983-11-30,347.01269
1983-12-30,347.38792
1984-01-31,355.3738
1984-02-29,347.24517
1984-03-30,352.66225
1984-04-30,354.34766
1984-05-31,329.82795
1984-06-29,329.71667
1984-07-31,320.04355
1984-08-31,353.89958
1984-09-28,356.93233
1984-10-31,354.98387
1984-11-30,355.18898
1984-12-31,362.07783
1985-01-31,385.72446
1985-02-28,384.50988
1985-03-29,394.88568
1985-04-30,400.71408
1985-05-31,422.9212
1985-06-28,429.23361
1985-07-31,436.37538
1985-08-30,439.27219
1985-09-30,430.51697
1985-10-31,458.6678
1985-11-29,483.51653
1985-12-31,502.79487
1986-01-31,507.65869
1986-02-28,550.08462
1986-03-31,583.4253
1986-04-30,588.76888
1986-05-30,587.05546
1986-06-30,597.12926
1986-07-31,574.47373
1986-08-29,631.29784
1986-09-30,596.08965
1986-10-31,619.46909
1986-11-28,637.76826
1986-12-31,633.54816
1987-01-30,695.08886
1987-02-27,709.89822
1987-03-31,741.97699
1987-04-30,749.88977
1987-05-29,755.1126
1987-06-30,787.055
1987-07-31,822.09226
1987-08-31,838.45365
1987-09-30,832.78908
1987-10-30,660.72751
1987-11-30,623.72599
