Date,WORLD VALUE
1974-12-31,100.0
1975-01-31,115.29771
1975-02-28,123.17551
1975-03-31,123.0209
1975-04-30,128.2062
1975-05-30,131.3307
1975-06-30,134.75643
1975-07-31,129.07875
1975-08-29,127.59584
1975-09-30,123.5552
1975-10-31,131.49825
1975-11-28,134.60383
1975-12-31,136.25592
1976-01-30,148.95322
1976-02-27,149.03513
1976-03-31,151.48658
1976-04-30,151.82451
1976-05-31,149.81402
1976-06-30,154.96197
1976-07-30,154.51033
1976-08-31,154.57952
1976-09-30,157.56243
1976-10-29,152.51185
1976-11-30,152.64816
1976-12-31,164.96523
1977-01-31,162.3893
1977-02-28,161.45326
1977-03-31,161.73967
1977-04-29,165.9825
1977-05-31,164.77172
1977-06-30,169.81713
1977-07-29,168.20337
1977-08-31,166.48367
1977-09-30,168.19514
1977-10-31,165.86113
1977-11-30,167.81603
1977-12-30,172.79219
1978-01-31,167.79783
1978-02-28,167.937
1978-03-31,177.09857
1978-04-28,182.61465
1978-05-31,184.80289
1978-06-30,186.08395
1978-07-31,197.65751
1978-08-31,202.16223
1978-09-29,206.40797
1978-10-31,202.74376
1978-11-30,196.94389
1978-12-29,202.44618
1979-01-31,209.02438
1979-02-28,205.59089
1979-03-30,213.31484
1979-04-30,213.21973
1979-05-31,208.90627
1979-06-29,216.2945
1979-07-31,218.29695
1979-08-31,225.83615
1979-09-28,230.11546
1979-10-31,211.22091
1979-11-30,215.52022
1979-12-31,220.91558
1980-01-31,233.42055
1980-02-29,232.20332
1980-03-31,211.01815
1980-04-30,225.85766
1980-05-30,236.80914
1980-06-30,247.09264
1980-07-31,253.2847
1980-08-29,257.94733
1980-09-30,261.32137
1980-10-31,266.22005
1980-11-28,274.40927
1980-12-31,272.97975
1981-01-30,269.12145
1981-02-27,269.16079
1981-03-31,283.55334
1981-04-30,291.24502
1981-05-29,286.72601
1981-06-30,288.81979
1981-07-31,281.0434
1981-08-31,275.54825
1981-09-30,257.71588
1981-10-30,263.23152
1981-11-30,283.25543
1981-12-31,276.75883
1982-01-29,273.17676
1982-02-26,260.50818
1982-03-31,253.66275
1982-04-30,264.47536
1982-05-31,258.10608
1982-06-30,246.6373
1982-07-30,240.53135
1982-08-31,258.34917
1982-09-30,256.42628
1982-10-29,275.10842
1982-11-30,288.63591
1982-12-31,302.39943
1983-01-31,311.85044
1983-02-28,318.94206
1983-03-31,331.7474
1983-04-29,356.76635
1983-05-31,354.30141
1983-06-30,361.84344
1983-07-29,357.91651
1983-08-31,362.45074
1983-09-30,369.71302
1983-10-31,368.21094
1983-11-30,376.53546
1983-12-30,381.69024
1984-01-31,391.55953
1984-02-29,383.77274
1984-03-30,398.19807
1984-04-30,397.85769
1984-05-31,367.09507
1984-06-29,366.63253
1984-07-31,353.7186
1984-08-31,389.3046
1984-09-28,390.74326
1984-10-31,390.37409
1984-11-30,389.39078
1984-12-31,398.86655
1985-01-31,419.22264
1985-02-28,419.05731
1985-03-29,432.21489
1985-04-30,436.10169
1985-05-31,458.4519
1985-06-28,467.77203
1985-07-31,474.96283
1985-08-30,482.18108
1985-09-30,488.61844
1985-10-31,517.14331
1985-11-29,542.41024
1985-12-31,566.59483
1986-01-31,575.3079
1986-02-28,626.66877
1986-03-31,683.92356
1986-04-30,705.26655
1986-05-30,699.58471
1986-06-30,728.41299
1986-07-31,724.47007
1986-08-29,798.96503
1986-09-30,772.7755
1986-10-31,764.88378
1986-11-28,794.92863
1986-12-31,806.15944
1987-01-30,875.62119
1987-02-27,895.4976
1987-03-31,937.53526
1987-04-30,982.06749
1987-05-29,1004.31322
1987-06-30,1024.18943
1987-07-31,1049.27801
1987-08-31,1096.68821
1987-09-30,1097.68407
1987-10-30,924.13083
1987-11-30,907.74941
1987-12-31,956.82737
1988-01-29,984.74485
1988-02-29,1037.82578
1988-03-31,1074.66342
1988-04-29,1101.66219
1988-05-31,1087.44177
1988-06-30,1095.61881
1988-07-29,1128.55384
1988-08-31,1057.91097
1988-09-30,1096.47083
1988-10-31,1162.50893
1988-11-30,1200.29316
1988-12-30,1212.21684
1989-01-31,1262.66984
1989-02-28,1261.28627
1989-03-31,1250.99938
1989-04-28,1282.77698
1989-05-31,1256.17453
1989-06-30,1245.33372
1989-07-31,1370.54366
1989-08-31,1340.76369
1989-09-29,1379.88285
1989-10-31,1330.24095
1989-11-30,1375.10384
1989-12-29,1425.3345
1990-01-31,1368.83695
1990-02-28,1320.68647
1990-03-30,1244.17993
1990-04-30,1223.14965
1990-05-31,1337.44722
1990-06-29,1325.10398
1990-07-31,1340.52581
1990-08-31,1213.57347
1990-09-28,1092.17399
1990-10-31,1181.17376
1990-11-30,1162.30878
1990-12-31,1181.50554
1991-01-31,1222.96924
1991-02-28,1337.87095
1991-03-29,1288.58892
1991-04-30,1298.37757
1991-05-31,1325.94104
1991-06-28,1244.39533
1991-07-31,1302.50771
1991-08-30,1292.55904
1991-09-30,1336.89784
1991-10-31,1347.32152
1991-11-29,1271.79657
