Date,WORLD ex UK VALUE
1974-12-31,100.0
1975-01-31,113.32748
1975-02-28,119.27444
1975-03-31,120.26848
1975-04-30,124.1898
1975-05-30,127.0553
1975-06-30,132.11839
1975-07-31,126.64425
1975-08-29,123.89489
1975-09-30,119.74965
1975-10-31,127.4013
1975-11-28,130.85189
1975-12-31,132.10968
1976-01-30,144.35367
1976-02-27,144.87685
1976-03-31,148.17823
1976-04-30,148.38295
1976-05-31,147.26913
1976-06-30,152.75958
1976-07-30,152.6505
1976-08-31,153.13642
1976-09-30,157.19868
1976-10-29,152.88908
1976-11-30,152.35667
1976-12-31,163.68571
1977-01-31,160.04521
1977-02-28,158.83497
1977-03-31,158.42163
1977-04-29,162.81856
1977-05-31,161.14724
1977-06-30,166.25486
1977-07-29,164.76276
1977-08-31,161.57213
1977-09-30,162.19837
1977-10-31,159.46541
1977-11-30,162.27252
1977-12-30,166.47195
1978-01-31,161.54415
1978-02-28,162.40645
1978-03-31,171.69643
1978-04-28,177.35812
1978-05-31,179.03851
1978-06-30,180.72617
1978-07-31,191.52294
1978-08-31,195.87189
1978-09-29,200.13143
1978-10-31,195.53063
1978-11-30,190.17204
1978-12-29,195.44419
1979-01-31,202.26303
1979-02-28,196.97461
1979-03-30,202.68227
1979-04-30,201.30693
1979-05-31,198.21419
1979-06-29,206.1852
1979-07-31,208.41258
1979-08-31,215.63519
1979-09-28,219.79705
1979-10-31,202.8929
1979-11-30,206.51727
1979-12-31,211.83011
1980-01-31,222.68656
1980-02-29,220.35048
1980-03-31,200.85484
1980-04-30,214.4252
1980-05-30,226.22763
1980-06-30,234.46817
1980-07-31,240.09369
1980-08-29,244.57011
1980-09-30,248.08117
1980-10-31,252.38343
1980-11-28,261.9119
1980-12-31,260.80687
1981-01-30,256.76797
1981-02-27,257.30678
1981-03-31,271.95802
1981-04-30,278.71961
1981-05-29,276.55874
1981-06-30,279.60616
1981-07-31,272.5166
1981-08-31,266.01318
1981-09-30,251.3069
1981-10-30,255.43213
1981-11-30,272.52878
1981-12-31,266.98651
1982-01-29,262.82523
1982-02-26,251.31841
1982-03-31,243.73719
1982-04-30,254.57782
1982-05-31,247.24364
1982-06-30,237.07925
1982-07-30,230.57907
1982-08-31,249.07338
1982-09-30,247.08722
1982-10-29,265.59339
1982-11-30,281.25024
1982-12-31,295.29462
1983-01-31,305.08704
1983-02-28,312.82438
1983-03-31,325.51724
1983-04-29,348.12245
1983-05-31,344.57082
1983-06-30,351.44464
1983-07-29,348.91202
1983-08-31,353.40558
1983-09-30,360.95251
1983-10-31,359.94864
1983-11-30,367.62275
1983-12-30,372.69023
1984-01-31,380.85843
1984-02-29,371.29626
1984-03-30,385.50008
1984-04-30,385.06289
1984-05-31,355.74118
1984-06-29,355.40184
1984-07-31,343.73167
1984-08-31,378.45794
1984-09-28,380.41675
1984-10-31,380.30652
1984-11-30,378.64495
1984-12-31,388.4692
1985-01-31,408.78352
1985-02-28,410.05568
1985-03-29,419.58653
1985-04-30,422.95466
1985-05-31,444.60094
1985-06-28,454.90442
1985-07-31,458.47099
1985-08-30,463.83809
1985-09-30,472.09907
1985-10-31,497.12525
1985-11-29,520.23209
1985-12-31,546.96701
1986-01-31,555.63997
1986-02-28,604.17254
1986-03-31,658.46574
1986-04-30,676.9909
1986-05-30,676.33942
1986-06-30,701.11358
1986-07-31,701.93893
1986-08-29,776.46969
1986-09-30,752.45096
1986-10-31,742.45267
1986-11-28,771.65735
1986-12-31,780.02299
1987-01-30,845.02737
1987-02-27,859.05231
1987-03-31,897.16938
1987-04-30,937.322
1987-05-29,954.88015
1987-06-30,971.64287
1987-07-31,995.86334
1987-08-31,1047.97787
1987-09-30,1044.15597
1987-10-30,885.01206
1987-11-30,871.22047
1987-12-31,912.07522
1988-01-29,941.93442
1988-02-29,997.72057
1988-03-31,1030.47979
1988-04-29,1056.16215
1988-05-31,1043.55735
1988-06-30,1056.7718
1988-07-29,1089.31769
1988-08-31,1021.29557
1988-09-30,1057.61373
1988-10-31,1118.91217
1988-11-30,1156.97153
1988-12-30,1171.55982
1989-01-31,1213.17205
1989-02-28,1215.57933
1989-03-31,1204.2434
1989-04-28,1236.78344
1989-05-31,1216.98206
1989-06-30,1204.96786
1989-07-31,1319.38067
1989-08-31,1292.2925
1989-09-29,1332.22553
1989-10-31,1291.84479
1989-11-30,1332.68709
1989-12-29,1371.56299
1990-01-31,1311.29386
1990-02-28,1263.62259
1990-03-30,1186.59724
1990-04-30,1172.37159
1990-05-31,1276.74183
1990-06-29,1257.41444
1990-07-31,1266.85308
1990-08-31,1140.75388
1990-09-28,1026.20566
1990-10-31,1110.02676
1990-11-30,1083.33288
1990-12-31,1104.65259
1991-01-31,1144.87585
1991-02-28,1253.11884
1991-03-29,1211.36546
1991-04-30,1222.70298
1991-05-31,1250.70506
1991-06-28,1178.69844
1991-07-31,1224.61215
1991-08-30,1210.40876
1991-09-30,1252.10443
1991-10-31,1270.44325
1991-11-29,1201.16809
1991-12-31,1272.86282
1992-01-31,1264.32568
1992-02-28,1248.8634
1992-03-31,1191.7699
1992-04-30,1221.29105
1992-05-29,1261.99355
1992-06-30,1225.76779
1992-07-31,1228.60097
1992-08-31,1246.6125
1992-09-30,1236.88344
1992-10-30,1203.63324
1992-11-30,1215.72189
1992-12-31,1223.93543
1993-01-29,1246.66513
1993-02-26,1295.66222
1993-03-31,1382.25065
1993-04-30,1471.36319
1993-05-31,1491.21394
1993-06-30,1478.76766
1993-07-30,1528.84833
1993-08-31,1599.34813
1993-09-30,1575.60872
1993-10-29,1601.95198
1993-11-30,1503.92464
1993-12-31,1584.16031
1994-01-31,1705.15759
1994-02-28,1690.75842
1994-03-31,1630.12129
1994-04-29,1686.54289
1994-05-31,1706.93646
1994-06-30,1708.07029
1994-07-29,1734.80471
1994-08-31,1776.28454
1994-09-30,1723.67984
1994-10-31,1773.95516
1994-11-30,1691.18094
1994-12-30,1698.22562
1995-01-31,1674.11836
1995-02-28,1697.72766
1995-03-31,1772.68764
1995-04-28,1833.13863
1995-05-31,1845.44743
1995-06-30,1843.7706
1995-07-31,1933.79706
1995-08-31,1902.87999
1995-09-29,1948.46377
1995-10-31,1906.08379
