Date,EUROPE & MIDDLE EAST GROWTH
2010-05-26,1000.0
2010-05-27,1026.3678511540838
2010-05-28,1024.1625780986674
2010-05-31,1030.1670623622927
2010-06-01,1036.469867808401
2010-06-02,1039.7752419651754
2010-06-03,1055.0582606504104
2010-06-04,1040.526135283088
2010-06-07,1033.7088462539546
2010-06-08,1024.2830560056004
2010-06-09,1045.6912888871034
2010-06-10,1062.4531445047323
2010-06-11,1060.0223083672438
2010-06-14,1074.7027947360475
2010-06-15,1080.7600391859814
2010-06-16,1082.9121252398024
2010-06-17,1083.3326111174483
2010-06-18,1083.2165039374788
2010-06-21,1097.0755737241693
2010-06-22,1094.0878609548663
2010-06-23,1084.59580684312
2010-06-24,1066.62691765262
2010-06-25,1061.1032062734373
2010-06-28,1073.7165853586537
2010-06-29,1045.4083618315656
2010-06-30,1039.9140127764404
2010-07-01,1011.5990937207638
2010-07-02,1010.8577130727772
2010-07-05,1009.3763265641097
2010-07-06,1033.7681529544757
2010-07-07,1042.497529980531
2010-07-08,1051.3527629509495
2010-07-09,1057.7359111734652
2010-07-12,1061.0005980393078
2010-07-13,1079.986997280657
2010-07-14,1080.489994513602
2010-07-15,1069.5205116734764
2010-07-16,1049.7190416344804
2010-07-19,1040.8546821184627
2010-07-20,1042.9445057440803
2010-07-21,1056.3018584605124
2010-07-22,1074.8873137266235
2010-07-23,1083.4044484474512
2010-07-26,1083.6814260486929
2010-07-27,1080.983712839907
2010-07-28,1077.4824420575446
2010-07-29,1068.9406825706715
2010-07-30,1067.4535793540233
2010-08-02,1091.5536340596418
2010-08-03,1092.2154748375303
2010-08-04,1092.4743510361018
2010-08-05,1086.7939314899747
2010-08-06,1075.96898940692
2010-08-09,1089.7464609088086
2010-08-10,1082.2142847205137
2010-08-11,1064.8016521283253
2010-08-12,1069.1865972943085
2010-08-13,1074.2648448605955
2010-08-16,1077.9733472862115
2010-08-17,1088.9528255482126
2010-08-18,1087.0652340708784
2010-08-19,1074.1428120605997
2010-08-20,1068.9127040783899
2010-08-23,1074.2621250552777
2010-08-24,1058.121544096234
2010-08-25,1050.8793695719205
2010-08-26,1060.5186527065518
2010-08-27,1065.90926688646
2010-08-30,1067.5724578271668
2010-08-31,1068.1775600607511
2010-09-01,1096.6572651200472
2010-09-02,1095.955847681303
2010-09-03,1103.5011557817468
2010-09-06,1104.468320826107
2010-09-07,1101.775357834611
2010-09-08,1113.7777544933226
2010-09-09,1125.8626936857752
2010-09-10,1123.475497681477
2010-09-13,1128.8484087653903
2010-09-14,1129.1352844877833
2010-09-15,1125.9478651974762
2010-09-16,1115.5916921585479
2010-09-17,1116.7573974472557
2010-09-20,1131.1909615847546
2010-09-21,1125.6223051599534
2010-09-22,1111.8274614533188
2010-09-23,1113.504383923244
2010-09-24,1124.8074148769285
2010-09-27,1120.4656863470864
2010-09-28,1118.604991987836
2010-09-29,1113.2051822810706
2010-09-30,1105.9985972781892
2010-10-01,1101.5176961570326
2010-10-04,1097.2554719836512
2010-10-05,1109.146774899214
2010-10-06,1114.461560240889
2010-10-07,1110.8473660986258
2010-10-08,1111.9051434170754
2010-10-11,1115.9724082664625
2010-10-12,1115.9960773440353
2010-10-13,1129.2976102382001
2010-10-14,1126.658051661555
2010-10-15,1127.4791501712987
2010-10-18,1128.5672841921544
2010-10-19,1120.7485399289471
2010-10-20,1125.9675342434994
2010-10-21,1133.435378902467
2010-10-22,1128.5768965924638
2010-10-25,1134.7823146101462
2010-10-26,1130.67656819134
2010-10-27,1122.182714044402
2010-10-28,1125.1495112382854
2010-10-29,1125.3058920461551
2010-11-01,1128.9811820298999
2010-11-02,1132.21631385416
2010-11-03,1130.8567412959778
2010-11-04,1150.5823995729736
2010-11-05,1159.9527549291472
2010-11-08,1160.114834591813
2010-11-09,1165.4560696728508
2010-11-10,1159.625257181856
2010-11-11,1162.7096974405865
2010-11-12,1155.7020873974539
2010-11-15,1164.903235386301
2010-11-16,1138.5457194451649
2010-11-17,1144.3440792360038
2010-11-18,1161.5339111409664
2010-11-19,1153.254707086552
2010-11-22,1149.5926290538841
2010-11-23,1135.4741425423877
2010-11-24,1149.8109804716146
2010-11-25,1157.648026439054
