Date,EASEA INDEX (EAFE ex JAPAN) GROWTH
1998-12-31,100.0
1999-01-29,104.02184061000355
1999-02-26,103.57062686450915
1999-03-31,103.72219798599555
1999-04-30,106.0030078837877
1999-05-31,103.02287690937754
1999-06-30,106.3403799416831
1999-07-30,101.40804337312485
1999-08-31,104.11478019780083
1999-09-30,102.74299552754448
1999-10-29,109.55923946788036
1999-11-30,121.75174995597114
1999-12-31,136.89760281452752
2000-01-31,133.1101065029326
2000-02-29,145.21057140861436
2000-03-31,147.9380796617559
2000-04-28,147.7506247834122
2000-05-31,137.72884363987072
2000-06-30,136.28608945946178
2000-07-31,135.56565819922534
2000-08-31,138.78020270326508
2000-09-29,131.72596642775804
2000-10-31,133.50391052743652
2000-11-30,123.52641192764489
2000-12-29,120.54648768723115
2001-01-01,120.54648768723115
2001-01-02,118.462179961223
2001-01-03,116.62058759028811
2001-01-04,119.00289834710564
2001-01-05,118.0634828483306
2001-01-08,117.22993944118848
2001-01-09,116.31553817387096
2001-01-10,115.92095310698238
2001-01-11,117.26949300269945
2001-01-12,118.77964669450306
2001-01-15,119.29628618949798
2001-01-16,117.5615710000463
2001-01-17,120.81391265095591
2001-01-18,120.51475256779068
2001-01-19,120.73356937989242
2001-01-22,120.59799303225769
2001-01-23,120.03450865541448
2001-01-24,121.04228602558828
2001-01-25,121.22355751480976
2001-01-26,120.75034298699256
2001-01-29,120.65626914644528
2001-01-30,119.98381769045575
2001-01-31,120.83862375627541
2001-02-01,119.58305671157801
2001-02-02,118.73042658213372
2001-02-05,118.03199592444737
2001-02-06,118.79237757815973
2001-02-07,117.00573383938881
2001-02-08,117.16340908152544
2001-02-09,115.00259438124978
2001-02-12,115.99862786271063
2001-02-13,116.04988712429794
2001-02-14,113.93727660772926
2001-02-15,116.0552289423842
2001-02-16,113.12102276980222
2001-02-19,112.51321810949206
2001-02-20,111.8374763528643
2001-02-21,111.07934692497817
2001-02-22,110.44452164660898
2001-02-23,108.2426115693803
2001-02-26,109.3701088571994
2001-02-27,109.50850944209995
2001-02-28,109.27227330115407
2001-03-01,108.02073909295245
2001-03-02,108.09788517645909
2001-03-05,109.52826471717825
2001-03-06,110.75815458628641
2001-03-07,110.5317097532602
2001-03-08,109.24062360443736
2001-03-09,107.8372350587759
2001-03-12,104.80983068247603
2001-03-13,103.88031553807659
2001-03-14,102.68684222057165
2001-03-15,104.72049942432018
2001-03-16,101.98299490199383
2001-03-19,101.37380014129016
2001-03-20,102.98264504437944
2001-03-21,101.21550234281071
2001-03-22,97.37054398056956
2001-03-23,100.26073243837374
2001-03-26,103.46052458416128
2001-03-27,105.024609503579
2001-03-28,103.61443574428286
2001-03-29,103.51738977191081
2001-03-30,103.79460818431006
2001-04-02,103.3021380515441
2001-04-03,99.949463302803
2001-04-04,99.93373473880065
2001-04-05,102.88457227507483
2001-04-06,102.26487065539801
2001-04-09,103.15973994217073
2001-04-10,105.76905919984237
