Date,EAFE ex ISRAEL GROWTH
2010-05-26,1000.0
2010-05-27,1023.1372037296474
2010-05-28,1023.9132760184089
2010-05-31,1028.1292549755467
2010-06-01,1029.639246663753
2010-06-02,1027.41300350487
2010-06-03,1047.7239318148484
2010-06-04,1042.1648786781432
2010-06-07,1027.4124268585683
2010-06-08,1024.3378234484142
2010-06-09,1033.2041522238515
2010-06-10,1047.9258287784871
2010-06-11,1051.3538878049364
2010-06-14,1061.5341382140266
2010-06-15,1065.375598239071
2010-06-16,1072.266367030212
2010-06-17,1070.1675510593861
2010-06-18,1069.9078083042539
2010-06-21,1087.327427724506
2010-06-22,1085.2738252571573
2010-06-23,1074.8047694952086
2010-06-24,1062.3563377949158
2010-06-25,1053.605217737568
2010-06-28,1059.9107132352017
2010-06-29,1041.271951218215
2010-06-30,1029.8338859716744
2010-07-01,1002.9127315874046
2010-07-02,998.2742477703913
2010-07-05,999.4112479763002
2010-07-06,1018.9478961569904
2010-07-07,1023.7926824048609
2010-07-08,1034.739818126476
2010-07-09,1042.452051469528
2010-07-12,1046.0307551777337
2010-07-13,1055.7582894221644
2010-07-14,1061.325278564014
2010-07-15,1047.3751551696575
2010-07-16,1029.1582692583213
2010-07-19,1020.4923415518074
2010-07-20,1022.9822939934392
2010-07-21,1032.956979825694
2010-07-22,1042.5571295916823
2010-07-23,1057.6515306421913
2010-07-26,1058.2783255450795
2010-07-27,1053.911138164654
2010-07-28,1057.1441108088682
2010-07-29,1052.2424839321595
2010-07-30,1049.9157655526112
2010-08-02,1064.7635390572786
2010-08-03,1068.7661574015187
2010-08-04,1064.3767707297466
2010-08-05,1065.4883074996642
2010-08-06,1058.2871037676393
2010-08-09,1066.1657117506577
2010-08-10,1062.0664070538085
2010-08-11,1048.1083108527641
2010-08-12,1047.4986738021469
2010-08-13,1054.5714927516262
2010-08-16,1055.4735228301122
2010-08-17,1061.7134845572905
2010-08-18,1062.6769492887222
2010-08-19,1057.8295276269596
2010-08-20,1051.5221562657457
2010-08-23,1055.7535630709626
2010-08-24,1043.2208322319239
2010-08-25,1033.4097563492671
2010-08-26,1040.1611651982203
2010-08-27,1046.5690764332082
2010-08-30,1054.3244444395202
2010-08-31,1046.544304482432
2010-09-01,1067.303656716162
2010-09-02,1071.8542060387147
2010-09-03,1077.5831034696937
2010-09-06,1084.109749474502
2010-09-07,1086.7035216075724
2010-09-08,1088.4851220844125
2010-09-09,1100.5418758842056
2010-09-10,1100.7877961156948
2010-09-13,1105.56141402991
2010-09-14,1104.670923264948
2010-09-15,1100.1396712248084
2010-09-16,1089.6627948134808
2010-09-17,1094.6163769143159
2010-09-20,1104.1125864849437
2010-09-21,1099.2800673655724
2010-09-22,1085.2548873352357
2010-09-23,1089.0006468959257
2010-09-24,1090.6201648116796
2010-09-27,1093.9055078139907
2010-09-28,1091.0574306553472
2010-09-29,1088.8833621558892
2010-09-30,1077.9626097359462
2010-10-01,1074.5561154162585
2010-10-04,1073.6903220956615
2010-10-05,1079.8401404429535
2010-10-06,1088.6706068059716
2010-10-07,1087.5489436187008
2010-10-08,1087.511857584918
2010-10-11,1091.664016837055
2010-10-12,1088.3651463840422
2010-10-13,1095.3565187694428
2010-10-14,1098.5632519545645
2010-10-15,1097.9231111412685
2010-10-18,1099.8860001237952
2010-10-19,1097.203012523889
2010-10-20,1095.5791727772325
2010-10-21,1098.3984084850626
2010-10-22,1097.7557411997968
2010-10-25,1104.5229357276457
2010-10-26,1100.4890677323028
2010-10-27,1093.3604974046907
2010-10-28,1095.5542212559922
