Date,EUROPE SMALL CAP VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,1009.5456724043011
1995-01-31,1003.8327152444399
1995-02-28,1014.0416454388533
1995-03-31,1039.549029555592
1995-04-28,1055.9717707410343
1995-05-31,1080.8387825982772
1995-06-30,1091.1819212479961
1995-07-31,1129.4020385273807
1995-08-31,1087.4840174914666
1995-09-29,1109.4901675044048
1995-10-31,1087.1116202002215
1995-11-30,1059.6143926046147
1995-12-29,1078.2278580906739
1996-01-31,1082.3930509608174
1996-02-29,1129.0756361261922
1996-03-29,1151.3391067476598
1996-04-30,1162.8704656818047
1996-05-31,1191.2438043938926
1996-06-28,1192.138203670485
1996-07-31,1171.3334037037332
1996-08-30,1191.9354000973503
1996-09-30,1181.4473296238568
1996-10-31,1208.7704174320108
1996-11-29,1246.1860847750258
1996-12-31,1282.3473529332975
1997-01-01,1282.3247863986505
1997-01-02,1276.7759668678202
1997-01-03,1275.4570205121784
1997-01-06,1276.1953567483124
1997-01-07,1284.0393328816967
1997-01-08,1287.3410213656384
1997-01-09,1292.6917759598764
1997-01-10,1288.9549359426564
1997-01-13,1296.8634159743767
1997-01-14,1302.4870029769975
1997-01-15,1311.384123507916
1997-01-16,1316.858213338547
1997-01-17,1310.2175698293313
1997-01-20,1308.5928506670236
1997-01-21,1302.089512972313
1997-01-22,1298.9692140686802
1997-01-23,1297.3332139215445
1997-01-24,1302.6840866509212
1997-01-27,1296.0055874894103
1997-01-28,1286.4752246464227
1997-01-29,1290.7468848326612
1997-01-30,1298.1541131280264
1997-01-31,1305.3252153264107
1997-02-03,1308.0612848350063
1997-02-04,1312.7992684054395
1997-02-05,1316.4696758897237
1997-02-06,1319.0450627832442
1997-02-07,1313.9279541974417
1997-02-10,1328.794321419986
1997-02-11,1322.556590525941
1997-02-12,1316.095686484986
1997-02-13,1313.1019982471428
1997-02-14,1315.4112288806448
1997-02-17,1307.6243979941391
1997-02-18,1308.6800281222934
1997-02-19,1308.5083203386253
1997-02-20,1309.4825750544135
1997-02-21,1315.5217004086921
1997-02-24,1326.2117412205444
1997-02-25,1326.851835455199
1997-02-26,1319.2536383021632
1997-02-27,1318.9471450231993
1997-02-28,1318.646908461794
1997-03-03,1314.8329470168746
1997-03-04,1314.1387105689523
1997-03-05,1315.3938396105893
1997-03-06,1320.5922022834534
1997-03-07,1321.0589005859058
1997-03-10,1335.0637705313536
1997-03-11,1338.8480332788095
1997-03-12,1334.3784190110173
1997-03-13,1331.891766301399
1997-03-14,1329.8744854665858
1997-03-17,1330.4134490593474
1997-03-18,1329.159865146929
1997-03-19,1328.89291885864
1997-03-20,1315.0368104444478
1997-03-21,1322.713410652608
1997-03-24,1321.4349153703752
1997-03-25,1325.6570423664034
1997-03-26,1331.3137656866356
1997-03-27,1344.421158395543
1997-03-28,1345.9571383077046
1997-03-31,1351.3566160272144
1997-04-01,1331.3939299645856
1997-04-02,1331.007109015577
1997-04-03,1326.9681852534195
1997-04-04,1328.1456338957248
1997-04-07,1315.4059791439126
1997-04-08,1315.657372569903
1997-04-09,1316.2034310271738
1997-04-10,1316.8636216563834
1997-04-11,1316.8233945894642
1997-04-14,1313.3708385818318
1997-04-15,1314.1786063965262
1997-04-16,1316.702279347886
