Date,EAFE SMALL CAP VALUE WEIGHTED
1994-11-30,369.4384069491481
1994-12-30,374.32900526785363
1995-01-31,365.89490329046623
1995-02-28,357.89386972736844
1995-03-31,370.7236781733974
1995-04-28,376.08408464489685
1995-05-31,368.7621573854443
1995-06-30,362.23597175438545
1995-07-31,380.47746787473625
1995-08-31,370.5319185444264
1995-09-29,370.9781980572548
1995-10-31,359.50231041602274
1995-11-30,363.1211488672067
1995-12-29,377.6674618338323
1996-01-31,385.3685294475859
1996-02-29,391.9172408997659
1996-03-29,400.5600412817938
1996-04-30,423.59845274128327
1996-05-31,420.78208092892925
1996-06-28,421.16627478778287
1996-07-31,406.6986153220498
1996-08-30,406.1698591623474
1996-09-30,403.90547309202293
1996-10-31,399.96510798552384
1996-11-29,404.4557499765273
1996-12-31,392.73373890708086
1997-01-01,392.7652204193325
1997-01-02,392.15681307800105
1997-01-03,391.53643709412785
1997-01-06,392.9995145002866
1997-01-07,393.8801452226341
1997-01-08,391.92397774907397
1997-01-09,389.01103258755325
1997-01-10,385.6477250460399
1997-01-13,388.30755247289494
1997-01-14,388.93797781876475
1997-01-15,390.1551007722494
1997-01-16,393.13054466160077
1997-01-17,392.00290819699137
1997-01-20,389.5590334106507
1997-01-21,387.343095435523
1997-01-22,386.9289890831325
1997-01-23,385.33838153546986
1997-01-24,385.5318597514112
1997-01-27,382.6593565241488
1997-01-28,379.29846551983945
1997-01-29,379.39327195245875
1997-01-30,379.87378804400123
1997-01-31,382.62167401858625
1997-02-03,382.8239869922852
1997-02-04,383.9979407792539
1997-02-05,382.41443560738145
1997-02-06,381.883121480295
1997-02-07,378.73906145660425
1997-02-10,382.99980566440587
1997-02-11,381.82956879828043
1997-02-12,379.9982684383914
1997-02-13,379.2821015382719
1997-02-14,379.87230103731866
1997-02-17,379.23315142742103
1997-02-18,378.9619757254324
1997-02-19,378.6062484063256
1997-02-20,381.85060258231704
1997-02-21,383.95740297225655
1997-02-24,387.3906642865906
1997-02-25,387.757888066195
1997-02-26,386.1750952417525
1997-02-27,386.5264522334177
1997-02-28,386.20772199432446
1997-03-03,384.5970589538233
1997-03-04,383.1077191614297
1997-03-05,382.76967641135377
1997-03-06,382.40143207290294
1997-03-07,381.81269648073004
1997-03-10,383.9145647920473
1997-03-11,384.4774814245491
1997-03-12,382.04227391734673
1997-03-13,380.50345238961035
1997-03-14,378.318786978465
1997-03-17,378.5495002530672
1997-03-18,379.75446066130644
1997-03-19,378.91013637462544
1997-03-20,375.51774065958057
1997-03-21,378.04076932796426
1997-03-24,377.3842979790594
1997-03-25,377.7936082979971
1997-03-26,378.82050790482754
1997-03-27,380.10468202967024
1997-03-28,380.0046181762924
1997-03-31,380.0464015812987
1997-04-01,375.5034500211353
1997-04-02,375.597266995729
1997-04-03,373.7805977594003
1997-04-04,371.3365173324394
1997-04-07,365.8986551540704
1997-04-08,364.7730028462286
1997-04-09,362.87182703784106
1997-04-10,361.11997388431325
1997-04-11,360.6250371306476
1997-04-14,358.2419861279079
1997-04-15,358.22642728989507
1997-04-16,360.33004760648487
1997-04-17,363.0176797613988
