Date,WORLD ex USA SMALL CAP VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,1012.9271394924997
1995-01-31,989.5901866756625
1995-02-28,969.8447552108981
1995-03-31,1004.0178347577188
1995-04-28,1019.977047364568
1995-05-31,1002.4708802733026
1995-06-30,986.195913639206
1995-07-31,1035.359072008191
1995-08-31,1009.2493307356074
1995-09-29,1010.6496002892814
1995-10-31,979.2732810635719
1995-11-30,989.7008237778718
1995-12-29,1028.5992895662841
1996-01-31,1049.7578748446394
1996-02-29,1067.5461786665453
1996-03-29,1091.3643341275967
1996-04-30,1153.6646762735736
1996-05-31,1147.8283684696269
1996-06-28,1146.7152918095503
1996-07-31,1107.0147583342914
1996-08-30,1108.832915604687
1996-09-30,1104.6669292939384
1996-10-31,1097.268106502189
1996-11-29,1111.3663692780217
1996-12-31,1080.3182502683098
1997-01-01,1080.4004787597094
1997-01-02,1078.355202076009
1997-01-03,1076.7574351858273
1997-01-06,1080.743495657208
1997-01-07,1083.5992942398918
1997-01-08,1078.5956425436573
1997-01-09,1071.5468193185395
1997-01-10,1063.1387378467516
1997-01-13,1070.2403139691899
1997-01-14,1071.9755279012693
1997-01-15,1075.6911196243384
1997-01-16,1083.9547356302771
1997-01-17,1081.2923681542231
1997-01-20,1075.0833607172558
1997-01-21,1069.208053262182
1997-01-22,1068.1321495350292
1997-01-23,1063.8276397925874
1997-01-24,1063.8075089341548
1997-01-27,1056.205938531793
1997-01-28,1047.713316408465
1997-01-29,1047.88968501158
1997-01-30,1049.0555220088327
1997-01-31,1056.6274728016988
1997-02-03,1057.6228134242847
1997-02-04,1060.7952172204505
1997-02-05,1056.5051392769162
1997-02-06,1054.88497851574
1997-02-07,1046.5947591268289
1997-02-10,1057.3843771725062
1997-02-11,1054.1854513146009
1997-02-12,1049.6744767166413
1997-02-13,1048.3270536918749
1997-02-14,1050.3090247500554
1997-02-17,1048.7629265686426
1997-02-18,1047.9785788096317
1997-02-19,1047.2765406471651
1997-02-20,1055.7083648356022
1997-02-21,1061.4339558123581
1997-02-24,1070.3384927065752
1997-02-25,1071.4828909457867
1997-02-26,1066.9699550564035
1997-02-27,1067.8499432956357
1997-02-28,1067.3115609507238
1997-03-03,1062.8550640832411
1997-03-04,1058.9285542297662
1997-03-05,1058.3210478259018
1997-03-06,1057.8361367360012
1997-03-07,1056.4267209505024
1997-03-10,1062.123226235033
1997-03-11,1064.0721583607924
1997-03-12,1057.8121771878707
1997-03-13,1053.4828554558121
1997-03-14,1047.9313166125914
1997-03-17,1047.9211608980302
1997-03-18,1050.7432688118317
1997-03-19,1048.0172238356129
1997-03-20,1038.9459195083195
1997-03-21,1045.4929434532687
1997-03-24,1043.7283013823135
1997-03-25,1044.7509349732763
1997-03-26,1047.08443920036
1997-03-27,1049.6105031542727
1997-03-28,1049.2265470723169
1997-03-31,1048.6333443290134
1997-04-01,1036.5566715067291
1997-04-02,1036.827695937674
1997-04-03,1031.8382076171115
1997-04-04,1025.172632421981
1997-04-07,1011.0008719434704
1997-04-08,1007.943374783405
1997-04-09,1002.8257083463341
1997-04-10,997.9651011300103
1997-04-11,996.0290657090408
1997-04-14,989.4894893443671
1997-04-15,989.8899109785519
1997-04-16,995.2288204149842
1997-04-17,1002.4790812730469
1997-04-18,1011.6782355027296
1997-04-21,1023.5775499726292
1997-04-22,1022.2731998827172
1997-04-23,1024.4280015221148
1997-04-24,1022.895541791435
1997-04-25,1019.1580412080392
1997-04-28,1014.8897928972718
1997-04-29,1015.8521664312996
1997-04-30,1021.0061529855847
1997-05-01,1028.8289577780643
1997-05-02,1029.8171035101004
1997-05-05,1030.9607960211174
1997-05-06,1045.0409553700138
1997-05-07,1048.7479556068256
1997-05-08,1052.45026749875
1997-05-09,1061.8695243651825
1997-05-12,1073.461020462176
1997-05-13,1078.0975587022833
1997-05-14,1080.6052921283137
1997-05-15,1087.7078880411896
1997-05-16,1097.4935276766291
1997-05-19,1094.4026639733931
1997-05-20,1105.7970275872415
1997-05-21,1104.9815837778303
1997-05-22,1098.8912171559557
1997-05-23,1103.9498740611857
1997-05-26,1102.3035502360244
1997-05-27,1097.7243684539142
1997-05-28,1102.7517149102543
1997-05-29,1101.0292597665957
1997-05-30,1097.300150796323
1997-06-02,1094.4119010990294
1997-06-03,1098.7071252082612
1997-06-04,1098.8271764675753
1997-06-05,1103.2042613142619
1997-06-06,1105.0733710743234
1997-06-09,1119.7117724534744
1997-06-10,1119.4652744827529
1997-06-11,1124.1508432721732
1997-06-12,1115.1220280534324
1997-06-13,1112.0708094573622
1997-06-16,1120.4847441365218
1997-06-17,1118.6804550679472
1997-06-18,1120.346135234548
1997-06-19,1119.4411974013603
1997-06-20,1117.485610113855
1997-06-23,1115.584015422311
1997-06-24,1114.0834903779066
1997-06-25,1123.6990306206005
1997-06-26,1124.0320824058026
1997-06-27,1118.1117225342514
1997-06-30,1118.8271825467068
1997-07-01,1117.1763809785177
1997-07-02,1118.0070098155888
1997-07-03,1124.7274133686376
