Date,EFM EMEA IMI
2010-11-30,1000.0
2010-12-01,1019.4694246229578
2010-12-02,1042.672283737018
2010-12-03,1057.1507041393168
2010-12-06,1066.9197548076702
2010-12-07,1070.5077019567696
2010-12-08,1059.5354874989878
2010-12-09,1060.5825375869972
2010-12-10,1059.5898895821601
2010-12-13,1067.9448228034883
2010-12-14,1072.690068347742
2010-12-15,1075.4846026949401
2010-12-16,1066.8588422449138
2010-12-17,1062.7838029191028
2010-12-20,1060.135404560498
2010-12-21,1072.4661340484045
2010-12-22,1076.993472246008
2010-12-23,1082.4357652371689
2010-12-24,1082.9697490333567
2010-12-27,1082.577959834493
2010-12-28,1084.7980272719692
2010-12-29,1090.4755325877234
2010-12-30,1092.7270258785127
2010-12-31,1098.572913680965
2011-01-03,1103.3062559717514
2011-01-04,1101.2204581276637
2011-01-05,1096.059214056263
2011-01-06,1090.9873731817975
2011-01-07,1087.0347471970874
2011-01-10,1074.8904442494602
2011-01-11,1085.3036975408047
2011-01-12,1108.2276862659585
2011-01-13,1113.6786858658559
2011-01-14,1105.8093384726114
2011-01-17,1106.9568085498895
2011-01-18,1109.5540975673612
2011-01-19,1103.702250735585
2011-01-20,1077.3742212863601
2011-01-21,1088.7845045844915
2011-01-24,1087.2997162818929
2011-01-25,1080.129821827882
2011-01-26,1086.7386355404385
2011-01-27,1089.4541829481095
2011-01-28,1062.260928581126
2011-01-31,1054.4321446612018
2011-02-01,1074.5617299408584
2011-02-02,1084.7838614530697
2011-02-03,1073.0178861290249
2011-02-04,1083.7932327973795
2011-02-07,1081.7964868497186
2011-02-08,1082.7569357252155
2011-02-09,1077.8228066674162
2011-02-10,1055.9178577635432
2011-02-11,1068.5480655655945
2011-02-14,1061.5725216876067
2011-02-15,1060.649731132859
2011-02-16,1064.9468048922365
2011-02-17,1063.90111894028
2011-02-18,1069.998643306425
2011-02-21,1072.2873670680758
2011-02-22,1063.93406839444
2011-02-23,1057.417311289483
2011-02-24,1059.1930040470058
2011-02-25,1073.9056674037845
2011-02-28,1086.8808183310007
2011-03-01,1075.57390414653
2011-03-02,1082.6945682758112
2011-03-03,1092.1048696376208
2011-03-04,1094.1108323703722
2011-03-07,1098.3075797534789
2011-03-08,1094.9124740154462
2011-03-09,1098.9519798618696
2011-03-10,1073.9639565432014
2011-03-11,1077.0168509079022
2011-03-14,1086.136743848771
2011-03-15,1059.6817700607403
2011-03-16,1059.8186153538923
2011-03-17,1067.2709697652522
2011-03-18,1074.7732241089134
2011-03-21,1084.7021429906442
