Date,EFM (EMERGING + FRONTIER MARKETS) IMI
2010-11-30,1000.0
2010-12-01,1018.8890496881564
2010-12-02,1033.2144753157563
2010-12-03,1039.5709709350733
2010-12-06,1044.1650415457448
2010-12-07,1047.8105090455317
2010-12-08,1034.7033070925302
2010-12-09,1035.3437553074618
2010-12-10,1034.223443199871
2010-12-13,1041.7246335042346
2010-12-14,1047.5263314323004
2010-12-15,1040.220059646453
2010-12-16,1032.8944954301405
2010-12-17,1035.9457864378646
2010-12-20,1031.5635330366417
2010-12-21,1043.3523537100057
2010-12-22,1045.733113516849
2010-12-23,1047.1338654865035
2010-12-24,1046.5088601432824
2010-12-27,1045.1598110302166
2010-12-28,1045.7129919395688
2010-12-29,1054.973940564649
2010-12-30,1063.3839103107914
2010-12-31,1068.7172791791436
2011-01-03,1079.7784853258502
2011-01-04,1081.4985927105527
2011-01-05,1077.6828777082317
2011-01-06,1072.9574239873175
2011-01-07,1065.801350221288
2011-01-10,1055.766389574585
2011-01-11,1062.0346615917783
2011-01-12,1079.3419091781402
2011-01-13,1079.517689803932
2011-01-14,1076.859584773626
2011-01-17,1071.8264251625874
2011-01-18,1075.530555011337
2011-01-19,1077.7225050752536
2011-01-20,1061.6012136925478
2011-01-21,1056.180189294885
2011-01-24,1056.3235213250014
2011-01-25,1055.5789912617693
2011-01-26,1061.4684658666752
2011-01-27,1060.7651271603868
2011-01-28,1046.938667075806
2011-01-31,1039.99476112881
2011-02-01,1049.7523685879723
2011-02-02,1054.228805138694
2011-02-03,1051.957726570372
2011-02-04,1049.1056787490836
2011-02-07,1048.149535754655
2011-02-08,1047.5568996160664
2011-02-09,1032.8113655858674
2011-02-10,1014.6410802824216
2011-02-11,1015.1592770973795
2011-02-14,1027.1018813485516
2011-02-15,1026.0882482975376
2011-02-16,1029.6229623096485
2011-02-17,1032.3196848664024
2011-02-18,1041.1135867945154
2011-02-21,1038.9669975752465
2011-02-22,1021.5975307540863
2011-02-23,1015.9935778229462
2011-02-24,1006.9094836496729
2011-02-25,1017.8322368027953
2011-02-28,1024.223330015364
2011-03-01,1028.5375641630237
2011-03-02,1028.174196773283
2011-03-03,1041.0432290442666
2011-03-04,1050.6703816052336
2011-03-07,1045.1077868347552
2011-03-08,1049.1116705236086
2011-03-09,1050.2392771005914
2011-03-10,1033.7370582730764
2011-03-11,1027.0882263662716
2011-03-14,1033.226759206177
2011-03-15,1010.2365029937312
2011-03-16,1013.7930537593284
2011-03-17,1009.1565511662999
2011-03-18,1016.4919848064642
2011-03-21,1027.1999137564517
2011-03-22,1036.6077780567273
2011-03-23,1039.7245587635493
2011-03-24,1049.4917782122468
2011-03-25,1057.2927976465166
2011-03-28,1052.8528359008449
2011-03-29,1056.5631004081567
2011-03-30,1071.265556825331
2011-03-31,1081.372062582142
2011-04-01,1094.3333935815567
2011-04-04,1102.1369081579119
2011-04-05,1103.9198213672119
2011-04-06,1112.1484523845645
2011-04-07,1112.0838332567193
2011-04-08,1115.6641625678444
2011-04-11,1110.7943625893347
2011-04-12,1090.9750523171813
2011-04-13,1098.3350244811318
2011-04-14,1096.4155359268595
2011-04-15,1096.2281484128964
2011-04-18,1079.2596849385789
2011-04-19,1082.706305219194
2011-04-20,1107.6724034964436
2011-04-21,1117.659336336404
2011-04-22,1117.7613570520336
2011-04-25,1115.8864783302793
2011-04-26,1115.4269382832745
2011-04-27,1115.0485424133872
2011-04-28,1114.0629399180411
2011-04-29,1116.9362085414396
2011-05-02,1119.6894550537852
2011-05-03,1101.880839319085
2011-05-04,1089.518272112017
2011-05-05,1081.5229197788376
2011-05-06,1082.6775276631
2011-05-09,1081.4100426883012
2011-05-10,1085.8712483693428
2011-05-11,1085.384942276143
2011-05-12,1069.6176114168582
2011-05-13,1068.0046617561618
2011-05-16,1060.3982456697174
2011-05-17,1057.1860698707642
2011-05-18,1065.303824601998
2011-05-19,1063.090046083977
2011-05-20,1062.8766425207382
2011-05-23,1038.235884737118
2011-05-24,1047.581749070402
2011-05-25,1041.215785068084
2011-05-26,1055.0066932002621
2011-05-27,1067.6168349688437
2011-05-30,1068.4710636050097
2011-05-31,1086.5787096562235
2011-06-01,1085.776516202526
2011-06-02,1078.9359111596805
2011-06-03,1076.6814783768732
2011-06-06,1071.2922254348887
2011-06-07,1075.0681373007892
2011-06-08,1068.5342065623502
2011-06-09,1065.4680165077373
2011-06-10,1053.670096761153
2011-06-13,1049.2772370416944
2011-06-14,1057.9786275205565
2011-06-15,1052.4509622598116
2011-06-16,1034.2908204946264
2011-06-17,1031.7958285597517
2011-06-20,1025.217432383518
2011-06-21,1037.9897945682872
2011-06-22,1041.4100182772245
2011-06-23,1031.721267780295
2011-06-24,1041.1297959719957
2011-06-27,1038.2258542083812
2011-06-28,1045.8967264599507
2011-06-29,1056.8887152062239
2011-06-30,1069.30008134589
2011-07-01,1078.6191496230156
2011-07-04,1090.2828474421513
2011-07-05,1087.8869663767543
2011-07-06,1083.7264022055588
2011-07-07,1090.3433346714935
2011-07-08,1087.2061418414582
