Date,EFM EUROPE + CIS (E+C) ex RU IMI
2010-11-30,1000.0
2010-12-01,1023.255593126183
2010-12-02,1041.9265315043358
2010-12-03,1061.2657602275822
2010-12-06,1059.439560929196
2010-12-07,1069.0495176251864
2010-12-08,1054.041666452648
2010-12-09,1036.609538945733
2010-12-10,1033.0225960480473
2010-12-13,1056.4959450880153
2010-12-14,1058.5166007904174
2010-12-15,1051.707673382855
2010-12-16,1031.9277076590386
2010-12-17,1019.7511305714006
2010-12-20,1009.3898852125393
2010-12-21,1024.9785047394544
2010-12-22,1030.4079351926541
2010-12-23,1035.5641750081127
2010-12-24,1038.715013005457
2010-12-27,1037.5257526743353
2010-12-28,1030.3933590246186
2010-12-29,1039.085856450673
2010-12-30,1045.9087252485097
2010-12-31,1049.948660930525
2011-01-03,1061.4301047569509
2011-01-04,1065.8207645162124
2011-01-05,1063.5585999212822
2011-01-06,1065.083922918114
2011-01-07,1050.2887265721708
2011-01-10,1030.3638295230248
2011-01-11,1037.4876601279113
2011-01-12,1061.1465752908239
2011-01-13,1080.8554831171039
2011-01-14,1074.6422433812234
2011-01-17,1072.2485959440312
2011-01-18,1089.091997313494
2011-01-19,1086.813198573133
2011-01-20,1056.9200711957678
2011-01-21,1079.54289009651
2011-01-24,1075.5286195538647
2011-01-25,1069.9854992560772
2011-01-26,1076.9683027413737
2011-01-27,1073.9774891601685
2011-01-28,1037.7642188200937
2011-01-31,1042.7749190975087
2011-02-01,1072.8748167259905
2011-02-02,1077.574359584317
2011-02-03,1056.1510934044222
2011-02-04,1069.6441382198943
2011-02-07,1072.232474596016
2011-02-08,1078.7579807048833
2011-02-09,1074.2744689248318
2011-02-10,1049.887599650403
2011-02-11,1055.8814962009055
2011-02-14,1042.6236508372258
2011-02-15,1047.9878034949993
2011-02-16,1054.9811527614918
2011-02-17,1054.6994048443783
2011-02-18,1060.7192042575446
2011-02-21,1051.453170237609
2011-02-22,1046.3076104053973
2011-02-23,1036.103339411634
2011-02-24,1019.5189713373804
2011-02-25,1029.6632786537323
2011-02-28,1040.6697085292312
2011-03-01,1017.2712832128655
2011-03-02,1019.2096989292107
2011-03-03,1041.7882823848358
2011-03-04,1052.491936857245
2011-03-07,1050.6676674031644
2011-03-08,1051.8301218181873
2011-03-09,1058.4392330494761
2011-03-10,1048.2000602716976
2011-03-11,1049.6580836596845
2011-03-14,1061.7083405301687
2011-03-15,1052.75660477649
2011-03-16,1033.8905469668566
2011-03-17,1050.4103934365303
2011-03-18,1063.23930829489
2011-03-21,1077.6563347062104
2011-03-22,1083.4871154776058
2011-03-23,1075.904704749699
2011-03-24,1092.0065112806083
2011-03-25,1098.5907164019686
2011-03-28,1097.3625445656155
2011-03-29,1088.1928448239253
2011-03-30,1094.7615788563512
2011-03-31,1101.7716927763508
2011-04-01,1121.1602042119323
2011-04-04,1141.4012940302748
2011-04-05,1144.586038594103
2011-04-06,1177.2147492018994
