Date,GOLDEN DRAGON IMI WITH PARTIAL A SHARES
2008-11-27,1050.1725307019349
2008-11-28,1067.3501446823805
2008-12-30,1141.60029536363
2008-12-31,1151.5250451465897
2009-01-29,1065.1654509617567
2009-01-30,1077.9811935015175
2009-02-26,1069.926104050823
2009-02-27,1067.0821179514153
2009-03-30,1191.7830788358256
2009-03-31,1201.3234881330088
2009-04-29,1313.2812809793945
2009-04-30,1377.7066199512924
2009-05-28,1607.3217981649468
2009-05-29,1628.1188262844835
2009-06-29,1623.480113304739
2009-06-30,1613.690732249776
2009-07-30,1786.2538897130282
2009-07-31,1812.7806280542873
2009-08-28,1724.2448360963633
2009-08-31,1700.2000691759679
2009-09-29,1826.7050601728838
2009-09-30,1835.3350400633847
2009-10-29,1854.053998228443
2009-10-30,1882.1629808503492
2009-11-27,1884.4506245817158
2009-11-30,1935.715475519257
2009-12-30,1976.2153166860446
2009-12-31,2008.5127808555362
2010-01-28,1873.7863888925078
2010-01-29,1859.3768433678938
2010-02-25,1860.0938869494387
2010-02-26,1873.679653309748
2010-03-30,2003.4454205744637
2010-03-31,1991.9377029472862
2010-04-29,1978.0781924548148
2010-04-30,1994.8994083159178
2010-05-28,1835.1419156796824
2010-05-31,1843.2965818322493
2010-06-29,1860.9709178936128
2010-06-30,1851.1868567027325
2010-07-29,1972.2801571873022
2010-07-30,1967.982950827318
2010-08-30,1957.2577073007299
2010-08-31,1940.0401456359957
2010-09-29,2146.0768323335906
2010-09-30,2148.6213042498175
2010-10-28,2224.18715449149
2010-10-29,2218.937935731105
2010-11-29,2226.623461427345
2010-11-30,2218.7613332650017
2010-12-30,2285.5774873546707
2010-12-31,2297.01161487125
2011-01-28,2326.466244477316
2011-01-31,2317.2790719984205
2011-02-25,2194.4548841211754
2011-02-28,2215.6804072765844
2011-03-30,2268.70512835144
2011-03-31,2282.314036835777
2011-04-28,2363.6374606474874
2011-04-29,2357.6521057856216
2011-05-30,2308.1039704285004
2011-05-31,2354.2600745162636
2011-06-29,2229.3152658828126
2011-06-30,2261.9080531370164
2011-07-28,2286.6829528942403
2011-07-29,2263.594784222556
2011-08-30,2021.5799835429525
2011-08-31,2057.531026195493
2011-09-29,1776.3237770358305
2011-09-30,1746.7107879383484
2011-10-28,1968.5343982743625
2011-10-31,1949.991632527259
2011-11-29,1804.479102956314
2011-11-30,1782.0630951597004
2011-12-29,1812.6977907265912
2011-12-30,1816.3051981669769
2012-01-30,1967.0738293874488
2012-01-31,1993.4886986137155
2012-02-28,2129.1811606079523
2012-02-29,2153.205844783344
2012-03-29,2037.9351240673893
2012-03-30,2044.381065220187
2012-04-27,2026.7621512932333
2012-04-30,2050.16578730933
2012-05-30,1884.7818597506532
2012-05-31,1880.8002175525153
2012-06-28,1867.0677868372384
2012-06-29,1905.2413206991241
2012-07-30,1903.2025705037493
2012-07-31,1927.5800940207296
2012-08-30,1923.8368022054644
2012-08-31,1923.607289734034
2012-09-27,2038.992524263128
2012-09-28,2054.623002839692
2012-10-30,2055.024916864526
2012-10-31,2069.7867800537056
2012-11-29,2128.5509267797174
2012-11-30,2144.695998727605
2012-12-28,2212.8872311367904
2012-12-31,2216.951463559666
2013-01-30,2306.2787138956287
2013-01-31,2298.5840007476804
2013-02-27,2230.814397014056
2013-02-28,2263.4523737624545
2013-03-28,2201.3928191135788
2013-03-29,2205.4809224958913
2013-04-29,2235.900090155014
2013-04-30,2254.8357209249307
2013-05-30,2259.9611110174937
2013-05-31,2256.3219084038165
2013-06-27,2084.9858758364235
2013-06-28,2128.007311012925
2013-07-30,2200.6107235596173
2013-07-31,2192.006644038756
2013-08-29,2198.437726797693
2013-08-30,2214.430517552913
2013-09-27,2341.101431928922
2013-09-30,2316.773153104957
2013-10-30,2389.310323426302
2013-10-31,2384.594382191526
2013-11-28,2421.904041182904
2013-11-29,2434.447972939289
2013-12-30,2401.397332863989
2013-12-31,2412.0898193845414
2014-01-01,2412.0898193845414
2014-01-02,2411.315533914028
2014-01-03,2372.4067421290097
2014-01-06,2352.3555626195794
2014-01-07,2350.4305694135087
2014-01-08,2370.5812071467863
2014-01-09,2349.9973575767776
2014-01-10,2354.8163650500287
2014-01-13,2360.728673336229
2014-01-14,2353.508477798418
2014-01-15,2365.630030194434
2014-01-16,2370.3304905102173
2014-01-17,2378.416015049535
2014-01-20,2364.1435782590524
2014-01-21,2369.06869589928
2014-01-22,2377.6809562085086
2014-01-23,2352.9831961487544
2014-01-24,2330.853183871671
2014-01-27,2280.032159645846
2014-01-28,2283.004779541275
2014-01-29,2299.5533727672155
2014-01-30,2292.6052722253335
2014-01-31,2292.645205190966
2014-02-03,2292.7350618854316
2014-02-04,2249.9850769616387
2014-02-05,2223.301557960062
2014-02-06,2241.843189672038
2014-02-07,2267.771130795828
2014-02-10,2269.3964315369885
2014-02-11,2297.9290621211453
2014-02-12,2325.6297103217253
2014-02-13,2311.9138738052325
2014-02-14,2325.4108414530797
2014-02-17,2342.04190757672
2014-02-18,2342.8825859367735
2014-02-19,2346.9137730671805
2014-02-20,2325.6518419192357
2014-02-21,2337.911838705785
2014-02-24,2316.2436167038604
2014-02-25,2313.35135212093
2014-02-26,2329.0630825280773
2014-02-27,2355.4728024251326
2014-02-28,2357.1235109041063
2014-03-03,2338.5975679482476
2014-03-04,2342.1831183926665
2014-03-05,2343.8844709226028
2014-03-06,2362.7315089876033
2014-03-07,2361.461955462318
2014-03-10,2328.1338716292503
2014-03-11,2334.6363824650143
2014-03-12,2308.446214060732
2014-03-13,2306.8094290713234
2014-03-14,2281.6834335918493
2014-03-17,2281.259431271856
2014-03-18,2294.181756674877
2014-03-19,2289.908308083183
2014-03-20,2252.3414389221944
2014-03-21,2269.6103172768194
2014-03-24,2296.3547760091697
2014-03-25,2292.3907255621457
2014-03-26,2308.290224759464
2014-03-27,2303.2632310626805
2014-03-28,2322.009594843917
2014-03-31,2339.7367787265557
2014-04-01,2366.917694701266
2014-04-02,2378.6943166416545
2014-04-03,2381.0771173067606
2014-04-04,2375.450772297803
2014-04-07,2366.97940785301
2014-04-08,2383.823863018707
2014-04-09,2404.8572986482
2014-04-10,2431.6210620554666
2014-04-11,2411.451973924735
2014-04-14,2403.920696661064
2014-04-15,2383.1641199051646
2014-04-16,2382.9864906004746
2014-04-17,2391.5224099195134
2014-04-18,2394.488569173838
2014-04-21,2391.0242028280036
2014-04-22,2389.0103024675677
2014-04-23,2376.303715217529
2014-04-24,2380.0778539062126
2014-04-25,2342.4578563724435
2014-04-28,2332.8623868943187
2014-04-29,2354.8729555578843
2014-04-30,2329.366453466657
2014-05-01,2329.326376589353
2014-05-02,2347.5742800770445
2014-05-05,2338.5251209157354
2014-05-06,2342.3663776979433
2014-05-07,2320.8779975124885
2014-05-08,2322.3515671154382
2014-05-09,2317.581553701608
2014-05-12,2336.383173860923
2014-05-13,2346.8525755679148
2014-05-14,2368.6425797853035
2014-05-15,2374.6406652915307
2014-05-16,2370.890181562001
2014-05-19,2369.2382241125424
2014-05-20,2373.4117504213878
2014-05-21,2378.2962313220964
2014-05-22,2402.779289137595
2014-05-23,2411.7617281548646
2014-05-26,2416.108268742777
2014-05-27,2414.8207616577565
2014-05-28,2431.1006245953854
2014-05-29,2423.502276982608
2014-05-30,2426.67182887096
2014-06-02,2426.4849879685994
2014-06-03,2448.1624721682824
2014-06-04,2437.5217568155394
2014-06-05,2443.1126485301697
2014-06-06,2434.962959780236
2014-06-09,2447.5098356202707
2014-06-10,2466.974184077441
2014-06-11,2466.2306290458528
2014-06-12,2463.567397041751
2014-06-13,2472.6036833996145
2014-06-16,2472.291805264599
2014-06-17,2467.1474039568084
2014-06-18,2465.8274567981616
2014-06-19,2469.2766721432185
2014-06-20,2467.6110940661374
2014-06-23,2439.947247368374
