Date,EM GCC COUNTRIES IMI
2014-05-30,1000.0
2014-06-02,981.4599995277711
2014-06-03,960.2313423441011
2014-06-04,947.3326521141505
2014-06-05,958.467067509197
2014-06-06,958.4550358222384
2014-06-09,919.4736050409392
2014-06-10,910.0670778560903
2014-06-11,902.9379752206113
2014-06-12,916.2147990180245
2014-06-13,916.2089923873642
2014-06-16,868.7651356026034
2014-06-17,859.5290414426092
2014-06-18,869.8757211621092
2014-06-19,873.3444043591328
2014-06-20,873.3444043591328
2014-06-23,847.8093887663435
2014-06-24,823.8365913685844
2014-06-25,829.3127523970174
2014-06-26,816.9557472133339
2014-06-27,816.9505884041406
2014-06-30,776.5158803400992
2014-07-01,807.9554879884888
2014-07-02,849.393909947255
2014-07-03,846.6159246633171
2014-07-04,846.6213637882629
2014-07-07,862.0513285478524
2014-07-08,864.7611139466345
2014-07-09,870.6162853234753
2014-07-10,885.4609741639778
2014-07-11,885.4609741639778
2014-07-14,890.2332571953956
2014-07-15,901.5510665450278
2014-07-16,912.7141567247036
2014-07-17,917.4400426757692
2014-07-18,917.4400426757692
2014-07-21,895.1404587781526
2014-07-22,897.9015184016442
2014-07-23,890.7765715076969
2014-07-24,878.836248125497
2014-07-25,878.836248125497
2014-07-28,882.9104410515254
2014-07-29,882.9273989232208
2014-07-30,882.9273989232208
2014-07-31,894.6264825213702
2014-08-01,894.6264825213702
2014-08-04,894.3569907991167
2014-08-05,899.214351073001
2014-08-06,885.7259500399857
2014-08-07,887.940838122302
2014-08-08,887.940838122302
2014-08-11,898.4041902149605
2014-08-12,902.2789924464175
2014-08-13,913.962479702758
2014-08-14,915.1773407713923
2014-08-15,915.1597307975294
2014-08-18,918.8213066849828
2014-08-19,924.3065870710828
2014-08-20,923.4463925628645
2014-08-21,928.2193305848095
2014-08-22,928.1890697759947
2014-08-25,930.8357669631195
2014-08-26,935.9465033156064
2014-08-27,934.4310477422764
2014-08-28,902.6831279235998
2014-08-29,902.700474602367
2014-09-01,933.0038568514088
2014-09-02,935.2763165753616
2014-09-03,946.4787351637492
2014-09-04,948.14685665337
2014-09-05,948.14685665337
2014-09-08,949.3836812664896
2014-09-09,947.3230671571132
2014-09-10,935.5147853037327
2014-09-11,944.5959852952885
2014-09-12,944.5959852952885
2014-09-15,951.2392598414107
2014-09-16,949.0274381117584
2014-09-17,951.1333853394548
2014-09-18,972.2255440792399
2014-09-19,972.2255440792401
2014-09-22,955.5746513830657
2014-09-23,952.1863846886398
2014-09-24,947.7135590458787
2014-09-25,945.591527401867
2014-09-26,945.5969792529469
