Date,EFM AFRICA ex ZA IMI
2010-11-30,1000.0
2010-12-01,1002.1162678861976
2010-12-02,1006.9417116557435
2010-12-03,1007.9052945946654
2010-12-06,1010.7992471584332
2010-12-07,1008.304980659599
2010-12-08,1012.8859802395656
2010-12-09,1019.3498181099641
2010-12-10,1015.7856390956441
2010-12-13,1016.6509879752745
2010-12-14,1019.7845502787052
2010-12-15,1017.6409021335489
2010-12-16,1013.5635991488882
2010-12-17,1013.233734195979
2010-12-20,1012.1954628827389
2010-12-21,1015.697031850059
2010-12-22,1018.3489742543811
2010-12-23,1022.8805092889228
2010-12-24,1020.5364238992925
2010-12-27,1019.8902127652767
2010-12-28,1022.2103539193363
2010-12-29,1025.485935603885
2010-12-30,1034.3780190741577
2010-12-31,1038.8350258921607
2011-01-03,1037.1341919790016
2011-01-04,1055.7779153541626
2011-01-05,1067.1232492223771
2011-01-06,1077.7735108601992
2011-01-07,1071.1189163328713
2011-01-10,1064.7543436102753
2011-01-11,1061.7947244808493
2011-01-12,1068.83562168188
2011-01-13,1075.704546820331
2011-01-14,1080.5640057879918
2011-01-17,1055.8606483602941
2011-01-18,1041.5830251314703
2011-01-19,1043.6619574034337
2011-01-20,1049.2647314651779
2011-01-21,1053.9984921178886
2011-01-24,1057.2336001348078
2011-01-25,1056.8512831898047
2011-01-26,1029.9089512501732
2011-01-27,983.7874990380731
2011-01-28,975.0821084772668
2011-01-31,961.2110492100201
2011-02-01,958.2185075901032
2011-02-02,962.6300326637203
2011-02-03,958.5097751120468
2011-02-04,959.167064052313
2011-02-07,954.8353791244914
2011-02-08,962.9255255608373
2011-02-09,965.1677909042784
2011-02-10,960.022841471954
2011-02-11,959.5626489096795
2011-02-14,957.9026519938183
2011-02-15,958.0033947537066
2011-02-16,956.0782218429865
2011-02-17,959.1576597988966
2011-02-18,956.1740318135509
2011-02-21,948.4163686876583
2011-02-22,950.8518888001764
2011-02-23,954.2103401934986
2011-02-24,948.4259335457721
2011-02-25,948.6474756550773
2011-02-28,946.2253532057897
2011-03-01,944.0309137689655
2011-03-02,939.8351869431348
2011-03-03,936.3835365984366
2011-03-04,935.0502081016056
2011-03-07,933.3003953963663
2011-03-08,929.4938432296811
2011-03-09,929.2407355076716
2011-03-10,929.9165598566142
2011-03-11,932.2218573386913
2011-03-14,928.133148929859
2011-03-15,921.379771176282
2011-03-16,916.3626014027867
2011-03-17,912.1893178354456
2011-03-18,913.5557699187826
2011-03-21,916.0929055675327
2011-03-22,926.904981954662
2011-03-23,896.9302740977915
2011-03-24,882.8465134480762
2011-03-25,877.8923155385622
2011-03-28,897.9098509581714
2011-03-29,911.0506028113646
2011-03-30,914.268795614792
2011-03-31,913.8766434567863
2011-04-01,916.2373727571066
2011-04-04,916.9819339370431
