Date,EM EUROPE & MIDDLE EAST IMI
2007-05-31,1000.0
2007-06-01,1020.4398931667098
2007-06-04,1020.2768167673189
2007-06-05,1023.1830107092959
2007-06-06,1010.3112647429746
2007-06-07,998.1943733746442
2007-06-08,988.0618755056096
2007-06-11,993.9674357950076
2007-06-12,989.8841423095761
2007-06-13,998.5150589212969
2007-06-14,1023.4362829184209
2007-06-15,1039.746170507236
2007-06-18,1043.527656706547
2007-06-19,1041.249973768186
2007-06-20,1047.8442655316771
2007-06-21,1039.6658253008295
2007-06-22,1044.1955369844777
2007-06-25,1038.8100623727164
2007-06-26,1049.4554314883255
2007-06-27,1037.8413134798523
2007-06-28,1052.0915034488378
2007-06-29,1059.508793548629
2007-07-02,1071.0076552752091
2007-07-03,1085.2400744137676
2007-07-04,1087.9270607004519
2007-07-05,1091.313072561799
2007-07-06,1097.396370703168
2007-07-09,1107.9807157060645
2007-07-10,1093.6193610289704
2007-07-11,1101.0593155669014
2007-07-12,1127.927733052933
2007-07-13,1133.8494148621896
2007-07-16,1136.4725199876577
2007-07-17,1132.4920798918165
2007-07-18,1125.5022064265493
2007-07-19,1147.4987828147323
2007-07-20,1140.9819398717032
2007-07-23,1157.1316055447462
2007-07-24,1140.0348771090535
2007-07-25,1131.926019311114
2007-07-26,1094.9658351646362
2007-07-27,1077.488239843014
2007-07-30,1076.505062491145
2007-07-31,1100.8628224662045
2007-08-01,1070.5066891964773
2007-08-02,1080.4236015834954
2007-08-03,1081.840673186985
2007-08-06,1064.2754534486141
2007-08-07,1073.81005994163
2007-08-08,1096.7030802773745
2007-08-09,1065.6461514982745
2007-08-10,1043.1253183992164
2007-08-13,1060.903276404689
2007-08-14,1049.1423404792417
2007-08-15,1024.441383757753
2007-08-16,972.6259287852806
2007-08-17,998.1688044317963
2007-08-20,998.4998661083525
2007-08-21,985.2879223428567
2007-08-22,1014.0832975903282
2007-08-23,1020.9752854640403
2007-08-24,1024.6328414385612
2007-08-27,1038.9497432355681
2007-08-28,1027.52936543056
2007-08-29,1029.8383879918472
2007-08-30,1035.6019114680537
2007-08-31,1056.0753960354527
2007-09-03,1056.64937675
2007-09-04,1055.30780891
2007-09-05,1049.1046124
2007-09-06,1056.60061826
2007-09-07,1044.53773796
2007-09-10,1039.76257849
2007-09-11,1054.34610823
2007-09-12,1055.71415468
2007-09-13,1072.30919054
2007-09-14,1075.90198707
2007-09-17,1066.24001193
2007-09-18,1079.61612305
2007-09-19,1124.4472524
2007-09-20,1125.05441142
2007-09-21,1128.77126607
2007-09-24,1133.27531005
2007-09-25,1121.21325822
2007-09-26,1139.95742348
2007-09-27,1145.86103296
2007-09-28,1146.78085182
2007-10-01,1148.17940597
2007-10-02,1166.35916562
2007-10-03,1159.674757
2007-10-04,1162.2070677
2007-10-05,1182.37584635
2007-10-08,1185.60584751
