Date,EM IMI WITH CHINA ALL SHARES
2008-11-25,1000.0
2008-11-26,1022.8937389916895
2008-11-27,1047.3486651584099
2008-11-28,1047.490007272024
2008-12-01,1025.2511378065685
2008-12-02,1003.1891096054836
2008-12-03,1011.3163903672295
2008-12-04,1009.8123198021561
2008-12-05,1003.6257143321739
2008-12-08,1076.5466478133844
2008-12-09,1075.561615748982
2008-12-10,1122.263527261446
2008-12-11,1132.593837835856
2008-12-12,1098.3696594265746
2008-12-15,1119.5471813952697
2008-12-16,1136.6876940777645
2008-12-17,1162.033887692034
2008-12-18,1174.2858674593183
2008-12-19,1160.8618484923772
2008-12-22,1133.2557816033145
2008-12-23,1107.2198264307415
2008-12-24,1102.8129619110289
2008-12-25,1100.4740887238806
2008-12-26,1098.4747573411876
2008-12-29,1109.4499773317896
2008-12-30,1124.5582845181443
2008-12-31,1126.5716560022868
2009-01-01,1129.0783079186863
2009-01-02,1150.087337655152
2009-01-05,1184.3687431988283
2009-01-06,1202.225235428808
2009-01-07,1181.5199049928997
2009-01-08,1148.4459621794401
2009-01-09,1138.435003332833
2009-01-12,1106.5601180281392
2009-01-13,1100.2998105946945
2009-01-14,1090.4379524798837
2009-01-15,1060.3418952763134
2009-01-16,1082.541684640458
2009-01-19,1077.0755633397157
2009-01-20,1048.480432460545
2009-01-21,1043.3881177094997
2009-01-22,1043.135220223247
2009-01-23,1029.7385150287953
2009-01-26,1044.508419717575
2009-01-27,1049.8983674417334
2009-01-28,1074.8090714521384
2009-01-29,1073.1901984040205
2009-01-30,1068.8083081370207
2009-02-02,1048.6553661955977
2009-02-03,1066.043361481345
2009-02-04,1087.2731155094496
2009-02-05,1087.1993246229226
2009-02-06,1127.7369221907318
2009-02-09,1143.437322746436
2009-02-10,1139.5259720325193
2009-02-11,1126.5510048146239
2009-02-12,1107.3276820456488
2009-02-13,1132.3052170800156
2009-02-16,1123.6144513324507
2009-02-17,1072.1632656283123
2009-02-18,1058.989106520144
2009-02-19,1068.9532384289946
2009-02-20,1037.3670472969698
2009-02-23,1053.765803160698
2009-02-24,1034.8122298777237
2009-02-25,1039.5408480739193
2009-02-26,1035.0785302033464
2009-02-27,1021.1989584306631
2009-03-02,978.5041165693542
2009-03-03,979.344498931574
2009-03-04,1016.4872456393882
2009-03-05,1007.9856244761858
2009-03-06,1007.6374558915965
2009-03-09,998.7201001828226
2009-03-10,1031.5705853759916
2009-03-11,1048.3433140535435
2009-03-12,1054.11068081696
2009-03-13,1075.1474542918363
2009-03-16,1098.1528036735353
2009-03-17,1106.4504409555857
2009-03-18,1111.0375673573328
2009-03-19,1137.863586725087
2009-03-20,1130.410042425023
2009-03-23,1179.5239289102392
2009-03-24,1184.8015440758052
2009-03-25,1193.3733660396397
2009-03-26,1219.207124557837
2009-03-27,1206.0141071577943
2009-03-30,1152.004105532023
2009-03-31,1169.0310073462922
2009-04-01,1191.4393001118312
2009-04-02,1250.9133596594954
2009-04-03,1258.1504786380744
2009-04-06,1270.027203030678
2009-04-07,1258.9542354259233
2009-04-08,1244.1656927932304
2009-04-09,1288.0390651306934
2009-04-10,1298.3172905317629
2009-04-13,1311.0638516834308
2009-04-14,1321.8565755274071
2009-04-15,1320.2796904689926
2009-04-16,1329.3406640168403
2009-04-17,1317.315742193061
2009-04-20,1303.2081098305118
2009-04-21,1292.5244700929952
2009-04-22,1292.6479077350325
2009-04-23,1312.4791732014562
2009-04-24,1327.2650221330914
2009-04-27,1297.8808900324395
2009-04-28,1278.6179258088337
2009-04-29,1321.902509324551
2009-04-30,1356.7696362471054
2009-05-01,1356.9441234238454
2009-05-04,1429.7163180472396
2009-05-05,1436.9286018677003
2009-05-06,1454.0173045317388
2009-05-07,1461.0367281942956
2009-05-08,1481.7579940606604
2009-05-11,1476.823317694436
2009-05-12,1475.5639148235234
2009-05-13,1458.8282306975764
2009-05-14,1439.1344082924102
2009-05-15,1455.815968545332
2009-05-18,1494.3833871140457
2009-05-19,1528.156999855827
2009-05-20,1546.8994384695168
2009-05-21,1518.91181827526
2009-05-22,1530.0282963446225
2009-05-25,1534.3882524384094
2009-05-26,1518.1710621391464
2009-05-27,1547.0410141822993
2009-05-28,1560.1038147218198
2009-05-29,1581.0839047580944
2009-06-01,1638.8485319140964
2009-06-02,1627.9622697208483
2009-06-03,1612.5727709058144
