Date,LATIN AMERICA PACIFIC ALLIANCE
2009-11-30,1000.0
2009-12-01,1023.5257646986846
2009-12-02,1031.311996963315
2009-12-03,1028.8827114627102
2009-12-04,1036.6238353168753
2009-12-07,1032.3342585087237
2009-12-08,1011.4548185904508
2009-12-09,1008.4567165149358
2009-12-10,1016.1313187111451
2009-12-11,1025.7328064027815
2009-12-14,1034.1203736118457
2009-12-15,1034.748990154025
2009-12-16,1036.9708469744073
2009-12-17,1023.5214264682023
2009-12-18,1018.7723841058367
2009-12-21,1024.0569013104468
2009-12-22,1022.9793477312957
2009-12-23,1033.6358723198825
2009-12-24,1038.141474828371
2009-12-25,1038.1414748283705
2009-12-28,1037.9236274441714
2009-12-29,1033.5216870202587
2009-12-30,1033.098277661573
2009-12-31,1029.9057535241259
2010-01-01,1029.9057535241254
2010-01-04,1056.0920485026888
2010-01-05,1063.2002581159059
2010-01-06,1072.407762203637
2010-01-07,1081.6593248375937
2010-01-08,1082.0563035712428
2010-01-11,1085.812595213631
2010-01-12,1075.924955829535
2010-01-13,1076.1703292301693
2010-01-14,1070.5476712246277
2010-01-15,1063.2368160222702
2010-01-18,1069.5119523856117
2010-01-19,1072.1133606716714
2010-01-20,1053.540045868899
2010-01-21,1031.8324265214285
2010-01-22,1011.8654356144509
2010-01-25,1009.7837686707464
2010-01-26,1010.9443833842893
2010-01-27,999.8307398424513
2010-01-28,997.5047721986944
2010-01-29,994.7247821595835
2010-02-01,997.9699501534949
2010-02-02,1014.5297685753799
2010-02-03,1013.2526205247068
2010-02-04,980.6426419282728
2010-02-05,971.535436174994
2010-02-08,970.685232009181
2010-02-09,980.3288953189017
2010-02-10,985.4732040491405
2010-02-11,993.255385942574
2010-02-12,1002.7902189801255
2010-02-15,1005.6830927435975
2010-02-16,1026.7264230371525
2010-02-17,1030.0748079465063
2010-02-18,1034.1709878042823
2010-02-19,1033.1383884927707
2010-02-22,1035.5167642411855
2010-02-23,1025.6822531432456
2010-02-24,1024.4266274076952
2010-02-25,1018.3059533372328
2010-02-26,1029.4858396597513
2010-03-01,1035.6477897945642
2010-03-02,1044.6349047814647
2010-03-03,1050.9582411445126
2010-03-04,1048.74811804975
2010-03-05,1065.2900139758963
2010-03-08,1071.0211403077385
2010-03-09,1067.1525748538606
2010-03-10,1071.5185515274798
2010-03-11,1070.489194904624
2010-03-12,1073.4465906810597
2010-03-15,1070.0149758751102
2010-03-16,1078.315162423534
2010-03-17,1084.1870544752028
2010-03-18,1086.1856257447066
2010-03-19,1076.837406241975
2010-03-22,1075.332629953566
2010-03-23,1085.6754849680751
2010-03-24,1078.177808346154
2010-03-25,1079.106810615197
2010-03-26,1075.0161726461001
2010-03-29,1088.8111393383415
2010-03-30,1095.282699395152
2010-03-31,1099.6697807749076
2010-04-01,1106.7430221354134
2010-04-02,1106.7430221354134
