Date,EMERGING MARKETS+CHINA A ONSHORE IMI
2004-12-01,1000.0
2004-12-02,1005.3256642312969
2004-12-03,1004.6292595557046
2004-12-06,1006.6404681632602
2004-12-07,999.8772012980594
2004-12-08,986.57058792183
2004-12-09,980.5717644288043
2004-12-10,974.1196583963001
2004-12-13,980.3642751689991
2004-12-14,988.8550968578166
2004-12-15,1000.4745561788052
2004-12-16,1004.4060394447607
2004-12-17,1002.8916139640779
2004-12-20,1009.2661461245968
2004-12-21,1013.7716463154583
2004-12-22,1016.5081552510371
2004-12-23,1018.8515570162785
2004-12-24,1021.7144343755824
2004-12-27,1023.4196387731815
2004-12-28,1026.4381925596288
2004-12-29,1030.4419513172436
2004-12-30,1035.6367775054428
2004-12-31,1041.928314272476
2005-01-03,1042.198221841423
2005-01-04,1024.338872170625
2005-01-05,1011.684817321834
2005-01-06,998.6918343379001
2005-01-07,1000.0529520294036
2005-01-10,1003.1095827309704
2005-01-11,1006.7547426520144
2005-01-12,1006.3544722949215
2005-01-13,1011.2350611453547
2005-01-14,1015.7887281499615
2005-01-17,1020.687069647422
2005-01-18,1015.2311890245434
2005-01-19,1016.599123952831
2005-01-20,1007.845772329662
2005-01-21,1011.6017919325126
2005-01-24,1015.5702402185296
2005-01-25,1016.0176371997449
2005-01-26,1024.206671816908
2005-01-27,1025.7242748948142
2005-01-28,1029.5228413396192
2005-01-31,1040.6063735721295
2005-02-01,1039.0253093676881
2005-02-02,1045.5392315600423
2005-02-03,1049.2306872608324
2005-02-04,1056.7497828646901
2005-02-07,1060.030255185399
2005-02-08,1056.5954977027886
2005-02-09,1060.8030533666283
2005-02-10,1060.3046042737558
2005-02-11,1065.1973036408408
2005-02-14,1078.6493441984967
2005-02-15,1081.4034781016726
2005-02-16,1082.2041232595743
2005-02-17,1084.8057482674208
2005-02-18,1089.2967739738046
2005-02-21,1093.937666053648
2005-02-22,1102.1786543369028
2005-02-23,1101.4609895312244
2005-02-24,1112.2607491902852
2005-02-25,1119.6659713440947
2005-02-28,1131.4081142218674
2005-03-01,1128.858570894788
2005-03-02,1117.6007251015324
2005-03-03,1121.2552975321032
2005-03-04,1126.7511778905962
2005-03-07,1131.5818591345935
2005-03-08,1131.9191506462112
2005-03-09,1132.8940403151046
2005-03-10,1122.1736818050695
2005-03-11,1128.6918088651373
2005-03-14,1115.0929885603157
2005-03-15,1095.2361266272023
2005-03-16,1092.2405837245255
2005-03-17,1087.7650444849603
2005-03-18,1086.670996399467
2005-03-21,1079.5631392681516
2005-03-22,1073.5868946494
2005-03-23,1055.940970056247
2005-03-24,1053.332251899556
2005-03-25,1057.8304042643617
2005-03-28,1052.3681853734206
2005-03-29,1039.0335324157095
2005-03-30,1040.7022912534514
2005-03-31,1056.681067465484
2005-04-01,1072.5456254420176
2005-04-04,1062.1134585007405
2005-04-05,1062.721402553314
2005-04-06,1068.7421934248105
2005-04-07,1072.833816501766
2005-04-08,1073.7558171672106
2005-04-11,1070.698496325495
2005-04-12,1066.9376385904159
2005-04-13,1071.8792032050649
2005-04-14,1051.726238439894
2005-04-15,1038.1103473206933
2005-04-18,1019.6428205337384
2005-04-19,1031.8383274746382
2005-04-20,1031.9790373984174
2005-04-21,1035.0509636541512
2005-04-22,1038.774781851961
2005-04-25,1042.770150507155
2005-04-26,1046.6125034275728
2005-04-27,1037.5620415416297
2005-04-28,1027.7881785827344
2005-04-29,1028.2592372593451
2005-05-02,1031.2769398908943
2005-05-03,1031.8500795578268
2005-05-04,1047.8061703643202
2005-05-05,1057.1002685163974
2005-05-06,1062.2875026156632
2005-05-09,1059.8180495501392
2005-05-10,1054.8703878925232
2005-05-11,1047.2689544899033
2005-05-12,1040.80009585211
2005-05-13,1037.3178950034828
2005-05-16,1034.880743207831
2005-05-17,1033.62599079576
2005-05-18,1041.6609925015146
2005-05-19,1051.8619403294065
2005-05-20,1048.6898864465275
2005-05-23,1045.4048617876952
2005-05-24,1049.4962081054912
2005-05-25,1046.5307811133252
2005-05-26,1047.658356773985
2005-05-27,1058.9242128743351
2005-05-30,1063.465080772462
2005-05-31,1056.983314620456
2005-06-01,1052.8956643363917
2005-06-02,1060.4209935423235
2005-06-03,1069.068268314345
2005-06-06,1070.0183020630814
2005-06-07,1067.980596688329
2005-06-08,1075.7805183444214
2005-06-09,1071.0812998946121
2005-06-10,1076.3003829971938
2005-06-13,1077.0676963830142
2005-06-14,1078.1472997305996
2005-06-15,1085.184100418391
2005-06-16,1090.586556110475
2005-06-17,1099.1719235259507
2005-06-20,1099.464651065129
2005-06-21,1095.6087351032565
2005-06-22,1105.1918326548148
2005-06-23,1102.1258279479575
2005-06-24,1097.6635132486977
2005-06-27,1096.6876757019625
