Date,EM ASIA IMI WITH PARTIAL A SHARES
2008-11-27,1058.4799093639087
2008-11-28,1068.9771795249999
2008-12-30,1191.5726380499261
2008-12-31,1194.1329196563672
2009-01-29,1113.304369374468
2009-01-30,1119.4963966038008
2009-02-26,1060.3561499404218
2009-02-27,1053.5388213733781
2009-03-30,1208.1004194024238
2009-03-31,1222.5637988226329
2009-04-29,1368.0439878714583
2009-04-30,1434.0319377441467
2009-05-28,1651.2084575606048
2009-05-29,1671.0333082488648
2009-06-29,1666.6124766003304
2009-06-30,1662.0769270603826
2009-07-30,1841.9434738939935
2009-07-31,1873.2247911182922
2009-08-28,1839.4904784317437
2009-08-31,1819.3710815188788
2009-09-29,1976.1345073471452
2009-09-30,1984.610822369066
2009-10-29,1952.4912213824568
2009-10-30,1969.972517886815
2009-11-27,1987.77402153799
2009-11-30,2036.7225109388296
2009-12-30,2113.290104544846
2009-12-31,2136.24361327154
2010-01-28,2031.8365361931137
2010-01-29,2010.4767696266617
2010-02-25,1994.8782931515432
2010-02-26,2012.560801420808
2010-03-30,2178.9099380154103
2010-03-31,2172.2304357236585
2010-04-29,2196.8807764382495
2010-04-30,2222.06700367014
2010-05-28,2008.0840022053053
2010-05-31,2024.2378543032187
2010-06-29,2058.3705851816867
2010-06-30,2051.71380742037
2010-07-29,2176.17505952773
2010-07-30,2169.5897280987197
2010-08-30,2165.686625118887
2010-08-31,2143.5973693618084
2010-09-29,2382.8960918587227
2010-09-30,2387.374594327985
2010-10-28,2463.66739213789
2010-10-29,2455.833296152908
2010-11-29,2418.003734223424
2010-11-30,2405.779032433389
2010-12-30,2537.22238154426
2010-12-31,2550.952257979549
2011-01-28,2535.7835949842724
2011-01-31,2511.443133136946
2011-02-25,2402.915538234951
2011-02-28,2411.718284912109
2011-03-30,2549.37693953838
2011-03-31,2573.5696424638554
2011-04-28,2679.2408527396738
2011-04-29,2671.564785547238
2011-05-30,2578.4124251984113
2011-05-31,2625.866734623521
2011-06-29,2535.7483232538752
2011-06-30,2570.214144683252
2011-07-28,2626.622776330792
2011-07-29,2598.307067535462
2011-08-30,2286.993830084353
2011-08-31,2322.615210171396
2011-09-29,2036.8207967171484
2011-09-30,2018.448943832503
2011-10-28,2271.6829539210025
2011-10-31,2253.379533007855
2011-11-29,2072.9390725226262
2011-11-30,2061.4883860350096
2011-12-29,2065.9310200265254
2011-12-30,2069.1822749544203
2012-01-30,2251.083782613776
2012-01-31,2286.2149383630904
2012-02-28,2393.572883053387
2012-02-29,2427.988647580648
2012-03-29,2327.669838458913
2012-03-30,2347.285846762401
2012-04-27,2314.195253013636
2012-04-30,2337.7578283505004
2012-05-30,2127.675543212581
2012-05-31,2123.725270428922
2012-06-28,2123.3355329125675
2012-06-29,2174.0011789224877
2012-07-30,2172.1690985793516
2012-07-31,2207.867405861488
2012-08-30,2201.00027408657
2012-08-31,2199.6025685108984
2012-09-27,2333.669972658856
