Date,EM EMEA IMI
1996-12-31,276.90933930859114
1997-01-01,276.90933930859114
1997-01-02,276.0535199930496
1997-01-03,275.8741404026021
1997-01-06,277.2939934983714
1997-01-07,281.88640349815574
1997-01-08,284.33753920094694
1997-01-09,284.4558082580188
1997-01-10,284.83023657681576
1997-01-13,287.78765823104794
1997-01-14,288.61128414712323
1997-01-15,290.4130544250768
1997-01-16,291.22868628630977
1997-01-17,291.5991831593631
1997-01-20,291.68896723389486
1997-01-21,291.4136669920919
1997-01-22,293.4496030457565
1997-01-23,295.0043432663248
1997-01-24,298.6589228639655
1997-01-27,304.5794521768785
1997-01-28,301.2017585318776
1997-01-29,301.3112024963874
1997-01-30,301.73293887389053
1997-01-31,301.4232921311384
1997-02-03,305.3991422780244
1997-02-04,304.4677628737139
1997-02-05,309.54947131285377
1997-02-06,313.89334036645124
1997-02-07,315.50067653332866
1997-02-10,319.97592810496155
1997-02-11,319.5189696493081
1997-02-12,319.6252769549414
1997-02-13,320.986519154941
1997-02-14,319.13504473454947
1997-02-17,320.8709014475957
1997-02-18,322.2402308275941
1997-02-19,322.0532942658814
1997-02-20,321.91194675178724
1997-02-21,322.03987596348225
1997-02-24,325.84725539548134
1997-02-25,327.30467224439013
1997-02-26,325.94445343481357
1997-02-27,321.9870484710113
1997-02-28,319.1883385619646
1997-03-03,317.1940387183386
1997-03-04,316.9234777362402
1997-03-05,312.7341061722769
1997-03-06,314.88992300028843
1997-03-07,313.480913914999
1997-03-10,316.35206147508035
1997-03-11,318.1236107268818
1997-03-12,318.4214453260374
1997-03-13,320.1991718107113
1997-03-14,315.86327303009136
1997-03-17,318.00328461723717
1997-03-18,318.0934803249076
1997-03-19,318.2779864560641
1997-03-20,318.088326594708
1997-03-21,317.6089679447318
1997-03-24,316.7363909974683
1997-03-25,316.12586773583126
1997-03-26,315.29973985643477
1997-03-27,315.6852722601193
1997-03-28,316.82885585004817
1997-03-31,318.51310734873044
1997-04-01,313.4728673066985
1997-04-02,314.4221762534286
1997-04-03,314.28887508033205
1997-04-04,315.25799635181164
1997-04-07,315.29215252459454
1997-04-08,315.1725651561519
1997-04-09,313.6161861717966
1997-04-10,312.2932229447472
1997-04-11,311.08994023805826
1997-04-14,308.78003805616464
1997-04-15,309.9981259280828
1997-04-16,309.0937578068684
1997-04-17,308.9446922811377
1997-04-18,309.7136993911516
1997-04-21,310.54438635156913
1997-04-22,310.69418302449003
1997-04-23,311.7754936825218
1997-04-24,310.2325248293167
