Date,EM EASTERN EUROPE IMI
1996-09-30,248.0771730042266
1996-10-31,227.30666746443003
1996-11-29,230.05837084331537
1996-12-31,240.7942266725461
1997-01-01,240.7942266725461
1997-01-02,241.797432052924
1997-01-03,241.16258352533924
1997-01-06,243.60235322658605
1997-01-07,247.6240738688792
1997-01-08,250.51644483655227
1997-01-09,252.80606592313356
1997-01-10,252.33674867960494
1997-01-13,253.10467688311908
1997-01-14,253.4980201800993
1997-01-15,255.465622339638
1997-01-16,258.2822796399067
1997-01-17,255.87252009921124
1997-01-20,255.31422864843248
1997-01-21,257.6603220152615
1997-01-22,257.0227567198531
1997-01-23,257.6440421769035
1997-01-24,258.93713293764785
1997-01-27,258.9712509324849
1997-01-28,257.4738999712217
1997-01-29,255.71850417334142
1997-01-30,257.37448948451265
1997-01-31,259.3288665894158
1997-02-03,262.2957756419768
1997-02-04,264.8080229242942
1997-02-05,267.8892333169058
1997-02-06,271.81127833871346
1997-02-07,273.1195097161928
1997-02-10,271.7202045275404
1997-02-11,271.43194927984024
1997-02-12,270.9991950010145
1997-02-13,268.5232897427226
1997-02-14,271.85584584379956
1997-02-17,271.7284678635861
1997-02-18,273.67124621581127
1997-02-19,272.27501312481064
1997-02-20,272.6695674310736
1997-02-21,275.50065804434433
1997-02-24,277.7951554790241
1997-02-25,277.4069966842491
1997-02-26,275.57226034367613
1997-02-27,268.99843185067135
1997-02-28,264.5319203553819
1997-03-03,263.53078934368415
1997-03-04,260.57021366378444
1997-03-05,256.0653283827172
1997-03-06,253.7727251185406
1997-03-07,254.46552689049116
1997-03-10,255.20128745926382
1997-03-11,253.03180909566055
1997-03-12,253.72753732675898
1997-03-13,250.8382327715978
1997-03-14,245.7880832663899
1997-03-17,245.72304041680678
1997-03-18,246.0860046394768
1997-03-19,244.5688598472505
1997-03-20,241.1143322541577
1997-03-21,241.28743663092268
1997-03-24,240.79574860096417
1997-03-25,240.57014263522848
1997-03-26,242.67705645381713
1997-03-27,246.9939800488786
1997-03-28,246.88599713288116
1997-03-31,247.46137270447355
1997-04-01,244.83582300747904
1997-04-02,242.6739180895097
1997-04-03,241.24329559699274
1997-04-04,240.40639915649646
1997-04-07,237.16006383398786
