Date,MSCI Emerging Markets 50 Index
2000-05-31,1000.0
2000-06-01,1015.0695318260313
2000-06-02,1052.921330655122
2000-06-05,1067.8893652693803
2000-06-06,1060.2121609247101
2000-06-07,1068.7174657882344
2000-06-08,1064.333776039441
2000-06-09,1084.517536801899
2000-06-12,1079.471353136484
2000-06-13,1064.6314485911635
2000-06-14,1074.6807934574592
2000-06-15,1055.8534341016054
2000-06-16,1051.0919111943842
2000-06-19,1051.056253835113
2000-06-20,1056.1536650942107
2000-06-21,1059.0865161378042
2000-06-22,1053.9257765474376
2000-06-23,1043.142525972998
2000-06-26,1049.8141102035845
2000-06-27,1059.2175579770608
2000-06-28,1074.3104092494066
2000-06-29,1066.5684610693284
2000-06-30,1073.1908229689434
2000-07-03,1088.1722517111389
2000-07-04,1086.8538331317359
2000-07-05,1094.3957708526289
2000-07-06,1085.3932266824888
2000-07-07,1085.628915069649
2000-07-10,1094.8850664408892
2000-07-11,1082.8164579332122
2000-07-12,1095.0706148851248
2000-07-13,1097.2627235085115
2000-07-14,1098.0197360461143
2000-07-17,1098.5186667529654
2000-07-18,1086.6522007178974
2000-07-19,1063.4391117591013
2000-07-20,1052.3336492580104
2000-07-21,1048.9379003909726
2000-07-24,1019.5586065952244
2000-07-25,1017.5184727426322
2000-07-26,1021.75977417269
2000-07-27,1008.6594493633552
2000-07-28,982.6219608916666
2000-07-31,986.6672330661653
2000-08-01,993.5811741180089
2000-08-02,992.5600368311381
2000-08-03,986.9279522428891
2000-08-04,990.5191454580646
2000-08-07,981.8231129226049
2000-08-08,981.1863655444077
2000-08-09,996.0692919500442
2000-08-10,1003.7679816578628
2000-08-11,997.4194699213974
2000-08-14,1001.2724049531421
2000-08-15,1006.8565962357804
2000-08-16,1026.821583780699
2000-08-17,1028.262875255566
2000-08-18,1017.022851988275
2000-08-21,1011.6275550475868
2000-08-22,1018.7067636131585
2000-08-23,1010.1023891471149
2000-08-24,1012.080210316721
2000-08-25,1011.5032770363622
2000-08-28,1009.5341217967966
2000-08-29,1014.7512963689504
2000-08-30,1007.4854242713503
2000-08-31,1000.8694998064893
2000-09-01,1001.3962645988624
2000-09-04,1010.7986250256453
2000-09-05,1009.4533694263654
2000-09-06,1004.3186185864803
2000-09-07,991.2527049070948
2000-09-08,982.677913194367
2000-09-11,975.1232523356614
2000-09-12,970.2608643988856
2000-09-13,971.6555792303946
2000-09-14,962.5291804719341
2000-09-15,947.5734862711829
2000-09-18,908.0801554743956
2000-09-19,900.6221632533799
2000-09-20,920.3882512466228
2000-09-21,903.3457409104396
2000-09-22,865.0318102905677
2000-09-25,892.2482709431871
2000-09-26,895.088360518548
2000-09-27,896.5910876276778
2000-09-28,899.9866435024976
2000-09-29,903.4387912342276
2000-10-02,892.0471888173508
2000-10-03,892.218583597932
2000-10-04,894.9807392700152
2000-10-05,903.0778967333316
2000-10-06,905.2037148999752
2000-10-09,885.1927383034841
2000-10-10,882.5497621194633
2000-10-11,853.9443666572607
2000-10-12,832.3388287536189
2000-10-13,823.2396894364852
2000-10-16,833.9327438094016
2000-10-17,818.6768615949073
2000-10-18,802.8674422327091
2000-10-19,815.8622779517937
2000-10-20,840.0568533523161
2000-10-23,835.6135683371285
2000-10-24,847.9537332487376
2000-10-25,845.4111720048783
2000-10-26,836.5409776624907
2000-10-27,839.1571126542144
2000-10-30,828.8202733558127
2000-10-31,838.8726213606302
2000-11-01,852.3204066591308
2000-11-02,862.129805799982
2000-11-03,867.9847528460789
2000-11-06,870.5574900233621
2000-11-07,880.4732853906031
2000-11-08,875.2318706541932
2000-11-09,863.3363813631247
2000-11-10,856.6887968178395
2000-11-13,824.5867883810791
2000-11-14,842.38644672182
2000-11-15,846.8895407122188
2000-11-16,839.8353359208909
2000-11-17,835.5135000817154
2000-11-20,813.1229654464493
2000-11-21,813.7771005718212
2000-11-22,789.6461081463914
2000-11-23,776.2742326422576
2000-11-24,782.4302685954182
2000-11-27,795.5259532698983
2000-11-28,775.8124746757771
2000-11-29,760.1832061798033
2000-11-30,743.5839676251192
2000-12-01,753.8997718583487
2000-12-04,747.0025321617125
2000-12-05,771.0599693398564
2000-12-06,783.2761441705968
2000-12-07,781.8655273804754
2000-12-08,797.4414630135998
2000-12-11,808.7302271134643
2000-12-12,801.0906781473865
2000-12-13,806.2052727176733
2000-12-14,796.01860273586
2000-12-15,777.4923676799702
2000-12-18,783.9877562175843
2000-12-19,774.0661615352118
2000-12-20,755.4193562742886
2000-12-21,743.2637997560282
2000-12-22,747.6253716624541
2000-12-25,748.4236679016033
2000-12-26,741.4005942847494
2000-12-27,740.3264813172584
2000-12-28,747.857107526015
2000-12-29,747.4785732618311
2001-01-01,745.6244386715143
2001-01-02,746.4767670896907
2001-01-03,750.7799006466824
2001-01-04,786.6231781825676
2001-01-05,787.6402907969353
2001-01-08,784.6371111596225
2001-01-09,793.3775009451552
2001-01-10,786.9700223874634
2001-01-11,782.5566052888199
2001-01-12,794.0244682949567
2001-01-15,799.0965185579944
2001-01-16,803.8649939238826
2001-01-17,811.9572389178896
2001-01-18,827.7163670901479
2001-01-19,845.1923029520445
2001-01-22,842.5536902555602
2001-01-23,846.7114315306001
2001-01-24,845.2209663971055
2001-01-25,844.3707090584763
2001-01-26,840.710413362148
2001-01-29,839.2885036983148
2001-01-30,846.8620184041303
2001-01-31,855.7978959315268
2001-02-01,855.4897756000883
2001-02-02,855.3850406387594
