Date,AC ASIA VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1048.00138145737
1996-01-31,1064.7895654660972
1996-02-29,1054.2519489222643
1996-03-29,1081.2837896552358
1996-04-30,1140.2019631109802
1996-05-31,1097.4056977646046
1996-06-28,1098.5872313535538
1996-07-31,1044.2847192218196
1996-08-30,1020.0109278137037
1996-09-30,1050.4032788198456
1996-10-31,998.5430563911907
1996-11-29,1030.9166561049606
1996-12-31,983.1919604403803
1997-01-01,983.1919604403803
1997-01-02,984.0869048711697
1997-01-03,983.3455110397667
1997-01-06,991.2977118964338
1997-01-07,981.9753216135844
1997-01-08,976.070065544208
1997-01-09,959.4509814675471
1997-01-10,938.588021339286
1997-01-13,954.4990438015577
1997-01-14,955.9541450358689
1997-01-15,962.5882818371347
1997-01-16,967.5701357403883
1997-01-17,962.3255982350461
1997-01-20,948.7908964429263
1997-01-21,941.3728899371698
1997-01-22,948.02391150049
1997-01-23,940.633553592775
1997-01-24,934.7638349459426
1997-01-27,921.6397866727024
1997-01-28,923.9194887837778
1997-01-29,926.0043996331649
1997-01-30,919.8594747727351
1997-01-31,932.0365244713269
1997-02-03,927.3112794799601
1997-02-04,931.1422824161051
1997-02-05,918.8498861152126
1997-02-06,916.8459772705611
1997-02-07,910.0144275793772
1997-02-10,924.305447927631
1997-02-11,922.5434000565969
1997-02-12,927.4398774127418
1997-02-13,928.4891800207216
1997-02-14,932.9951569268953
1997-02-17,932.5562755787059
1997-02-18,926.5006414082958
1997-02-19,928.6253736823306
1997-02-20,946.0536296935269
1997-02-21,947.2245962687086
1997-02-24,944.6851390854371
1997-02-25,948.3691547198008
1997-02-26,944.4227236388629
1997-02-27,948.9550229533451
1997-02-28,942.4221210348462
1997-03-03,940.1334401394663
1997-03-04,937.6938568064819
1997-03-05,930.7543658337413
1997-03-06,921.0763811075518
1997-03-07,923.2290220530926
1997-03-10,920.5678842157049
1997-03-11,922.1157481051049
1997-03-12,918.0204451770811
1997-03-13,907.7223206274035
1997-03-14,903.6575823303225
1997-03-17,907.0281074454405
1997-03-18,916.173495958437
1997-03-19,915.688610098222
1997-03-20,910.0784534253364
1997-03-21,915.4049902605319
1997-03-24,908.1012482725787
1997-03-25,914.1315534230664
1997-03-26,919.3335827580238
1997-03-27,915.3869996567825
1997-03-28,912.6213743870455
1997-03-31,908.7587471938602
1997-04-01,905.6246877928795
1997-04-02,916.8907139460292
1997-04-03,916.9782575513123
1997-04-04,908.7971980356677
1997-04-07,898.8935521359899
1997-04-08,905.008057720783
1997-04-09,897.5924358207259
1997-04-10,888.7469352847914
1997-04-11,895.5686416728099
1997-04-14,887.2305779937594
1997-04-15,891.9290655570383
1997-04-16,900.688745433547
1997-04-17,901.4187867052896
1997-04-18,907.0277137646791
1997-04-21,919.8773838140872
1997-04-22,915.4136100154526
1997-04-23,924.4032637418077
1997-04-24,923.3150981218722
1997-04-25,920.749687290701
1997-04-28,918.5565365968513
1997-04-29,914.8445181234921
1997-04-30,929.5348833308154
1997-05-01,937.7003785617023
1997-05-02,941.9150179158214
1997-05-05,944.9759072868417
1997-05-06,971.0464241604666
1997-05-07,969.8695914751107
1997-05-08,971.0268166897807
1997-05-09,975.241156587979
1997-05-12,993.3000696781678
1997-05-13,992.8724449734138
1997-05-14,998.2486820519754
1997-05-15,1001.4750339859597
1997-05-16,1009.9448362719296
1997-05-19,1013.0821396655859
1997-05-20,1027.8050109946785
1997-05-21,1013.490759280368
1997-05-22,1000.793029617456
1997-05-23,1012.0132855753274
1997-05-26,1011.0905461839791
1997-05-27,1004.7980859877508
1997-05-28,1022.3632938101866
1997-05-29,1019.3274192028616
1997-05-30,1008.5525388097126
1997-06-02,1026.202179755166
1997-06-03,1029.943230010633
1997-06-04,1032.9517636053176
1997-06-05,1035.112679308789
1997-06-06,1031.9306878591872
1997-06-09,1044.52484160679
1997-06-10,1045.822101480212
1997-06-11,1051.4583830544505
1997-06-12,1039.4863303592274
1997-06-13,1037.41672165888
1997-06-16,1055.1012722347427
1997-06-17,1051.895994332824
1997-06-18,1048.0800277282983
1997-06-19,1046.135136263004
1997-06-20,1046.9376604874092
1997-06-23,1044.0525469132706
1997-06-24,1046.2497366308996
1997-06-25,1062.7585414692276
1997-06-26,1066.408425826495
1997-06-27,1056.4125885936537
1997-06-30,1063.635546001733
1997-07-01,1052.5600733222832
1997-07-02,1061.5467883526403
1997-07-03,1063.6841787955843
1997-07-04,1055.617581539208
1997-07-07,1051.9197732988569
1997-07-08,1051.9204016583305
1997-07-09,1048.0384053154273
1997-07-10,1047.8139339051586
1997-07-11,1046.059201897154
1997-07-14,1051.5789739073032
1997-07-15,1042.0590116356266
1997-07-16,1044.9119574778235
1997-07-17,1049.083808711598
1997-07-18,1043.287215071957
1997-07-21,1042.6418636830256
1997-07-22,1038.9129256337642
1997-07-23,1037.8198093384913
1997-07-24,1043.2656536130398
1997-07-25,1041.5028796263148
1997-07-28,1043.9685784117114
1997-07-29,1043.304112703033
1997-07-30,1035.9917563875167
1997-07-31,1041.0550479902445
1997-08-01,1029.0358230725656
1997-08-04,1022.5382201793374
1997-08-05,1011.2092889818804
1997-08-06,1021.7258780403683
1997-08-07,1016.2130478101774
1997-08-08,1033.399960120924
1997-08-11,1011.5501872492025
1997-08-12,1014.2061884537262
1997-08-13,1017.2735527495266
1997-08-14,1007.4325774469238
1997-08-15,1008.7495974060515
1997-08-18,994.940113539606
1997-08-19,981.789069838792
1997-08-20,994.7663947100204
1997-08-21,994.569227032353
1997-08-22,975.5518113233412
1997-08-25,967.0296242407001
1997-08-26,970.7735419265492
1997-08-27,957.2019609345456
1997-08-28,942.3164961594599
1997-08-29,921.0359193044624
1997-09-01,894.360800248487
1997-09-02,897.9276965212069
1997-09-03,920.6489794350776
1997-09-04,915.9096167358042
1997-09-05,926.5440305159997
1997-09-08,930.5735679733716
1997-09-09,945.4856962052129
1997-09-10,939.7681015512588
1997-09-11,920.4197682100714
1997-09-12,908.4725989314376
1997-09-15,911.3780785579171
1997-09-16,904.22882676748
1997-09-17,897.2006350924897
1997-09-18,892.2340265000842
1997-09-19,894.3414460898468
1997-09-22,891.3012428761473
1997-09-23,894.573396327765
1997-09-24,913.1286149513023
1997-09-25,911.5170437595061
1997-09-26,899.1837453399863
1997-09-29,898.1525332771893
1997-09-30,902.85043340088
1997-10-01,898.3637250467856
1997-10-02,887.9950889552467
1997-10-03,884.2719420115494
1997-10-06,888.0290399385989
1997-10-07,878.2443344889069
1997-10-08,883.6176515625815
1997-10-09,875.9370312432638
1997-10-10,884.1557353646353
1997-10-13,870.5168896172395
1997-10-14,864.9929272076096
1997-10-15,864.9641727776806
1997-10-16,877.855708846515
1997-10-17,872.9095258349207
1997-10-20,848.8481497424501
1997-10-21,846.6897085581396
1997-10-22,849.779670139232
1997-10-23,820.7341285057067
1997-10-24,819.011607810997
1997-10-27,801.647308885252
1997-10-28,769.6705202108204
1997-10-29,796.668448051489
1997-10-30,780.2873335626689
1997-10-31,781.9115557495284
1997-11-03,793.6571257557065
1997-11-04,793.553926933153
1997-11-05,786.0595592030965
1997-11-06,781.8102783264843
1997-11-07,754.2371781722414
1997-11-10,741.7541545462623
1997-11-11,742.3182885217078
1997-11-12,723.1355467847453
1997-11-13,720.4460339447207
1997-11-14,708.5660807336546
1997-11-17,745.398776365331
1997-11-18,750.1989524996221
1997-11-19,716.609705473172
1997-11-20,716.6183657879919
1997-11-21,743.565559643023
1997-11-24,735.8338725369655
1997-11-25,700.7794131959445
1997-11-26,703.7671191649347
1997-11-27,718.4789449459639
1997-11-28,715.9394220205154
1997-12-01,716.9536560710792
1997-12-02,719.2168156747382
